year,Value,HH income,value/income,CPI (all urban),Value (2017$),income (2017$)
2005,404900,74708,5.42,195.3,508188,93766
2006,454100,78978,5.75,201.6,552128,96027
2007,458500,83200,5.51,207.342,542039,98359
2008,430600,85824,5.02,215.303,490233,97710
2009,387900,85168,4.55,214.537,443197,97309
2010,376200,84523,4.45,218.056,422892,95014
2011,365100,86680,4.21,224.939,397856,94457
2012,367600,88233,4.17,229.594,392458,94200
2013,373500,90149,4.14,232.957,393001,94856
2014,386900,91193,4.24,236.736,400602,94423
2015,401500,93294,4.3,237.017,415226,96483
2016,411400,95843,4.29,240.007,420164,97885
2017,424600,99669,4.26,245.12,424600,99669
