FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000001,040,54,   ,04000US54,West Virginia,489983,380637,131917,27668,25153,79096,248720,109346,29955,14468,4137,1395,8936,15487,79391,41883,9900,6557,25426,37508
ACSSF,2010e5,wv,000,0034,0000002,040,54,   ,04001US54,West Virginia -- Urban,211361,154849,53617,12505,10797,30315,101232,56512,13782,7471,2172,698,4601,6311,42730,23325,5977,3639,13709,19405
ACSSF,2010e5,wv,000,0034,0000003,040,54,   ,04043US54,West Virginia -- Rural,278622,225788,78300,15163,14356,48781,147488,52834,16173,6997,1965,697,4335,9176,36661,18558,3923,2918,11717,18103
ACSSF,2010e5,wv,000,0034,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,366234,282559,100009,21441,19165,59403,182550,83675,22317,10984,3067,1129,6788,11333,61358,33169,7991,4985,20193,28189
ACSSF,2010e5,wv,000,0034,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,268689,208594,74739,16371,14515,43853,133855,60095,16221,8213,2370,871,4972,8008,43874,24186,5837,3841,14508,19688
ACSSF,2010e5,wv,000,0034,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,55606,38773,13126,3134,2391,7601,25647,16833,3784,2131,625,359,1147,1653,13049,7168,2028,1254,3886,5881
ACSSF,2010e5,wv,000,0034,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,213083,169821,61613,13237,12124,36252,108208,43262,12437,6082,1745,512,3825,6355,30825,17018,3809,2587,10622,13807
ACSSF,2010e5,wv,000,0034,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,97545,73965,25270,5070,4650,15550,48695,23580,6096,2771,697,258,1816,3325,17484,8983,2154,1144,5685,8501
ACSSF,2010e5,wv,000,0034,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,18900,13064,4383,937,896,2550,8681,5836,1290,697,152,78,467,593,4546,2369,663,329,1377,2177
ACSSF,2010e5,wv,000,0034,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,78645,60901,20887,4133,3754,13000,40014,17744,4806,2074,545,180,1349,2732,12938,6614,1491,815,4308,6324
