FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2013e5,wv,000,0036,0000001,040,54,   ,04000US54,West Virginia,741390,483367,367914,115453,32211,83242,258023,221797,36226
ACSSF,2013e5,wv,000,0036,0000002,040,54,   ,04001US54,West Virginia -- Urban,372061,224591,161236,63355,16087,47268,147470,126142,21328
ACSSF,2013e5,wv,000,0036,0000003,040,54,   ,04043US54,West Virginia -- Rural,369329,258776,206678,52098,16124,35974,110553,95655,14898
ACSSF,2013e5,wv,000,0036,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,577511,373264,281874,91390,24800,66590,204247,174672,29575
ACSSF,2013e5,wv,000,0036,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,455551,291345,220086,71259,19478,51781,164206,139844,24362
ACSSF,2013e5,wv,000,0036,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,108697,57544,39438,18106,4347,13759,51153,43508,7645
ACSSF,2013e5,wv,000,0036,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,346854,233801,180648,53153,15131,38022,113053,96336,16717
ACSSF,2013e5,wv,000,0036,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,121960,81919,61788,20131,5322,14809,40041,34828,5213
ACSSF,2013e5,wv,000,0036,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,24850,14459,9924,4535,1134,3401,10391,9019,1372
ACSSF,2013e5,wv,000,0036,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,97110,67460,51864,15596,4188,11408,29650,25809,3841
ACSSF,2013e5,wv,000,0036,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,163879,110103,86040,24063,7411,16652,53776,47125,6651
ACSSF,2013e5,wv,000,0036,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,285839,192022,147828,44194,12733,31461,93817,81953,11864
ACSSF,2013e5,wv,000,0036,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6099,4299,3456,843,236,607,1800,1625,175
ACSSF,2013e5,wv,000,0036,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",40447,28434,21052,7382,2311,5071,12013,10090,1923
ACSSF,2013e5,wv,000,0036,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9559,6864,5361,1503,400,1103,2695,2397,298
ACSSF,2013e5,wv,000,0036,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",5780,3845,3118,727,284,443,1935,1700,235
ACSSF,2013e5,wv,000,0036,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",9968,6521,4810,1711,518,1193,3447,3055,392
ACSSF,2013e5,wv,000,0036,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40144,24174,17088,7086,1692,5394,15970,13206,2764
ACSSF,2013e5,wv,000,0036,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3141,2101,1608,493,178,315,1040,921,119
ACSSF,2013e5,wv,000,0036,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3435,2434,2084,350,84,266,1001,875,126
ACSSF,2013e5,wv,000,0036,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2778,1930,1465,465,148,317,848,740,108
ACSSF,2013e5,wv,000,0036,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",17250,11508,8198,3310,866,2444,5742,4941,801
ACSSF,2013e5,wv,000,0036,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2590,1615,1304,311,106,205,975,766,209
