FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total
ACSSF,2010e5,wv,000,0095,0000001,040,54,   ,04000US54,West Virginia,879481
ACSSF,2010e5,wv,000,0095,0000002,040,54,   ,04001US54,West Virginia -- Urban,399947
ACSSF,2010e5,wv,000,0095,0000003,040,54,   ,04043US54,West Virginia -- Rural,479534
ACSSF,2010e5,wv,000,0095,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,645551
ACSSF,2010e5,wv,000,0095,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,475299
ACSSF,2010e5,wv,000,0095,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,118690
ACSSF,2010e5,wv,000,0095,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,356609
ACSSF,2010e5,wv,000,0095,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,170252
ACSSF,2010e5,wv,000,0095,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,38165
ACSSF,2010e5,wv,000,0095,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,132087
ACSSF,2010e5,wv,000,0095,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,233930
ACSSF,2010e5,wv,000,0095,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,404182
ACSSF,2010e5,wv,000,0095,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7791
ACSSF,2010e5,wv,000,0095,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",43469
ACSSF,2010e5,wv,000,0095,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11227
ACSSF,2010e5,wv,000,0095,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7457
ACSSF,2010e5,wv,000,0095,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",11012
ACSSF,2010e5,wv,000,0095,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",46129
ACSSF,2010e5,wv,000,0095,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3963
ACSSF,2010e5,wv,000,0095,0000020,050,54,015,05000US54015,"Clay County, West Virginia",4632
