FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
ACSSF,2010e5,wv,000,0053,0000001,040,54,   ,04000US54,West Virginia,38380
ACSSF,2010e5,wv,000,0053,0000002,040,54,   ,04001US54,West Virginia -- Urban,37311
ACSSF,2010e5,wv,000,0053,0000003,040,54,   ,04043US54,West Virginia -- Rural,39241
ACSSF,2010e5,wv,000,0053,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,40160
ACSSF,2010e5,wv,000,0053,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,41713
ACSSF,2010e5,wv,000,0053,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,34515
ACSSF,2010e5,wv,000,0053,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,44107
ACSSF,2010e5,wv,000,0053,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,35572
ACSSF,2010e5,wv,000,0053,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,32454
ACSSF,2010e5,wv,000,0053,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,36479
ACSSF,2010e5,wv,000,0053,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,33343
ACSSF,2010e5,wv,000,0053,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,34328
ACSSF,2010e5,wv,000,0053,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",31212
ACSSF,2010e5,wv,000,0053,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",52857
ACSSF,2010e5,wv,000,0053,0000015,050,54,005,05000US54005,"Boone County, West Virginia",39783
ACSSF,2010e5,wv,000,0053,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",32158
ACSSF,2010e5,wv,000,0053,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",39475
ACSSF,2010e5,wv,000,0053,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",34492
ACSSF,2010e5,wv,000,0053,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",26922
ACSSF,2010e5,wv,000,0053,0000020,050,54,015,05000US54015,"Clay County, West Virginia",30789
ACSSF,2010e5,wv,000,0053,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",30019
ACSSF,2010e5,wv,000,0053,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",31912
ACSSF,2010e5,wv,000,0053,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",29706
ACSSF,2010e5,wv,000,0053,0000024,050,54,023,05000US54023,"Grant County, West Virginia",35593
ACSSF,2010e5,wv,000,0053,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",33732
ACSSF,2010e5,wv,000,0053,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",31792
ACSSF,2010e5,wv,000,0053,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",38565
ACSSF,2010e5,wv,000,0053,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",31347
ACSSF,2010e5,wv,000,0053,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",39191
ACSSF,2010e5,wv,000,0053,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",41406
ACSSF,2010e5,wv,000,0053,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",65603
ACSSF,2010e5,wv,000,0053,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",42669
ACSSF,2010e5,wv,000,0053,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",33293
ACSSF,2010e5,wv,000,0053,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",30868
ACSSF,2010e5,wv,000,0053,0000035,050,54,045,05000US54045,"Logan County, West Virginia",35465
ACSSF,2010e5,wv,000,0053,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",22154
ACSSF,2010e5,wv,000,0053,0000037,050,54,049,05000US54049,"Marion County, West Virginia",38115
