FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2013e5,wv,000,0004,0000001,040,54,   ,04000US54,West Virginia,1853619,1737996,58489,2955,12806,666,4739,35968,1243,34725
ACSSF,2013e5,wv,000,0004,0000002,040,54,   ,04001US54,West Virginia -- Urban,901989,816945,46829,1519,10762,292,3549,22093,797,21296
ACSSF,2013e5,wv,000,0004,0000003,040,54,   ,04043US54,West Virginia -- Rural,951630,921051,11660,1436,2044,374,1190,13875,446,13429
ACSSF,2013e5,wv,000,0004,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1441475,1340993,51344,2183,11973,464,4123,30395,1006,29389
ACSSF,2013e5,wv,000,0004,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,1135239,1049649,42786,1638,10837,243,3751,26335,886,25449
ACSSF,2013e5,wv,000,0004,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,255321,221369,19294,643,3997,107,996,8915,181,8734
ACSSF,2013e5,wv,000,0004,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,879918,828280,23492,995,6840,136,2755,17420,705,16715
ACSSF,2013e5,wv,000,0004,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,306236,291344,8558,545,1136,221,372,4060,120,3940
ACSSF,2013e5,wv,000,0004,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,59319,53022,4838,77,227,91,85,979,34,945
ACSSF,2013e5,wv,000,0004,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,246917,238322,3720,468,909,130,287,3081,86,2995
ACSSF,2013e5,wv,000,0004,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,412144,397003,7145,772,833,202,616,5573,237,5336
ACSSF,2013e5,wv,000,0004,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,718380,688347,15703,1317,1969,423,988,9633,357,9276
ACSSF,2013e5,wv,000,0004,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",16655,16126,115,95,57,0,0,262,14,248
ACSSF,2013e5,wv,000,0004,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",105812,93104,7749,148,984,44,1269,2514,124,2390
ACSSF,2013e5,wv,000,0004,0000015,050,54,005,05000US54005,"Boone County, West Virginia",24517,24133,222,0,2,0,21,139,0,139
ACSSF,2013e5,wv,000,0004,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",14524,14268,83,84,15,0,2,72,0,72
ACSSF,2013e5,wv,000,0004,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",23932,23188,452,51,114,7,44,76,15,61
