FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
ACSSF,2014e5,wv,000,0002,0000001,040,54,   ,04000US54,West Virginia,1853881,914580,52839,54291,55258,34198,25235,13519,13970,35082,54314,57167,56490,61121,63029,67543,67769,27716,37149,21909,27217,35004,25501,16372,11887,939301,50205,51505,53150,32281,23055,14107,12899,33673,52337,55749,55146,60618,62828,69950,72557,28325,37181,23747,28291,39557,31797,24352,25991
ACSSF,2014e5,wv,000,0002,0000002,040,54,   ,04001US54,West Virginia -- Urban,903703,435361,26550,25987,25769,15377,14444,8337,7954,20348,28385,29849,27147,28061,28654,29425,30280,11951,15864,9157,11910,14186,11380,7869,6477,468342,25774,25258,25505,14907,13236,7974,7815,20656,29715,29132,26829,29035,28406,31958,33842,12769,16929,10864,12937,19208,16614,13661,15318
ACSSF,2014e5,wv,000,0002,0000003,040,54,   ,04043US54,West Virginia -- Rural,950178,479219,26289,28304,29489,18821,10791,5182,6016,14734,25929,27318,29343,33060,34375,38118,37489,15765,21285,12752,15307,20818,14121,8503,5410,470959,24431,26247,27645,17374,9819,6133,5084,13017,22622,26617,28317,31583,34422,37992,38715,15556,20252,12883,15354,20349,15183,10691,10673
ACSSF,2014e5,wv,000,0002,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1443146,710363,41506,42402,43180,26532,20322,10916,11313,28703,43616,45352,44133,47822,48451,51939,51825,21308,28143,16448,20537,25618,19020,12194,9083,732783,39325,40293,41774,25069,18761,11109,10600,27491,42119,44454,43216,47495,48372,53867,56347,21996,27926,18089,21325,29924,24210,18934,20087
ACSSF,2014e5,wv,000,0002,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,1137145,559962,32614,33425,34356,20819,16625,8912,9217,23075,34920,35883,34754,37701,38072,40981,40271,16753,21969,13111,15473,19879,14672,9534,6946,577183,30850,31790,33279,19667,15297,8776,8857,22447,33633,35145,34214,37416,38201,42413,44419,16997,21526,13992,16349,23085,18760,14579,15491
ACSSF,2014e5,wv,000,0002,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,254635,123970,7272,7085,6365,3948,6104,3365,2858,7046,8996,7927,7093,7692,7491,8090,8674,3311,4271,2434,2858,3640,2978,2558,1914,130665,6456,6075,6704,3853,5269,2701,2830,6922,9069,7952,7172,6750,7629,8798,9781,3220,4519,2692,3284,5087,4767,4233,4902
ACSSF,2014e5,wv,000,0002,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,882510,435992,25342,26340,27991,16871,10521,5547,6359,16029,25924,27956,27661,30009,30581,32891,31597,13442,17698,10677,12615,16239,11694,6976,5032,446518,24394,25715,26575,15814,10028,6075,6027,15525,24564,27193,27042,30666,30572,33615,34638,13777,17007,11300,13065,17998,13993,10346,10589
ACSSF,2014e5,wv,000,0002,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,306001,150401,8892,8977,8824,5713,3697,2004,2096,5628,8696,9469,9379,10121,10379,10958,11554,4555,6174,3337,5064,5739,4348,2660,2137,155600,8475,8503,8495,5402,3464,2333,1743,5044,8486,9309,9002,10079,10171,11454,11928,4999,6400,4097,4976,6839,5450,4355,4596
ACSSF,2014e5,wv,000,0002,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,59111,27908,1853,1671,1726,885,888,478,468,1142,1924,2171,1637,1535,1843,1680,2180,613,1128,647,686,851,766,595,541,31203,1754,1728,1530,1086,854,765,560,1184,2159,2084,1594,1782,1683,2024,2360,777,1101,646,746,1235,1271,981,1299
ACSSF,2014e5,wv,000,0002,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,246890,122493,7039,7306,7098,4828,2809,1526,1628,4486,6772,7298,7742,8586,8536,9278,9374,3942,5046,2690,4378,4888,3582,2065,1596,124397,6721,6775,6965,4316,2610,1568,1183,3860,6327,7225,7408,8297,8488,9430,9568,4222,5299,3451,4230,5604,4179,3374,3297
ACSSF,2014e5,wv,000,0002,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,410735,204217,11333,11889,12078,7666,4913,2603,2657,6379,10698,11815,12357,13299,14578,15604,15944,6408,9006,5461,6680,9386,6481,4178,2804,206518,10880,11212,11376,7212,4294,2998,2299,6182,10218,11295,11930,13123,14456,16083,16210,6329,9255,5658,6966,9633,7587,5418,5904
ACSSF,2014e5,wv,000,0002,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,716736,354618,20225,20866,20902,13379,8610,4607,4753,12007,19394,21284,21736,23420,24957,26562,27498,10963,15180,8798,11744,15125,10829,6838,4941,362118,19355,19715,19871,12614,7758,5331,4042,11226,18704,20604,20932,23202,24627,27537,28138,11328,15655,9755,11942,16472,13037,9773,10500
ACSSF,2014e5,wv,000,0002,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",16723,8130,457,534,535,327,285,159,102,249,398,414,524,461,568,616,530,315,310,192,264,388,243,155,104,8593,431,526,434,287,288,295,125,274,431,484,630,379,550,637,510,255,421,294,206,383,178,281,294
ACSSF,2014e5,wv,000,0002,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",107324,52917,3587,3494,4073,2204,1245,715,685,1627,3264,3508,3482,4090,4009,4018,3321,1554,1904,1080,1284,1598,1036,638,501,54407,3466,3628,3767,2161,1133,598,530,2024,3628,3760,3371,4454,4001,3988,3601,1342,1913,1176,1198,1774,1080,920,894
ACSSF,2014e5,wv,000,0002,0000015,050,54,005,05000US54005,"Boone County, West Virginia",24257,12049,773,989,610,511,255,142,93,463,594,674,875,816,799,913,955,361,553,235,322,510,225,243,138,12208,692,858,609,467,232,116,161,340,617,752,794,901,779,899,1056,389,515,285,318,499,352,298,279
ACSSF,2014e5,wv,000,0002,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",14492,7285,399,331,472,265,160,59,129,237,405,400,410,472,537,568,669,180,302,146,222,441,214,212,55,7207,388,316,503,277,162,78,69,226,350,368,270,594,490,555,576,236,323,234,271,277,332,134,178
ACSSF,2014e5,wv,000,0002,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",23787,11579,537,627,691,447,526,145,137,355,572,579,509,872,790,887,849,553,497,318,378,425,442,283,160,12208,463,645,535,445,372,72,208,521,490,573,541,859,758,955,925,454,607,332,529,493,559,395,477
ACSSF,2014e5,wv,000,0002,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",96826,47070,2896,2354,3083,1517,1655,818,873,2723,3309,3346,2785,2997,2897,3089,2915,1595,1584,1061,1319,1515,1368,741,630,49756,2784,2267,2819,1518,1822,996,1315,2327,3090,3192,2488,3153,2862,3306,3218,1458,1902,1268,1194,2058,1741,1444,1534
ACSSF,2014e5,wv,000,0002,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",7583,3765,144,211,185,141,130,21,28,75,206,219,167,293,269,329,301,124,206,98,69,283,144,64,58,3818,253,163,250,142,45,137,12,157,71,198,203,236,295,284,362,59,200,60,160,159,202,57,113
