FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2010e5,wv,000,0040,0000001,040,54,   ,04000US54,West Virginia,1282621,618341,5500,3482,7300,30149,19450,24347,20217,8820,260337,32191,71488,28691,65104,24423,10940,5902,664280,4861,2211,6183,27724,19244,23778,20667,8068,269232,41622,80019,45766,70421,36217,5261,3006
ACSSF,2010e5,wv,000,0040,0000002,040,54,   ,04001US54,West Virginia -- Urban,566882,263765,2544,685,2022,7986,6379,7793,6948,3943,97695,15346,36297,13647,36886,14291,7328,3975,303117,2347,937,2374,9529,7111,9284,8803,3952,111766,20420,40241,22687,38169,20330,3223,1944
ACSSF,2010e5,wv,000,0040,0000003,040,54,   ,04043US54,West Virginia -- Rural,715739,354576,2956,2797,5278,22163,13071,16554,13269,4877,162642,16845,35191,15044,28218,10132,3612,1927,361163,2514,1274,3809,18195,12133,14494,11864,4116,157466,21202,39778,23079,32252,15887,2038,1062
ACSSF,2010e5,wv,000,0040,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,959092,460580,3829,1841,4322,18609,13152,16762,13669,6523,188051,25310,56518,22683,54145,20580,9512,5074,498512,3636,1380,3915,17541,13595,17048,14887,5869,196688,32274,63331,34993,57024,29287,4407,2637
ACSSF,2010e5,wv,000,0040,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,702547,337702,2624,1269,2883,11854,8894,11634,9893,4771,135370,18997,41404,17605,41755,16453,8049,4247,364845,2578,858,2632,11552,9383,11854,10105,4493,141872,23846,46436,26522,43834,22993,3626,2261
ACSSF,2010e5,wv,000,0040,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,157696,73602,558,174,448,1699,1392,2074,1928,891,24664,4076,10378,4105,11484,4879,3406,1446,84094,673,254,397,2487,1670,2518,2060,992,28001,5582,12105,6300,12283,6662,1429,681
ACSSF,2010e5,wv,000,0040,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,544851,264100,2066,1095,2435,10155,7502,9560,7965,3880,110706,14921,31026,13500,30271,11574,4643,2801,280751,1905,604,2235,9065,7713,9336,8045,3501,113871,18264,34331,20222,31551,16331,2197,1580
ACSSF,2010e5,wv,000,0040,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,256545,122878,1205,572,1439,6755,4258,5128,3776,1752,52681,6313,15114,5078,12390,4127,1463,827,133667,1058,522,1283,5989,4212,5194,4782,1376,54816,8428,16895,8471,13190,6294,781,376
ACSSF,2010e5,wv,000,0040,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,51438,23143,190,49,179,587,510,797,557,473,8085,1400,3736,1140,3279,1348,508,305,28295,252,130,238,1115,549,932,1054,337,10286,2024,4090,2046,3217,1735,135,155
ACSSF,2010e5,wv,000,0040,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,205107,99735,1015,523,1260,6168,3748,4331,3219,1279,44596,4913,11378,3938,9111,2779,955,522,105372,806,392,1045,4874,3663,4262,3728,1039,44530,6404,12805,6425,9973,4559,646,221
ACSSF,2010e5,wv,000,0040,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,323529,157761,1671,1641,2978,11540,6298,7585,6548,2297,72286,6881,14970,6008,10959,3843,1428,828,165768,1225,831,2268,10183,5649,6730,5780,2199,72544,9348,16688,10773,13397,6930,854,369
ACSSF,2010e5,wv,000,0040,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,580074,280639,2876,2213,4417,18295,10556,12713,10324,4049,124967,13194,30084,11086,23349,7970,2891,1655,299435,2283,1353,3551,16172,9861,11924,10562,3575,127360,17776,33583,19244,26587,13224,1635,745
ACSSF,2010e5,wv,000,0040,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",11209,5470,84,23,149,422,136,168,250,64,2594,215,476,198,424,140,65,62,5739,52,15,74,242,170,140,158,51,2891,307,523,313,521,209,12,61
ACSSF,2010e5,wv,000,0040,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",67518,33093,229,184,319,899,1036,1335,911,506,13305,2193,4363,1512,3888,1744,423,246,34425,286,81,172,802,975,1355,665,437,13358,2415,4298,2557,4398,2303,198,125
ACSSF,2010e5,wv,000,0040,0000015,050,54,005,05000US54005,"Boone County, West Virginia",17385,8456,71,63,172,743,509,544,309,45,4067,373,760,262,322,189,27,0,8929,66,0,183,544,525,652,445,86,3737,403,962,445,527,323,21,10
ACSSF,2010e5,wv,000,0040,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",10380,5238,77,43,76,536,302,319,200,112,2319,132,515,345,193,37,31,1,5142,41,17,63,438,128,142,84,133,2491,244,353,288,469,220,25,6
ACSSF,2010e5,wv,000,0040,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",17382,8204,27,25,27,191,269,175,187,28,3937,493,1186,527,720,261,73,78,9178,108,0,54,287,80,298,272,72,4076,630,885,838,994,489,63,32
ACSSF,2010e5,wv,000,0040,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",64645,30841,157,84,142,1051,665,850,852,373,11519,1605,4262,1724,4210,1923,1017,407,33804,328,159,136,1026,834,1218,939,434,11135,2255,5290,2741,4394,2264,530,121
ACSSF,2010e5,wv,000,0040,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",5498,2741,51,52,47,295,87,203,48,27,1340,123,222,28,139,69,0,10,2757,31,21,4,222,100,127,186,55,1094,159,299,235,156,68,0,0
ACSSF,2010e5,wv,000,0040,0000020,050,54,015,05000US54015,"Clay County, West Virginia",6581,3252,89,33,151,155,183,106,121,48,1639,59,234,234,117,75,0,8,3329,27,12,77,303,181,111,155,25,1422,164,339,165,156,133,54,5
ACSSF,2010e5,wv,000,0040,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",5604,2896,0,0,27,163,164,327,160,65,1324,220,239,88,89,24,6,0,2708,84,12,0,135,26,124,142,32,1255,184,275,111,267,61,0,0
ACSSF,2010e5,wv,000,0040,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",32771,16029,112,129,244,1185,645,704,501,160,7469,675,1999,539,1148,404,55,60,16742,122,85,265,1087,726,768,703,217,7340,600,2134,857,1195,590,48,5
ACSSF,2010e5,wv,000,0040,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",5869,3548,35,16,71,241,85,218,158,24,1501,239,396,162,251,118,3,30,2321,32,12,41,214,55,193,62,17,890,54,275,163,210,78,9,16
ACSSF,2010e5,wv,000,0040,0000024,050,54,023,05000US54023,"Grant County, West Virginia",8514,4197,41,29,73,312,115,118,144,54,2310,130,341,95,236,139,50,10,4317,49,36,27,287,141,143,120,65,2033,256,364,252,368,151,25,0
ACSSF,2010e5,wv,000,0040,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",25568,12127,202,102,170,733,366,569,521,240,4752,599,1370,503,1220,392,284,104,13441,104,67,140,640,408,694,493,239,5146,634,1720,769,1462,813,75,37
