FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",High school graduate (includes equivalency),"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",High school graduate (includes equivalency),"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2013e5,wv,000,0043,0000001,040,54,   ,04000US54,West Virginia,1296592,628478,5719,3073,6263,25596,17415,21660,20265,8182,264366,33449,77928,31405,70198,25710,10947,6302,668114,5246,1956,4695,23881,16238,21768,19851,7270,263881,42412,85998,50578,75822,39000,5774,3744
ACSSF,2013e5,wv,000,0043,0000002,040,54,   ,04001US54,West Virginia -- Urban,616560,290013,2577,816,1877,7119,5522,7452,7420,3649,105790,16988,42782,15845,43867,16475,7667,4167,326547,2332,787,1836,8862,6523,9325,8639,3524,116659,22108,44418,26554,45126,23467,3842,2545
ACSSF,2013e5,wv,000,0043,0000003,040,54,   ,04043US54,West Virginia -- Rural,680032,338465,3142,2257,4386,18477,11893,14208,12845,4533,158576,16461,35146,15560,26331,9235,3280,2135,341567,2914,1169,2859,15019,9715,12443,11212,3746,147222,20304,41580,24024,30696,15533,1932,1199
ACSSF,2013e5,wv,000,0043,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1001311,483734,4191,1823,3964,16827,11831,15052,14200,6078,196743,26895,63538,25899,59336,22190,9615,5552,517577,3720,1315,3229,16394,12057,16171,14944,5628,197933,33494,68332,40662,63304,32402,4811,3181
ACSSF,2013e5,wv,000,0043,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,784441,379273,3321,1318,2988,12197,8517,11563,10632,4935,151398,21388,50302,20917,48126,18547,8294,4830,405168,2867,1012,2351,12457,9106,12482,11328,4442,152612,26462,53960,31897,50742,26593,4096,2761
ACSSF,2013e5,wv,000,0043,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,170340,79920,653,208,413,1341,1268,1856,1817,1060,26284,4805,11638,4817,13379,5127,3481,1773,90420,649,229,343,2151,1764,2528,2062,926,29009,5905,12764,7132,14320,7627,1874,1137
ACSSF,2013e5,wv,000,0043,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,614101,299353,2668,1110,2575,10856,7249,9707,8815,3875,125114,16583,38664,16100,34747,13420,4813,3057,314748,2218,783,2008,10306,7342,9954,9266,3516,123603,20557,41196,24765,36422,18966,2222,1624
ACSSF,2013e5,wv,000,0043,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,216870,104461,870,505,976,4630,3314,3489,3568,1143,45345,5507,13236,4982,11210,3643,1321,722,112409,853,303,878,3937,2951,3689,3616,1186,45321,7032,14372,8765,12562,5809,715,420
ACSSF,2013e5,wv,000,0043,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,40760,18973,113,6,101,444,433,537,582,255,6637,1142,3022,1042,3030,1068,348,213,21787,237,65,78,655,428,700,647,264,7789,1502,2902,1940,2942,1411,153,74
ACSSF,2013e5,wv,000,0043,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,176110,85488,757,499,875,4186,2881,2952,2986,888,38708,4365,10214,3940,8180,2575,973,509,90622,616,238,800,3282,2523,2989,2969,922,37532,5530,11470,6825,9620,4398,562,346
ACSSF,2013e5,wv,000,0043,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,295281,144744,1528,1250,2299,8769,5584,6608,6065,2104,67623,6554,14390,5506,10862,3520,1332,750,150537,1526,641,1466,7487,4181,5597,4907,1642,65948,8918,17666,9916,12518,6598,963,563
ACSSF,2013e5,wv,000,0043,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,512151,249205,2398,1755,3275,13399,8898,10097,9633,3247,112968,12061,27626,10488,22072,7163,2653,1472,262946,2379,944,2344,11424,7132,9286,8523,2828,111269,15950,32038,18681,25080,12407,1678,983
