FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2011e5,wv,000,0107,0000001,040,54,   ,04000US54,West Virginia,740080,549784,51993,39880,270,179,82,66,11516,151279,109063,327,232,18,118,41521,148609,124348,519,137,23,165,23417,109184,107387,471,243,75,27,981,88719,87679,753,93,10,18,166,190296,15855,4599,2039,4486,1352,701,2678,50225,11983,7335,10689,2515,3898,13805,55528,19885,9220,9512,1956,3939,11016,36799,25121,6615,3422,451,650,540,31889,21107,6430,2780,655,807,110
ACSSF,2011e5,wv,000,0107,0000002,040,54,   ,04001US54,West Virginia -- Urban,348473,232078,14837,11640,242,81,70,66,2738,44438,33816,184,196,18,118,10106,62044,55950,431,130,21,165,5347,64530,63684,413,214,39,16,164,46229,45519,569,87,10,18,26,116395,9784,2058,1503,3600,1217,634,772,27226,4644,5489,7749,1948,3504,3892,33562,9824,7720,7552,1684,3786,2996,25856,15764,5916,3023,391,645,117,19967,10783,5504,2294,609,729,48
ACSSF,2011e5,wv,000,0107,0000003,040,54,   ,04043US54,West Virginia -- Rural,391607,317706,37156,28240,28,98,12,0,8778,106841,75247,143,36,0,0,31415,86565,68398,88,7,2,0,18070,44654,43703,58,29,36,11,817,42490,42160,184,6,0,0,140,73901,6071,2541,536,886,135,67,1906,22999,7339,1846,2940,567,394,9913,21966,10061,1500,1960,272,153,8020,10943,9357,699,399,60,5,423,11922,10324,926,486,46,78,62
ACSSF,2011e5,wv,000,0107,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,559846,409406,40490,32246,270,153,82,66,7673,107577,79008,261,200,18,118,27972,109967,93918,499,123,21,165,15241,87027,85826,425,243,49,27,457,64345,63627,567,49,10,18,74,150440,13349,3688,1779,4139,1286,664,1793,38767,8863,6155,9038,2132,3170,9409,43750,15124,8022,7792,1746,3491,7575,30129,20088,5727,2962,397,580,375,24445,15177,5655,2286,623,649,55
ACSSF,2011e5,wv,000,0107,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,414603,299657,32515,26496,232,90,71,66,5560,80906,61455,225,168,18,115,18925,80443,69173,485,109,21,165,10490,62546,61633,332,231,35,16,299,43247,42674,470,39,10,18,36,114946,11099,3092,1443,3433,1122,566,1443,29726,6998,4820,7285,1710,2296,6617,34618,11352,6621,6597,1376,2931,5741,22062,13913,4671,2488,241,463,286,17441,10076,4459,1917,550,414,25
ACSSF,2011e5,wv,000,0107,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,102585,60636,2747,2495,0,36,44,29,143,5864,5181,73,125,18,56,411,13376,12763,258,74,21,165,95,21608,21351,178,35,15,16,13,17041,16708,302,31,0,0,0,41949,2332,275,409,723,610,230,85,7096,960,1742,2189,657,1300,248,11317,2343,3175,2561,709,2391,138,11561,6151,3049,1766,186,409,0,9643,4166,3128,1473,505,371,0
ACSSF,2011e5,wv,000,0107,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,312018,239021,29768,24001,232,54,27,37,5417,75042,56274,152,43,0,59,18514,67067,56410,227,35,0,0,10395,40938,40282,154,196,20,0,286,26206,25966,168,8,10,18,36,72997,8767,2817,1034,2710,512,336,1358,22630,6038,3078,5096,1053,996,6369,23301,9009,3446,4036,667,540,5603,10501,7762,1622,722,55,54,286,7798,5910,1331,444,45,43,25
ACSSF,2011e5,wv,000,0107,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,145243,109749,7975,5750,38,63,11,0,2113,26671,17553,36,32,0,3,9047,29524,24745,14,14,0,0,4751,24481,24193,93,12,14,11,158,21098,20953,97,10,0,0,38,35494,2250,596,336,706,164,98,350,9041,1865,1335,1753,422,874,2792,9132,3772,1401,1195,370,560,1834,8067,6175,1056,474,156,117,89,7004,5101,1196,369,73,235,30
ACSSF,2011e5,wv,000,0107,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,31827,20982,590,491,33,0,0,0,66,1927,1622,0,23,0,0,282,4497,4334,14,0,0,0,149,7924,7847,63,0,14,0,0,6044,5986,36,0,0,0,22,10845,408,124,66,142,16,60,0,1645,361,297,360,61,465,101,3064,1156,622,580,175,387,144,3379,2270,741,214,71,83,0,2349,1286,681,140,73,169,0
ACSSF,2011e5,wv,000,0107,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113416,88767,7385,5259,5,63,11,0,2047,24744,15931,36,9,0,3,8765,25027,20411,0,14,0,0,4602,16557,16346,30,12,0,11,158,15054,14967,61,10,0,0,16,24649,1842,472,270,564,148,38,350,7396,1504,1038,1393,361,409,2691,6068,2616,779,615,195,173,1690,4688,3905,315,260,85,34,89,4655,3815,515,229,0,66,30
ACSSF,2011e5,wv,000,0107,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,180234,140378,11503,7634,0,26,0,0,3843,43702,30055,66,32,0,0,13549,38642,30430,20,14,2,0,8176,22157,21561,46,0,26,0,524,24374,24052,186,44,0,0,92,39856,2506,911,260,347,66,37,885,11458,3120,1180,1651,383,728,4396,11778,4761,1198,1720,210,448,3441,6670,5033,888,460,54,70,165,7444,5930,775,494,32,158,55
ACSSF,2011e5,wv,000,0107,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,325477,250127,19478,13384,38,89,11,0,5956,70373,47608,102,64,0,3,22596,68166,55175,34,28,2,0,12927,46638,45754,139,12,40,11,682,45472,45005,283,54,0,0,130,75350,4756,1507,596,1053,230,135,1235,20499,4985,2515,3404,805,1602,7188,20910,8533,2599,2915,580,1008,5275,14737,11208,1944,934,210,187,254,14448,11031,1971,863,105,393,85
ACSSF,2011e5,wv,000,0107,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6210,4737,355,182,0,0,0,0,173,1354,1048,2,0,0,0,304,1547,1245,0,0,0,0,302,617,614,0,0,0,0,3,864,864,0,0,0,0,0,1473,45,14,0,31,0,0,0,315,94,34,18,0,67,102,498,265,33,63,0,29,108,258,171,2,33,3,32,17,357,261,47,21,0,28,0
ACSSF,2011e5,wv,000,0107,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",39303,29662,8965,8071,36,16,0,23,819,11665,9159,0,0,0,0,2506,4571,4044,0,0,0,0,527,2004,2004,0,0,0,0,0,2457,2404,53,0,0,0,0,9641,1665,1027,63,320,11,54,190,2882,869,268,625,111,194,815,2944,1002,362,737,79,191,573,906,592,112,185,6,11,0,1244,673,252,267,52,0,0
ACSSF,2011e5,wv,000,0107,0000015,050,54,005,05000US54005,"Boone County, West Virginia",9755,7548,672,278,0,0,0,0,394,2582,1443,0,5,0,0,1134,1918,1216,6,0,0,0,696,1423,1394,6,0,0,0,23,953,953,0,0,0,0,0,2207,163,17,0,34,0,0,112,1014,188,72,60,19,125,550,577,204,47,31,5,14,276,263,228,20,0,0,0,15,190,151,39,0,0,0,0
ACSSF,2011e5,wv,000,0107,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6087,4715,589,373,0,0,0,0,216,1782,1153,0,0,0,0,629,1134,681,0,0,0,0,453,495,479,0,0,0,0,16,715,702,5,0,0,0,8,1372,76,39,0,30,0,2,5,559,125,23,110,8,6,287,345,147,19,23,10,0,146,150,122,14,14,0,0,0,242,220,18,0,4,0,0
