FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000001,040,54,   ,04000US54,West Virginia,746419,554391,192028
ACSSF,2009e5,wv,000,0096,0000002,040,54,   ,04001US54,West Virginia; Urban,356216,234968,121248
ACSSF,2009e5,wv,000,0096,0000003,040,54,   ,04043US54,West Virginia; Rural,390203,319423,70780
ACSSF,2009e5,wv,000,0096,0000004,040,54,   ,040A0US54,West Virginia; In metropolitan or micropolitan statistical area,561506,411461,150045
ACSSF,2009e5,wv,000,0096,0000005,040,54,   ,040C0US54,West Virginia; In metropolitan statistical area,413534,300491,113043
ACSSF,2009e5,wv,000,0096,0000006,040,54,   ,040C1US54,West Virginia; In metropolitan statistical area -- in principal city,104223,61021,43202
ACSSF,2009e5,wv,000,0096,0000007,040,54,   ,040C2US54,West Virginia; In metropolitan statistical area -- not in principal city,309311,239470,69841
ACSSF,2009e5,wv,000,0096,0000008,040,54,   ,040E0US54,West Virginia; In micropolitan statistical area,147972,110970,37002
ACSSF,2009e5,wv,000,0096,0000009,040,54,   ,040E1US54,West Virginia; In micropolitan statistical area -- in principal city,33093,21515,11578
ACSSF,2009e5,wv,000,0096,0000010,040,54,   ,040E2US54,West Virginia; In micropolitan statistical area -- not in principal city,114879,89455,25424
ACSSF,2009e5,wv,000,0096,0000011,040,54,   ,040G0US54,West Virginia; Not in metropolitan or micropolitan statistical area,184913,142930,41983
ACSSF,2009e5,wv,000,0096,0000012,040,54,   ,040H0US54,West Virginia; Not in metropolitan statistical area,332885,253900,78985
ACSSF,2009e5,wv,000,0096,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",6107,4470,1637
ACSSF,2009e5,wv,000,0096,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",38157,28850,9307
ACSSF,2009e5,wv,000,0096,0000015,050,54,005,05000US54005,"Boone County, West Virginia",10565,8182,2383
ACSSF,2009e5,wv,000,0096,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",6138,4861,1277
ACSSF,2009e5,wv,000,0096,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10006,7608,2398
ACSSF,2009e5,wv,000,0096,0000018,050,54,011,05000US54011,"Cabell County, West Virginia",40671,25994,14677
ACSSF,2009e5,wv,000,0096,0000019,050,54,013,05000US54013,"Calhoun County, West Virginia",3135,2462,673
ACSSF,2009e5,wv,000,0096,0000020,050,54,015,05000US54015,"Clay County, West Virginia",3834,2961,873
ACSSF,2009e5,wv,000,0096,0000021,050,54,017,05000US54017,"Doddridge County, West Virginia",2839,2380,459
ACSSF,2009e5,wv,000,0096,0000022,050,54,019,05000US54019,"Fayette County, West Virginia",18887,14359,4528
ACSSF,2009e5,wv,000,0096,0000023,050,54,021,05000US54021,"Gilmer County, West Virginia",2207,1448,759
ACSSF,2009e5,wv,000,0096,0000024,050,54,023,05000US54023,"Grant County, West Virginia",5209,4199,1010
ACSSF,2009e5,wv,000,0096,0000025,050,54,025,05000US54025,"Greenbrier County, West Virginia",15503,11474,4029
ACSSF,2009e5,wv,000,0096,0000026,050,54,027,05000US54027,"Hampshire County, West Virginia",8851,6596,2255
ACSSF,2009e5,wv,000,0096,0000027,050,54,029,05000US54029,"Hancock County, West Virginia",13429,9798,3631
ACSSF,2009e5,wv,000,0096,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",4795,3815,980
ACSSF,2009e5,wv,000,0096,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",28210,20626,7584
ACSSF,2009e5,wv,000,0096,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11251,8922,2329
ACSSF,2009e5,wv,000,0096,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19491,14860,4631
ACSSF,2009e5,wv,000,0096,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",83590,58878,24712
ACSSF,2009e5,wv,000,0096,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6820,4909,1911
ACSSF,2009e5,wv,000,0096,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8807,6683,2124
ACSSF,2009e5,wv,000,0096,0000035,050,54,045,05000US54045,"Logan County, West Virginia",15261,10931,4330
ACSSF,2009e5,wv,000,0096,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",9492,7372,2120
ACSSF,2009e5,wv,000,0096,0000037,050,54,049,05000US54049,"Marion County, West Virginia",23166,17101,6065
ACSSF,2009e5,wv,000,0096,0000038,050,54,051,05000US54051,"Marshall County, West Virginia",14155,10814,3341
ACSSF,2009e5,wv,000,0096,0000039,050,54,053,05000US54053,"Mason County, West Virginia",10715,8427,2288
ACSSF,2009e5,wv,000,0096,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",25632,18862,6770
ACSSF,2009e5,wv,000,0096,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",11306,8692,2614
ACSSF,2009e5,wv,000,0096,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",11591,8646,2945
ACSSF,2009e5,wv,000,0096,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",31661,19320,12341
ACSSF,2009e5,wv,000,0096,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",5534,4740,794
ACSSF,2009e5,wv,000,0096,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",6857,5311,1546
ACSSF,2009e5,wv,000,0096,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",10247,8455,1792
ACSSF,2009e5,wv,000,0096,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",19797,13839,5958
ACSSF,2009e5,wv,000,0096,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",3717,2827,890
ACSSF,2009e5,wv,000,0096,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",2597,2060,537
ACSSF,2009e5,wv,000,0096,0000050,050,54,075,05000US54075,"Pocahontas County, West Virginia",3600,2830,770
ACSSF,2009e5,wv,000,0096,0000051,050,54,077,05000US54077,"Preston County, West Virginia",11946,9815,2131
ACSSF,2009e5,wv,000,0096,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",21282,18253,3029
ACSSF,2009e5,wv,000,0096,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",32221,24256,7965
ACSSF,2009e5,wv,000,0096,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",11261,8539,2722
