FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2013e5,wv,000,0104,0000001,040,54,   ,04000US54,West Virginia,880951,625143,16614,19455,24941,25073,14447,9490,12282,133212,294
ACSSF,2013e5,wv,000,0104,0000002,040,54,   ,04001US54,West Virginia -- Urban,422723,288641,13451,16274,20867,19878,13027,7814,10437,32225,109
ACSSF,2013e5,wv,000,0104,0000003,040,54,   ,04043US54,West Virginia -- Rural,458228,336502,3163,3181,4074,5195,1420,1676,1845,100987,185
ACSSF,2013e5,wv,000,0104,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,665413,470733,15230,16977,21240,21036,13220,8221,9839,88758,159
ACSSF,2013e5,wv,000,0104,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,522415,366742,13665,13877,17816,17373,11229,7163,8533,65870,147
ACSSF,2013e5,wv,000,0104,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,125694,83700,3593,7977,8857,6290,4572,3127,6048,1519,11
ACSSF,2013e5,wv,000,0104,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,396721,283042,10072,5900,8959,11083,6657,4036,2485,64351,136
ACSSF,2013e5,wv,000,0104,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,142998,103991,1565,3100,3424,3663,1991,1058,1306,22888,12
ACSSF,2013e5,wv,000,0104,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,29150,21779,531,1937,1491,1109,691,390,684,538,0
ACSSF,2013e5,wv,000,0104,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,113848,82212,1034,1163,1933,2554,1300,668,622,22350,12
ACSSF,2013e5,wv,000,0104,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,215538,154410,1384,2478,3701,4037,1227,1269,2443,44454,135
ACSSF,2013e5,wv,000,0104,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,358536,258401,2949,5578,7125,7700,3218,2327,3749,67342,147
ACSSF,2013e5,wv,000,0104,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7823,5755,70,97,81,173,33,11,117,1483,3
ACSSF,2013e5,wv,000,0104,0000014,050,54,003,05000US54003,"Berkeley County, West Virginia",45065,31515,3403,546,971,1162,1009,218,401,5840,0
ACSSF,2013e5,wv,000,0104,0000015,050,54,005,05000US54005,"Boone County, West Virginia",11053,6871,87,83,119,117,13,74,114,3521,54
ACSSF,2013e5,wv,000,0104,0000016,050,54,007,05000US54007,"Braxton County, West Virginia",7387,5105,49,57,127,96,38,40,5,1870,0
ACSSF,2013e5,wv,000,0104,0000017,050,54,009,05000US54009,"Brooke County, West Virginia",10919,8821,147,214,294,422,95,169,65,692,0
