FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Built 2010 or later,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
ACSSF,2014e5,wv,000,0104,0000001,040,54,   ,04000US54,West Virginia,883197,7796,98857,119058,113954,151054,82058,97582,68694,144144
ACSSF,2014e5,wv,000,0104,0000002,040,54,   ,04001US54,West Virginia -- Urban,423397,3395,41634,42977,42121,63761,46315,61519,43023,78652
ACSSF,2014e5,wv,000,0104,0000003,040,54,   ,04043US54,West Virginia -- Rural,459800,4401,57223,76081,71833,87293,35743,36063,25671,65492
ACSSF,2014e5,wv,000,0104,0000004,040,54,   ,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,667159,5983,76229,88009,80341,110078,64974,78482,55466,107597
ACSSF,2014e5,wv,000,0104,0000005,040,54,   ,040C0US54,West Virginia -- In metropolitan statistical area,523963,4957,63119,69986,62787,87117,52468,62674,43120,77735
ACSSF,2014e5,wv,000,0104,0000006,040,54,   ,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,125157,741,6364,6858,7817,15067,14853,22553,17038,33866
ACSSF,2014e5,wv,000,0104,0000007,040,54,   ,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,398806,4216,56755,63128,54970,72050,37615,40121,26082,43869
ACSSF,2014e5,wv,000,0104,0000008,040,54,   ,040E0US54,West Virginia -- In micropolitan statistical area,143196,1026,13110,18023,17554,22961,12506,15808,12346,29862
ACSSF,2014e5,wv,000,0104,0000009,040,54,   ,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,29169,49,741,1001,1421,3028,2931,5617,4786,9595
ACSSF,2014e5,wv,000,0104,0000010,040,54,   ,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,114027,977,12369,17022,16133,19933,9575,10191,7560,20267
ACSSF,2014e5,wv,000,0104,0000011,040,54,   ,040G0US54,West Virginia -- Not in metropolitan or micropolitan statistical area,216038,1813,22628,31049,33613,40976,17084,19100,13228,36547
ACSSF,2014e5,wv,000,0104,0000012,040,54,   ,040H0US54,West Virginia -- Not in metropolitan statistical area,359234,2839,35738,49072,51167,63937,29590,34908,25574,66409
ACSSF,2014e5,wv,000,0104,0000013,050,54,001,05000US54001,"Barbour County, West Virginia",7856,51,642,891,924,1768,796,539,581,1664
