age,County,Population,FIP,Total,age_sort,year,merger
under 5 years,"District of Columbia, District of Columbia",19659,DC_001,633736,4,2010-2014,"under 5 yearsDistrict of Columbia, District of Columbia"
under 5 years,"Calvert County, Maryland",2490,MD_009,89793,4,2010-2014,"under 5 yearsCalvert County, Maryland"
under 5 years,"Charles County, Maryland",4717,MD_017,150960,4,2010-2014,"under 5 yearsCharles County, Maryland"
under 5 years,"Frederick County, Maryland",7526,MD_021,239253,4,2010-2014,"under 5 yearsFrederick County, Maryland"
under 5 years,"Montgomery County, Maryland",33639,MD_031,1005087,4,2010-2014,"under 5 yearsMontgomery County, Maryland"
under 5 years,"Prince George's County, Maryland",30413,MD_033,884764,4,2010-2014,"under 5 yearsPrince George's County, Maryland"
under 5 years,"Arlington County, Virginia",6754,VA_013,220173,4,2010-2014,"under 5 yearsArlington County, Virginia"
under 5 years,"Clarke County, Virginia",388,VA_043,14273,4,2010-2014,"under 5 yearsClarke County, Virginia"
under 5 years,"Culpeper County, Virginia",1609,VA_047,47910,4,2010-2014,"under 5 yearsCulpeper County, Virginia"
under 5 years,"Fairfax County, Virginia",38496,VA_059,1117072,4,2010-2014,"under 5 yearsFairfax County, Virginia"
under 5 years,"Fauquier County, Virginia",1940,VA_061,66726,4,2010-2014,"under 5 yearsFauquier County, Virginia"
under 5 years,"Loudoun County, Virginia",14280,VA_107,338916,4,2010-2014,"under 5 yearsLoudoun County, Virginia"
under 5 years,"Prince William County, Virginia",17634,VA_153,428772,4,2010-2014,"under 5 yearsPrince William County, Virginia"
under 5 years,"Rappahannock County, Virginia",106,VA_157,7446,4,2010-2014,"under 5 yearsRappahannock County, Virginia"
under 5 years,"Spotsylvania County, Virginia",4169,VA_177,126200,4,2010-2014,"under 5 yearsSpotsylvania County, Virginia"
under 5 years,"Stafford County, Virginia",4479,VA_179,134672,4,2010-2014,"under 5 yearsStafford County, Virginia"
under 5 years,"Warren County, Virginia",1167,VA_187,38142,4,2010-2014,"under 5 yearsWarren County, Virginia"
under 5 years,"Alexandria city, Virginia",5519,VA_510,146422,4,2010-2014,"under 5 yearsAlexandria city, Virginia"
under 5 years,"Fairfax city, Virginia",948,VA_600,23507,4,2010-2014,"under 5 yearsFairfax city, Virginia"
under 5 years,"Falls Church city, Virginia",521,VA_610,13074,4,2010-2014,"under 5 yearsFalls Church city, Virginia"
under 5 years,"Fredericksburg city, Virginia",1058,VA_630,26632,4,2010-2014,"under 5 yearsFredericksburg city, Virginia"
under 5 years,"Manassas city, Virginia",1790,VA_683,40436,4,2010-2014,"under 5 yearsManassas city, Virginia"
under 5 years,"Manassas Park city, Virginia",602,VA_685,14992,4,2010-2014,"under 5 yearsManassas Park city, Virginia"
under 5 years,"Jefferson County, West Virginia",1679,WV_037,54650,4,2010-2014,"under 5 yearsJefferson County, West Virginia"
5 to 9 years,"District of Columbia, District of Columbia",14551,DC_001,633736,5,2010-2014,"5 to 9 yearsDistrict of Columbia, District of Columbia"
5 to 9 years,"Calvert County, Maryland",2687,MD_009,89793,5,2010-2014,"5 to 9 yearsCalvert County, Maryland"
5 to 9 years,"Charles County, Maryland",5183,MD_017,150960,5,2010-2014,"5 to 9 yearsCharles County, Maryland"
5 to 9 years,"Frederick County, Maryland",7934,MD_021,239253,5,2010-2014,"5 to 9 yearsFrederick County, Maryland"
5 to 9 years,"Montgomery County, Maryland",33281,MD_031,1005087,5,2010-2014,"5 to 9 yearsMontgomery County, Maryland"
5 to 9 years,"Prince George's County, Maryland",27540,MD_033,884764,5,2010-2014,"5 to 9 yearsPrince George's County, Maryland"
5 to 9 years,"Arlington County, Virginia",4973,VA_013,220173,5,2010-2014,"5 to 9 yearsArlington County, Virginia"
5 to 9 years,"Clarke County, Virginia",512,VA_043,14273,5,2010-2014,"5 to 9 yearsClarke County, Virginia"
5 to 9 years,"Culpeper County, Virginia",1638,VA_047,47910,5,2010-2014,"5 to 9 yearsCulpeper County, Virginia"
5 to 9 years,"Fairfax County, Virginia",38198,VA_059,1117072,5,2010-2014,"5 to 9 yearsFairfax County, Virginia"
5 to 9 years,"Fauquier County, Virginia",2380,VA_061,66726,5,2010-2014,"5 to 9 yearsFauquier County, Virginia"
5 to 9 years,"Loudoun County, Virginia",15659,VA_107,338916,5,2010-2014,"5 to 9 yearsLoudoun County, Virginia"
5 to 9 years,"Prince William County, Virginia",18591,VA_153,428772,5,2010-2014,"5 to 9 yearsPrince William County, Virginia"
5 to 9 years,"Rappahannock County, Virginia",128,VA_157,7446,5,2010-2014,"5 to 9 yearsRappahannock County, Virginia"
5 to 9 years,"Spotsylvania County, Virginia",4634,VA_177,126200,5,2010-2014,"5 to 9 yearsSpotsylvania County, Virginia"
5 to 9 years,"Stafford County, Virginia",4772,VA_179,134672,5,2010-2014,"5 to 9 yearsStafford County, Virginia"
5 to 9 years,"Warren County, Virginia",1302,VA_187,38142,5,2010-2014,"5 to 9 yearsWarren County, Virginia"
5 to 9 years,"Alexandria city, Virginia",3554,VA_510,146422,5,2010-2014,"5 to 9 yearsAlexandria city, Virginia"
5 to 9 years,"Fairfax city, Virginia",574,VA_600,23507,5,2010-2014,"5 to 9 yearsFairfax city, Virginia"
5 to 9 years,"Falls Church city, Virginia",419,VA_610,13074,5,2010-2014,"5 to 9 yearsFalls Church city, Virginia"
5 to 9 years,"Fredericksburg city, Virginia",766,VA_630,26632,5,2010-2014,"5 to 9 yearsFredericksburg city, Virginia"
5 to 9 years,"Manassas city, Virginia",1438,VA_683,40436,5,2010-2014,"5 to 9 yearsManassas city, Virginia"
5 to 9 years,"Manassas Park city, Virginia",551,VA_685,14992,5,2010-2014,"5 to 9 yearsManassas Park city, Virginia"
