MSA,MSA_code,FIPS,1970,1980,1990,2000
"New York-Newark-Jersey City, NY-NJ-PA",408,34041,73879,84429,91607,102437
"New York-Newark-Jersey City, NY-NJ-PA",408,42025,50573,53285,56846,58802
"New York-Newark-Jersey City, NY-NJ-PA",408,42077,255304,272349,291130,312090
"New York-Newark-Jersey City, NY-NJ-PA",408,42095,214368,225418,247105,267066
"New York-Newark-Jersey City, NY-NJ-PA",408,9001,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",408,42089,45422,69409,95709,138687
"New York-Newark-Jersey City, NY-NJ-PA",408,36111,141241,158158,165304,177749
"New York-Newark-Jersey City, NY-NJ-PA",408,9009,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",408,36027,222295,245055,259462,280150
"New York-Newark-Jersey City, NY-NJ-PA",408,36079,56696,77193,83941,95745
"New York-Newark-Jersey City, NY-NJ-PA",408,36059,1428075,1321582,1287348,1334544
"New York-Newark-Jersey City, NY-NJ-PA",408,36103,1124950,1284231,1321864,1419369
"New York-Newark-Jersey City, NY-NJ-PA",408,34013,929986,851116,778206,793633
"New York-Newark-Jersey City, NY-NJ-PA",408,34019,69718,87361,107776,121989
"New York-Newark-Jersey City, NY-NJ-PA",408,34027,383454,407630,421353,470212
"New York-Newark-Jersey City, NY-NJ-PA",408,34035,198372,203129,240279,297490
"New York-Newark-Jersey City, NY-NJ-PA",408,34037,77528,116119,130943,144166
"New York-Newark-Jersey City, NY-NJ-PA",408,34039,543116,504094,493819,522541
"New York-Newark-Jersey City, NY-NJ-PA",408,42103,11818,18271,27966,46302
"New York-Newark-Jersey City, NY-NJ-PA",408,34003,898012,845385,825380,884118
"New York-Newark-Jersey City, NY-NJ-PA",408,34017,609266,556972,553099,608975
"New York-Newark-Jersey City, NY-NJ-PA",408,34023,583813,595893,671780,750162
"New York-Newark-Jersey City, NY-NJ-PA",408,34025,459379,503173,553124,615301
"New York-Newark-Jersey City, NY-NJ-PA",408,34029,208470,346038,433203,510916
"New York-Newark-Jersey City, NY-NJ-PA",408,34031,460782,447585,453060,489049
"New York-Newark-Jersey City, NY-NJ-PA",408,36005,1471690,1168972,1203789,1332650
"New York-Newark-Jersey City, NY-NJ-PA",408,36047,2602012,2230936,2300664,2465326
"New York-Newark-Jersey City, NY-NJ-PA",408,36061,1539233,1428285,1487536,1537195
"New York-Newark-Jersey City, NY-NJ-PA",408,36071,221657,259603,307647,341367
"New York-Newark-Jersey City, NY-NJ-PA",408,36081,1986473,1891325,1951598,2229379
"New York-Newark-Jersey City, NY-NJ-PA",408,36085,295443,352121,378977,443728
"New York-Newark-Jersey City, NY-NJ-PA",408,36087,229903,259530,265475,286753
"New York-Newark-Jersey City, NY-NJ-PA",408,36119,894104,866599,874866,923459
"New York-Newark-Jersey City, NY-NJ-PA",408,9005,0,0,0,0
"New York-Newark-Jersey City, NY-NJ-PA",408,34021,303968,307863,325824,350761
"Los Angeles-Long Beach-Anaheim, CA",348,6059,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",348,6037,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",348,6111,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",348,6065,0,0,0,0
"Los Angeles-Long Beach-Anaheim, CA",348,6071,0,0,0,0
"Chicago-Naperville-Elgin, IL-IN-WI",176,17031,5488328,5253655,5105067,5376741
"Chicago-Naperville-Elgin, IL-IN-WI",176,17043,491882,658835,781666,904161
"Chicago-Naperville-Elgin, IL-IN-WI",176,17063,26535,30582,32337,37535
"Chicago-Naperville-Elgin, IL-IN-WI",176,17093,26374,37202,39413,54544
"Chicago-Naperville-Elgin, IL-IN-WI",176,17111,111555,147897,183241,260077
"Chicago-Naperville-Elgin, IL-IN-WI",176,17197,249498,324460,357313,502266
"Chicago-Naperville-Elgin, IL-IN-WI",176,17037,71654,74624,77932,88969
"Chicago-Naperville-Elgin, IL-IN-WI",176,17089,251005,278405,317471,404119
"Chicago-Naperville-Elgin, IL-IN-WI",176,18073,20429,26138,24960,30043
"Chicago-Naperville-Elgin, IL-IN-WI",176,18089,546253,522965,475594,484564
"Chicago-Naperville-Elgin, IL-IN-WI",176,18111,11606,14844,13551,14566
"Chicago-Naperville-Elgin, IL-IN-WI",176,18127,87114,119816,128932,146798
"Chicago-Naperville-Elgin, IL-IN-WI",176,17097,382638,440372,516418,644356
"Chicago-Naperville-Elgin, IL-IN-WI",176,55059,117917,123137,128181,149577
"Chicago-Naperville-Elgin, IL-IN-WI",176,17091,97250,102926,96255,103833
"Chicago-Naperville-Elgin, IL-IN-WI",176,18091,105342,108632,107066,110106
"Chicago-Naperville-Elgin, IL-IN-WI",176,17011,38541,39114,35688,35503
"Chicago-Naperville-Elgin, IL-IN-WI",176,17099,111409,112033,106913,111509
"Chicago-Naperville-Elgin, IL-IN-WI",176,17155,5007,6085,5730,6086
"Dallas-Fort Worth-Arlington, TX",206,48213,26466,42606,58543,73277
"Dallas-Fort Worth-Arlington, TX",206,48147,22705,24285,24804,31242
"Dallas-Fort Worth-Arlington, TX",206,48349,31150,35323,39926,45124
"Dallas-Fort Worth-Arlington, TX",206,48085,66920,144576,264036,491675
"Dallas-Fort Worth-Arlington, TX",206,48113,1327321,1556390,1852810,2218899
"Dallas-Fort Worth-Arlington, TX",206,48121,75633,143126,273525,432976
"Dallas-Fort Worth-Arlington, TX",206,48139,46736,59743,85167,111360
