MSA,FIPS,1970,1980,1990,2000,type
"New York-Newark-Jersey City, NY-NJ-PA",408,20272853,19764358,20492636,22240879,MSA
"Los Angeles-Long Beach-Anaheim, CA",348,9973445,11497568,14531529,16373645,MSA
"Chicago-Naperville-Elgin, IL-IN-WI",176,8240337,8421722,8533728,9465353,MSA
"Dallas-Fort Worth-Arlington, TX",206,2691079,3333717,4353826,5596247,MSA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",428,6051652,6060018,6340453,6688798,MSA
"Houston-The Woodlands-Sugar Land, TX",288,2313892,3288864,3916362,4878216,MSA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",548,5650177,6085025,7062154,7981257,MSA
"Miami-Fort Lauderdale-West Palm Beach, FL",370,1094918,1826419,2489912,5475847,MSA
"Atlanta-Sandy Springs-Roswell, GA",122,2148137,2691261,3494489,4778990,MSA
"Boston-Cambridge-Newton, MA-NH",148,6467611,6664763,7147813,7630016,MSA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24003,297539,370775,427239,489656,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24005,621077,655615,692134,754292,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24013,69006,96356,123372,150897,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24025,115378,145930,182132,218590,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24027,61911,118572,187328,247842,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24035,18422,25508,33953,40563,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24510,905759,786775,736014,651154,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24037,47388,59895,75974,86211,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24019,29405,30623,30236,30674,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",42055,100833,113629,121082,129313,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24041,23682,25604,30549,33812,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24043,103829,113086,121393,131923,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",54003,36356,46775,59253,75905,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24021,84927,114792,150208,195277,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24031,522809,579053,757027,873341,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",11001,756510,638333,606900,572059,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24009,20682,34638,51372,74563,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24017,47678,72751,101154,120546,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",24033,660567,665071,729268,801515,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51013,174284,152599,170936,189453,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51043,8102,9965,12101,12652,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51047,18218,22620,27791,34262,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51059,455021,596901,818584,969749,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51061,26375,35889,48741,55139,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51107,37150,57427,86129,169599,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51153,111102,144703,215686,280813,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51157,5199,6093,6622,6983,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51177,16424,34435,57403,90395,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51179,24587,40470,61236,92446,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51187,15301,21200,26142,31584,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51510,110938,103217,111183,128283,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51600,21970,19390,19622,21498,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51610,10772,9515,9578,10377,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51630,14450,15322,19027,19279,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51683,0,15438,27957,35135,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51685,0,6524,6734,10290,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",54037,21280,30302,35926,42190,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51069,28893,34150,45723,59209,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",51840,14643,20217,21947,23585,county
"Washington-Arlington-Alexandria, DC-VA-MD-WV",54027,11710,14867,16498,20203,county
