mkey,logrecno,state,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",sumlevel,logrecno,state
dc0000188,0000188,dc,0,0,0,0,0,0,0,0,0,16,28,80,82,70,84,244,,150,0000188,dc
dc0000189,0000189,dc,20,14,83,22,13,0,13,0,36,42,14,35,108,122,160,227,,150,0000189,dc
dc0000190,0000190,dc,0,0,0,0,0,11,0,0,0,10,34,47,16,16,91,272,,150,0000190,dc
dc0000191,0000191,dc,50,0,0,0,0,0,0,16,0,16,26,0,0,31,21,301,,150,0000191,dc
dc0000192,0000192,dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,0000192,dc
dc0000193,0000193,dc,0,0,0,6,8,0,8,0,28,0,15,22,33,38,62,242,,150,0000193,dc
dc0000194,0000194,dc,30,9,10,0,0,0,0,14,0,9,8,8,50,8,29,105,,150,0000194,dc
dc0000195,0000195,dc,25,0,0,9,0,9,0,0,0,0,16,0,9,26,93,107,,150,0000195,dc
dc0000196,0000196,dc,50,0,0,9,29,0,11,0,12,115,17,0,79,26,39,130,,150,0000196,dc
dc0000197,0000197,dc,85,0,18,0,0,40,9,0,0,13,0,79,60,58,24,127,,150,0000197,dc
dc0000198,0000198,dc,23,50,11,0,23,0,0,0,0,69,110,118,69,46,74,159,,150,0000198,dc
dc0000199,0000199,dc,51,8,0,0,0,40,9,25,0,14,30,28,32,31,49,283,,150,0000199,dc
dc0000200,0000200,dc,20,0,0,0,0,0,0,0,14,0,0,39,70,53,134,290,,150,0000200,dc
dc0000201,0000201,dc,5,0,0,0,0,0,5,0,0,6,0,28,6,10,32,93,,150,0000201,dc
dc0000202,0000202,dc,35,7,7,8,18,0,32,0,6,35,30,22,36,19,25,140,,150,0000202,dc
dc0000203,0000203,dc,41,40,0,0,0,0,34,0,0,35,90,117,153,31,52,149,,150,0000203,dc
dc0000204,0000204,dc,84,17,7,11,0,26,0,16,17,130,56,93,163,93,200,311,,150,0000204,dc
dc0000205,0000205,dc,15,8,0,0,0,0,7,9,12,46,39,72,126,89,72,316,,150,0000205,dc
dc0000206,0000206,dc,27,25,0,23,31,49,0,10,0,35,36,118,97,91,80,184,,150,0000206,dc
dc0000207,0000207,dc,22,25,0,0,0,0,0,0,0,0,40,30,77,50,159,213,,150,0000207,dc
dc0000208,0000208,dc,10,11,10,0,0,0,13,0,0,0,24,0,0,33,0,334,,150,0000208,dc
dc0000209,0000209,dc,36,0,20,0,0,0,0,0,34,0,40,0,56,8,29,136,,150,0000209,dc
dc0000210,0000210,dc,0,23,0,0,0,0,0,0,0,0,76,48,46,24,14,498,,150,0000210,dc
dc0000211,0000211,dc,60,90,0,16,18,19,0,19,16,74,176,79,83,29,73,84,,150,0000211,dc
dc0000212,0000212,dc,38,28,0,0,33,32,51,48,0,24,93,67,212,29,25,83,,150,0000212,dc
dc0000213,0000213,dc,73,14,31,46,16,58,13,0,57,45,96,174,81,115,181,265,,150,0000213,dc
dc0000214,0000214,dc,41,0,14,0,47,54,17,20,0,8,0,104,43,40,23,147,,150,0000214,dc
dc0000215,0000215,dc,28,54,14,0,0,16,25,15,36,31,165,193,109,53,116,66,,150,0000215,dc
dc0000216,0000216,dc,19,102,70,0,72,0,0,7,12,114,210,84,35,47,12,0,,150,0000216,dc
dc0000217,0000217,dc,0,31,0,0,0,0,2,23,12,61,92,55,108,75,33,12,,150,0000217,dc
dc0000218,0000218,dc,104,8,93,12,37,0,35,14,16,30,44,272,102,37,126,265,,150,0000218,dc
dc0000219,0000219,dc,0,0,0,0,0,0,0,0,0,0,9,0,14,0,81,206,,150,0000219,dc
dc0000220,0000220,dc,33,19,0,18,0,31,0,14,27,0,14,85,66,0,138,438,,150,0000220,dc
dc0000221,0000221,dc,0,0,29,0,0,0,29,27,0,10,9,53,45,43,0,104,,150,0000221,dc
dc0000222,0000222,dc,75,45,0,4,34,20,13,23,20,57,82,146,41,31,82,233,,150,0000222,dc
dc0000223,0000223,dc,71,5,0,0,0,0,0,0,0,0,62,11,26,24,41,184,,150,0000223,dc
dc0000224,0000224,dc,13,21,0,0,0,0,0,0,0,16,9,19,75,44,77,276,,150,0000224,dc
dc0000225,0000225,dc,0,0,0,0,14,0,9,36,0,12,41,45,44,17,23,358,,150,0000225,dc
dc0000226,0000226,dc,0,0,10,9,0,0,0,37,0,0,10,29,24,0,22,287,,150,0000226,dc
dc0000227,0000227,dc,6,0,0,0,0,0,5,29,0,0,0,33,31,7,59,225,,150,0000227,dc
dc0000228,0000228,dc,0,0,4,0,13,7,0,0,20,36,11,18,50,62,47,235,,150,0000228,dc
dc0000229,0000229,dc,0,0,0,0,0,0,0,0,0,15,0,18,33,44,94,85,,150,0000229,dc
