estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2006-2010,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2006-2010,FILETYPE,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5,2010e5
2006-2010,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2006-2010,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2006-2010,SEQUENCE,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034,0034
2006-2010,LOGRECNO,0000007,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2006-2010,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2006-2010,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2006-2010,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2006-2010,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2006-2010,B11005_1_total,257317,30313,49898,83455,353177,301906,91892,5535,15834,381768,22369,95330,124879,3163,41009,40183,14160,63738,8524,4706,9206,11732,4206,19164
2006-2010,B11005_2_households_with_one_or_more_people_under_18_years,54238,12668,20949,32243,126688,111316,18721,1778,6515,139185,7988,44129,58173,1004,18476,18885,4948,12787,2478,1712,2281,5382,1877,6601
2006-2010,B11005_3_family_households,53799,12572,20707,32125,126250,110205,18664,1775,6455,138437,7961,43968,57921,970,18360,18787,4916,12762,2465,1695,2245,5369,1877,6516
2006-2010,B11005_4_married-couple_family,21331,9619,13392,24737,94903,59603,13701,1399,4925,110838,6139,37067,43005,697,13218,14646,3629,8209,1957,1296,1158,3683,1320,5091
2006-2010,B11005_5_other_family,32468,2953,7315,7388,31347,50602,4963,376,1530,27599,1822,6901,14916,273,5142,4141,1287,4553,508,399,1087,1686,557,1425
2006-2010,"B11005_6_male_householder,_no_wife_present",4678,720,1340,2030,6312,11202,1109,165,513,7082,629,1863,3871,108,1310,1244,286,939,128,84,181,549,189,438
2006-2010,"B11005_7_female_householder,_no_husband_present",27790,2233,5975,5358,25035,39400,3854,211,1017,20517,1193,5038,11045,165,3832,2897,1001,3614,380,315,906,1137,368,987
2006-2010,B11005_8_nonfamily_households,439,96,242,118,438,1111,57,3,60,748,27,161,252,34,116,98,32,25,13,17,36,13,0,85
