index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000018,0000028,0000031,0000034,0000044,0000057,0000058,0000059,0000061,0000062,0000068,0000090,0000111,0000049,0000057,0000058,0000068,0000076,0000042,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,55,2007-2011
GEO_ID,05000US17011,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17091,05000US17093,05000US17097,05000US17099,05000US17111,05000US17155,05000US17197,05000US18073,05000US18089,05000US18091,05000US18111,05000US18127,05000US55059,2007-2011
GEO_NAME,"Bureau County, Illinois","Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kankakee County, Illinois","Kendall County, Illinois","Lake County, Illinois","LaSalle County, Illinois","McHenry County, Illinois","Putnam County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","LaPorte County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin",2007-2011
B01003_1_total,34963,5182969,104684,914224,49460,509622,112895,110767,700424,113865,307721,5989,674166,33254,495272,111286,14270,163406,165467,2007-2011
B01001_1_total,34963,5182969,104684,914224,49460,509622,112895,110767,700424,113865,307721,5989,674166,33254,495272,111286,14270,163406,165467,2007-2011
B01001_2_male,17037,2509506,52260,448461,24570,254341,55445,55027,349828,56700,153437,3028,335446,16565,239031,57503,7210,80298,81856,2007-2011
B01001_3_under_5_years,1026,175069,3369,29123,1891,20741,3934,5147,24487,3462,10308,186,25550,1086,17160,3360,381,5065,5552,2007-2011
B01001_4_5_to_9_years,1096,167103,3404,31695,1976,21219,3902,5464,27833,4006,12673,203,28933,1122,18188,3161,511,5421,5595,2007-2011
B01001_5_10_to_14_years,1174,176018,3252,34047,1899,21430,4439,4665,28731,3525,12354,193,29002,1456,18341,4000,484,6152,6832,2007-2011
B01001_6_15_to_17_years,845,111956,1889,21781,1152,12691,2614,2660,18082,2413,7932,130,17517,755,11503,2552,328,3699,3979,2007-2011
B01001_7_18_and_19_years,425,71668,3114,12474,614,6930,1791,1272,12347,1505,4327,82,9531,522,6938,1458,208,2466,2707,2007-2011
B01001_8_20_years,170,35309,2059,5577,382,2939,1153,587,5207,683,1707,48,4100,402,2909,773,140,1064,1237,2007-2011
B01001_9_21_years,293,35041,2242,5174,390,3453,797,472,4325,777,1687,13,3736,135,2996,834,13,1108,1177,2007-2011
B01001_10_22_to_24_years,382,113940,3986,17606,546,9074,1930,1685,13666,2211,4742,65,11088,490,8711,2187,231,2961,3277,2007-2011
B01001_11_25_to_29_years,947,215412,4150,30322,1569,16622,3474,3639,19968,3621,8341,157,19503,1019,15384,4183,358,5105,5053,2007-2011
B01001_12_30_to_34_years,970,195769,3331,28671,1727,17625,3415,4504,20541,3267,9187,166,22197,1091,14978,4021,427,4926,5213,2007-2011
B01001_13_35_to_39_years,1010,181325,3058,30670,1769,19313,3262,5058,23956,3488,10999,147,26221,826,15334,4236,345,5502,5535,2007-2011
B01001_14_40_to_44_years,1114,173101,3050,32907,1935,19352,3943,4666,26108,3794,12981,189,27936,1233,15407,3906,551,5503,6311,2007-2011
B01001_15_45_to_49_years,1267,176140,3347,36228,2001,19424,3990,3928,28666,4486,13704,245,27281,1269,17610,4435,623,5989,6786,2007-2011
