index,06037,06059,06065,06071,06111,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,ca,ca,ca,ca,ca,2007-2011
CHARITER,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000031,0000042,0000045,0000048,0000068,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,2007-2011
STATE_FIPS,06,06,06,06,06,2007-2011
GEO_ID,05000US06037,05000US06059,05000US06065,05000US06071,05000US06111,2007-2011
GEO_NAME,"Los Angeles County, California","Orange County, California","Riverside County, California","San Bernardino County, California","Ventura County, California",2007-2011
B01003_1_total,9787747,2989948,2154844,2023452,815745,2007-2011
B01001_1_total,9787747,2989948,2154844,2023452,815745,2007-2011
B01001_2_male,4826636,1479611,1073455,1007191,405416,2007-2011
B01001_3_under_5_years,334804,99585,83029,81711,28301,2007-2011
B01001_4_5_to_9_years,325894,102507,83603,80282,28510,2007-2011
B01001_5_10_to_14_years,350858,106266,90663,87465,31249,2007-2011
B01001_6_15_to_17_years,229910,69792,57481,56729,20267,2007-2011
B01001_7_18_and_19_years,153900,45194,36736,35953,12908,2007-2011
B01001_8_20_years,81410,23638,18336,18430,7184,2007-2011
B01001_9_21_years,78629,21591,14898,17557,6083,2007-2011
B01001_10_22_to_24_years,219524,64026,44608,46487,16304,2007-2011
B01001_11_25_to_29_years,391063,111559,72040,73814,27697,2007-2011
B01001_12_30_to_34_years,359077,99550,68147,67395,25530,2007-2011
B01001_13_35_to_39_years,362313,108764,72216,67722,26517,2007-2011
B01001_14_40_to_44_years,360475,111848,75239,68860,29617,2007-2011
B01001_15_45_to_49_years,349013,113892,75828,70343,30933,2007-2011
B01001_16_50_to_54_years,317544,103140,67950,64602,29271,2007-2011
B01001_17_55_to_59_years,260202,83672,54404,51247,23693,2007-2011
B01001_18_60_and_61_years,92101,29525,19012,19409,9680,2007-2011
B01001_19_62_to_64_years,114720,37494,25800,21773,10641,2007-2011
B01001_20_65_and_66_years,63891,22013,15000,12450,5903,2007-2011
B01001_21_67_to_69_years,79091,26745,20230,14726,7861,2007-2011
B01001_22_70_to_74_years,108278,35325,28489,19619,9501,2007-2011
B01001_23_75_to_79_years,82948,27247,23162,13976,7342,2007-2011
B01001_24_80_to_84_years,60950,19718,15377,9799,5665,2007-2011
B01001_25_85_years_and_over,50041,16520,11207,6842,4759,2007-2011
B01001_26_female,4961111,1510337,1081389,1016261,410329,2007-2011
B01001_27_under_5_years,319473,94645,80031,78238,27329,2007-2011
B01001_28_5_to_9_years,310867,97553,81669,76432,28441,2007-2011
B01001_29_10_to_14_years,336456,101837,85948,83127,28669,2007-2011
B01001_30_15_to_17_years,219569,65953,54485,54016,19374,2007-2011
B01001_31_18_and_19_years,146599,42284,34076,32457,11484,2007-2011
B01001_32_20_years,77063,21861,16720,17502,5813,2007-2011
B01001_33_21_years,72679,21708,15185,15026,5553,2007-2011
B01001_34_22_to_24_years,211807,58724,40984,43478,14837,2007-2011
B01001_35_25_to_29_years,377417,104687,70099,72377,25493,2007-2011
B01001_36_30_to_34_years,354828,98083,68492,67822,24887,2007-2011
B01001_37_35_to_39_years,363866,110477,74559,68253,26833,2007-2011
B01001_38_40_to_44_years,360238,114234,72886,71463,29864,2007-2011
B01001_39_45_to_49_years,355310,115219,74030,72286,31872,2007-2011
B01001_40_50_to_54_years,333916,105489,67061,67007,30258,2007-2011
B01001_41_55_to_59_years,286509,88065,56942,54649,25293,2007-2011
B01001_42_60_and_61_years,101958,32533,21172,19154,9608,2007-2011
B01001_43_62_to_64_years,128761,42432,27959,23403,11568,2007-2011
B01001_44_65_and_66_years,74195,24822,16730,13805,7363,2007-2011
B01001_45_67_to_69_years,94331,29274,23636,17120,8185,2007-2011
B01001_46_70_to_74_years,135574,43444,32298,22898,11071,2007-2011
B01001_47_75_to_79_years,108511,34821,26668,17619,9651,2007-2011
B01001_48_80_to_84_years,94319,30740,21592,14489,8362,2007-2011
B01001_49_85_years_and_over,96865,31452,18167,13640,8521,2007-2011
B02001_1_total,9787747,2989948,2154844,2023452,815745,2007-2011
B02001_2_white_alone,5126367,1852969,1422604,1240228,578324,2007-2011
B02001_3_black_or_african_american_alone,844048,49513,135859,176209,14435,2007-2011
B02001_4_american_indian_and_alaska_native_alone,49329,12548,21493,20762,9186,2007-2011
B02001_5_asian_alone,1347782,532499,127522,126991,56230,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,26310,9331,6955,5984,1410,2007-2011
B02001_7_some_other_race_alone,2064759,445801,359512,364236,123892,2007-2011
B02001_8_two_or_more_races,329152,87287,80899,89042,32268,2007-2011
B02001_9_two_races_including_some_other_race,107781,22157,26038,29019,9699,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",221371,65130,54861,60023,22569,2007-2011
B11001_1_total,3218518,987164,672896,598822,264982,2007-2011
B11001_2_family_households,2168086,702684,497596,457545,196174,2007-2011
B11001_3_married-couple_family,1457485,535707,370971,321474,149706,2007-2011
B11001_4_other_family,710601,166977,126625,136071,46468,2007-2011
"B11001_5_male_householder,_no_wife_present",215665,54409,39227,40676,14304,2007-2011
"B11001_6_female_householder,_no_husband_present",494936,112568,87398,95395,32164,2007-2011
B11001_7_nonfamily_households,1050432,284480,175300,141277,68808,2007-2011
B11001_8_householder_living_alone,823707,217959,137393,112611,53606,2007-2011
B11001_9_householder_not_living_alone,226725,66521,37907,28666,15202,2007-2011
B15002_1_total,6318305,1952784,1316392,1198562,523439,2007-2011
B15002_2_male,3051707,947012,644101,582577,254610,2007-2011
B15002_3_no_schooling_completed,80122,16680,11933,12248,4319,2007-2011
B15002_4_nursery_to_4th_grade,74170,12798,11872,10780,4863,2007-2011
B15002_5_5th_and_6th_grade,177821,36673,26823,22702,12028,2007-2011
B15002_6_7th_and_8th_grade,72143,14864,13346,13023,3797,2007-2011
B15002_7_9th_grade,89009,23793,17219,16312,5125,2007-2011
B15002_8_10th_grade,57213,11672,14218,14400,4100,2007-2011
B15002_9_11th_grade,78904,15094,22001,23510,5365,2007-2011
"B15002_10_12th_grade,_no_diploma",98949,22993,22067,19914,5749,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",641848,165489,163092,156152,48822,2007-2011
"B15002_12_some_college,_less_than_1_year",133067,45175,46589,42068,15184,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",443085,149097,112518,99602,43135,2007-2011
B15002_14_associate's_degree,190736,67746,44116,44606,18780,2007-2011
B15002_15_bachelor's_degree,584045,231555,88671,68822,51229,2007-2011
B15002_16_master's_degree,196061,83389,31145,25037,20163,2007-2011
B15002_17_professional_school_degree,87690,31763,11610,8258,7660,2007-2011
B15002_18_doctorate_degree,46844,18231,6881,5143,4291,2007-2011
B15002_19_female,3266598,1005772,672291,615985,268829,2007-2011
B15002_20_no_schooling_completed,101668,21458,12851,13419,5221,2007-2011
B15002_21_nursery_to_4th_grade,89549,15893,11590,10425,5822,2007-2011
B15002_22_5th_and_6th_grade,196302,39485,26727,25183,12070,2007-2011
B15002_23_7th_and_8th_grade,80389,16947,14539,14689,3974,2007-2011
B15002_24_9th_grade,92170,22181,16882,15183,5051,2007-2011
B15002_25_10th_grade,57735,15671,13535,14322,4101,2007-2011
B15002_26_11th_grade,75922,15343,18736,21212,4795,2007-2011
"B15002_27_12th_grade,_no_diploma",89607,22092,18671,18921,5261,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",674593,192295,174813,161378,52728,2007-2011
"B15002_29_some_college,_less_than_1_year",157355,58077,54290,45107,19224,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",478187,158570,121583,107886,47589,2007-2011
B15002_31_associate's_degree,241169,86290,55364,52821,24086,2007-2011
B15002_32_bachelor's_degree,624448,230587,87350,76460,50903,2007-2011
B15002_33_master's_degree,214890,79636,35040,29749,20988,2007-2011
B15002_34_professional_school_degree,61391,21312,6594,6214,4440,2007-2011
B15002_35_doctorate_degree,31223,9935,3726,3016,2576,2007-2011
B19001_1_total,3218518,987164,672896,598822,264982,2007-2011
"B19001_2_less_than_$10,000",196705,38785,32663,33204,9154,2007-2011
"B19001_3_$10,000_to_$14,999",188853,32854,33424,31092,9697,2007-2011
"B19001_4_$15,000_to_$19,999",169906,33259,32019,29048,9067,2007-2011
"B19001_5_$20,000_to_$24,999",163499,36128,36126,30107,9734,2007-2011
"B19001_6_$25,000_to_$29,999",157603,36488,33241,29586,9701,2007-2011
"B19001_7_$30,000_to_$34,999",154617,36093,34747,30123,9757,2007-2011
"B19001_8_$35,000_to_$39,999",145814,36561,30532,29247,8976,2007-2011
"B19001_9_$40,000_to_$44,999",141422,37612,31524,28385,10796,2007-2011
"B19001_10_$45,000_to_$49,999",125011,35070,26901,26314,9357,2007-2011
"B19001_11_$50,000_to_$59,999",246548,70558,53329,51958,18340,2007-2011
"B19001_12_$60,000_to_$74,999",313816,95390,71039,62867,25439,2007-2011
"B19001_13_$75,000_to_$99,999",385543,133367,90458,81614,36292,2007-2011
"B19001_14_$100,000_to_$124,999",269042,106162,61899,53084,30914,2007-2011
"B19001_15_$125,000_to_$149,999",170079,73758,38438,31643,20797,2007-2011
"B19001_16_$150,000_to_$199,999",186110,87624,37604,30672,23684,2007-2011
"B19001_17_$200,000_or_more",203950,97455,28952,19878,23277,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),56266,75762,58365,55853,76728,2007-2011
B25001_1_total,3437584,1046323,794478,696776,280758,2007-2011
B25003_1_total,3218518,987164,672896,598822,264982,2007-2011
B25003_2_owner_occupied,1539554,595444,465385,384624,174310,2007-2011
B25003_3_renter_occupied,1678964,391720,207511,214198,90672,2007-2011
B25024_1_total,3437584,1046323,794478,696776,280758,2007-2011
"B25024_2_1,_detached",1713982,534262,539438,495382,181117,2007-2011
"B25024_3_1,_attached",226826,127332,50690,24332,31019,2007-2011
B25024_4_2,83222,18162,10628,12591,3765,2007-2011
B25024_5_3_or_4,196888,72980,25513,32831,11589,2007-2011
B25024_6_5_to_9,271278,67035,32002,30266,12761,2007-2011
B25024_7_10_to_19,267599,62059,25744,23377,10291,2007-2011
B25024_8_20_to_49,308734,43296,14194,12991,8444,2007-2011
B25024_9_50_or_more,312032,88136,19810,21554,10302,2007-2011
B25024_10_mobile_home,54533,32279,74549,42394,11108,2007-2011
"B25024_11_boat,_rv,_van,_etc.",2490,782,1910,1058,362,2007-2011
B25077_1_median_value_(dollars),478300,575100,284100,278400,515900,2007-2011
B25034_1_total,3437584,1046323,794478,696776,280758,2007-2011
B25034_2_built_2005_or_later,73183,27768,81914,41283,9721,2007-2011
B25034_3_built_2000_to_2004,110431,65057,131473,60928,21123,2007-2011
B25034_4_built_1990_to_1999,208532,119624,129562,91781,30260,2007-2011
B25034_5_built_1980_to_1989,403669,165561,179232,164198,46554,2007-2011
B25034_6_built_1970_to_1979,493162,262938,123630,124387,64071,2007-2011
B25034_7_built_1960_to_1969,521613,212127,64722,76163,60473,2007-2011
B25034_8_built_1950_to_1959,719440,138656,52023,81478,29485,2007-2011
B25034_9_built_1940_to_1949,388888,26948,15640,29646,8705,2007-2011
B25034_10_built_1939_or_earlier,518666,27644,16282,26912,10366,2007-2011
B25127_1_total,3218518,987164,672896,598822,264982,2007-2011
B25127_2_owner_occupied,1539554,595444,465385,384624,174310,2007-2011
B25127_3_built_2000_or_later,81727,51013,136279,60398,19319,2007-2011
"B25127_4_1,_detached__or_attached",66381,44912,128431,56473,17743,2007-2011
B25127_5_2_to_4,1231,654,675,607,124,2007-2011
B25127_6_5_to_19,3420,763,647,517,170,2007-2011
B25127_7_20_to_49,2253,89,100,11,51,2007-2011
B25127_8_50_or_more,4135,792,41,66,110,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",4307,3803,6385,2724,1121,2007-2011
B25127_10_built_1980_to_1999,263285,163689,183941,148295,52356,2007-2011
"B25127_11_1,_detached__or_attached",204216,140817,163311,134776,47430,2007-2011
B25127_12_2_to_4,6984,4360,1232,1505,1018,2007-2011
B25127_13_5_to_19,19257,7933,1286,1939,1305,2007-2011
B25127_14_20_to_49,10596,1143,274,177,295,2007-2011
B25127_15_50_or_more,11013,2306,531,281,333,2007-2011
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",11219,7130,17307,9617,1975,2007-2011
B25127_17_built_1960_to_1979,383421,267332,99069,103720,77218,2007-2011
"B25127_18_1,_detached__or_attached",307873,231817,72618,87379,69783,2007-2011
B25127_19_2_to_4,7953,6960,947,794,1263,2007-2011
B25127_20_5_to_19,16319,10913,672,506,691,2007-2011
B25127_21_20_to_49,13324,1915,260,172,184,2007-2011
B25127_22_50_or_more,17426,3194,389,170,232,2007-2011
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",20526,12533,24183,14699,5065,2007-2011
B25127_24_built_1940_to_1959,591470,100387,37418,59583,20901,2007-2011
"B25127_25_1,_detached__or_attached",574836,96753,35805,58444,20620,2007-2011
B25127_26_2_to_4,7140,920,160,325,146,2007-2011
B25127_27_5_to_19,3007,1473,105,25,14,2007-2011
B25127_28_20_to_49,2116,188,21,0,0,2007-2011
B25127_29_50_or_more,1771,175,29,11,0,2007-2011
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",2600,878,1298,778,121,2007-2011
B25127_31_built_1939_or_earlier,219651,13023,8678,12628,4516,2007-2011
"B25127_32_1,_detached__or_attached",209169,12341,8327,12346,4466,2007-2011
B25127_33_2_to_4,7510,367,116,146,30,2007-2011
B25127_34_5_to_19,796,165,11,7,0,2007-2011
B25127_35_20_to_49,442,13,10,10,0,2007-2011
B25127_36_50_or_more,1261,49,17,34,0,2007-2011
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",473,88,197,85,20,2007-2011
B25127_38_renter_occupied,1678964,391720,207511,214198,90672,2007-2011
B25127_39_built_2000_or_later,83302,34723,46678,29536,9486,2007-2011
"B25127_40_1,_detached__or_attached",17249,6364,24228,13580,2808,2007-2011
B25127_41_2_to_4,6226,2269,4057,3632,798,2007-2011
B25127_42_5_to_19,13361,7659,9427,5434,2313,2007-2011
B25127_43_20_to_49,12457,4527,2992,2258,1667,2007-2011
B25127_44_50_or_more,32788,13409,4567,3923,1689,2007-2011
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",1221,495,1407,709,211,2007-2011
B25127_46_built_1980_to_1999,310334,105136,77279,77291,20627,2007-2011
"B25127_47_1,_detached__or_attached",58795,22716,32891,27942,7693,2007-2011
B25127_48_2_to_4,34428,16153,9187,13872,2578,2007-2011
B25127_49_5_to_19,87638,29779,18995,19730,5617,2007-2011
B25127_50_20_to_49,57939,10010,3769,4110,1193,2007-2011
B25127_51_50_or_more,68054,24571,7663,8683,2955,2007-2011
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",3480,1907,4774,2954,591,2007-2011
B25127_53_built_1960_to_1979,568493,182996,56450,66248,40972,2007-2011
"B25127_54_1,_detached__or_attached",102614,45242,23285,27029,17929,2007-2011
B25127_55_2_to_4,72145,40200,7856,12265,5985,2007-2011
B25127_56_5_to_19,184683,46709,11369,13966,9050,2007-2011
B25127_57_20_to_49,107776,16166,3136,3541,3319,2007-2011
B25127_58_50_or_more,94946,31476,4376,5227,3673,2007-2011
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",6329,3203,6428,4220,1016,2007-2011
B25127_60_built_1940_to_1959,457115,56222,21709,32948,14903,2007-2011
"B25127_61_1,_detached__or_attached",193052,27054,14184,22406,10516,2007-2011
B25127_62_2_to_4,67474,10863,2809,4825,1697,2007-2011
B25127_63_5_to_19,115158,9468,2726,3267,1310,2007-2011
B25127_64_20_to_49,50386,4076,777,884,787,2007-2011
B25127_65_50_or_more,28862,4361,856,1046,415,2007-2011
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",2183,400,357,520,178,2007-2011
B25127_67_built_1939_or_earlier,259720,12643,5395,8175,4684,2007-2011
"B25127_68_1,_detached__or_attached",109463,7598,4333,6448,3049,2007-2011
B25127_69_2_to_4,45281,2041,339,969,618,2007-2011
B25127_70_5_to_19,56075,1606,283,586,526,2007-2011
B25127_71_20_to_49,27948,755,136,104,244,2007-2011
B25127_72_50_or_more,20639,570,248,47,239,2007-2011
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",314,73,56,21,8,2007-2011
B11003_1_total,2168086,702684,497596,457545,196174,2007-2011
B11003_2_married-couple_family,1457485,535707,370971,321474,149706,2007-2011
B11003_3_with_own_children_under_18_years,719687,259492,183780,164940,71937,2007-2011
B11003_4_under_6_years_only,147841,56570,32701,30666,14057,2007-2011
B11003_5_under_6_years_and_6_to_17_years,161551,55062,46640,40980,16267,2007-2011
B11003_6_6_to_17_years_only,410295,147860,104439,93294,41613,2007-2011
B11003_7_no_own_children_under_18_years,737798,276215,187191,156534,77769,2007-2011
B11003_8_other_family,710601,166977,126625,136071,46468,2007-2011
"B11003_9_male_householder,_no_wife_present",215665,54409,39227,40676,14304,2007-2011
B11003_10_with_own_children_under_18_years,91475,23130,19813,20964,7215,2007-2011
B11003_11_under_6_years_only,23647,5615,4778,5145,1678,2007-2011
B11003_12_under_6_years_and_6_to_17_years,16808,4114,3725,3780,964,2007-2011
B11003_13_6_to_17_years_only,51020,13401,11310,12039,4573,2007-2011
B11003_14_no_own_children_under_18_years,124190,31279,19414,19712,7089,2007-2011
"B11003_15_female_householder,_no_husband_present",494936,112568,87398,95395,32164,2007-2011
B11003_16_with_own_children_under_18_years,258920,57175,49615,55114,17088,2007-2011
B11003_17_under_6_years_only,41693,8679,8756,8884,2409,2007-2011
B11003_18_under_6_years_and_6_to_17_years,47662,9049,10845,11792,3088,2007-2011
B11003_19_6_to_17_years_only,169565,39447,30014,34438,11591,2007-2011
B11003_20_no_own_children_under_18_years,236016,55393,37783,40281,15076,2007-2011
B25075_1_total,1539554,595444,465385,384624,174310,2007-2011
"B25075_2_less_than_$10,000",6361,1849,5262,4114,596,2007-2011
"B25075_3_$10,000_to_$14,999",3688,1180,3474,2380,350,2007-2011
"B25075_4_$15,000_to_$19,999",2673,946,3225,2703,210,2007-2011
"B25075_5_$20,000_to_$24,999",3789,1387,3014,2223,393,2007-2011
"B25075_6_$25,000_to_$29,999",3167,1157,2539,2513,283,2007-2011
"B25075_7_$30,000_to_$34,999",3939,1950,2800,2737,405,2007-2011
"B25075_8_$35,000_to_$39,999",3806,1129,1834,1584,399,2007-2011
"B25075_9_$40,000_to_$49,999",7594,3146,3976,3726,794,2007-2011
"B25075_10_$50,000_to_$59,999",6751,3295,4604,4129,934,2007-2011
"B25075_11_$60,000_to_$69,999",5751,2865,3614,4258,996,2007-2011
"B25075_12_$70,000_to_$79,999",5678,2421,5015,5790,786,2007-2011
"B25075_13_$80,000_to_$89,999",5972,2850,5725,6627,727,2007-2011
"B25075_14_$90,000_to_$99,999",4830,1940,5709,5717,472,2007-2011
"B25075_15_$100,000_to_$124,999",19116,6425,21088,19062,1531,2007-2011
"B25075_16_$125,000_to_$149,999",13498,4046,17181,15591,1223,2007-2011
"B25075_17_$150,000_to_$174,999",27616,6627,30185,25029,2166,2007-2011
"B25075_18_$175,000_to_$199,999",20948,5470,23601,17719,1830,2007-2011
"B25075_19_$200,000_to_$249,999",76470,16596,54984,43106,6240,2007-2011
"B25075_20_$250,000_to_$299,999",92952,20428,51087,40966,8236,2007-2011
"B25075_21_$300,000_to_$399,999",257805,69501,92239,75167,26517,2007-2011
"B25075_22_$400,000_to_$499,999",252103,83323,53678,45229,28458,2007-2011
"B25075_23_$500,000_to_$749,999",397587,196930,49778,41281,56688,2007-2011
"B25075_24_$750,000_to_$999,999",154449,92528,11485,8523,20307,2007-2011
"B25075_25_$1,000,000_or_more",163011,67455,9288,4450,13769,2007-2011
B03002_1_total,9787747,2989948,2154844,2023452,815745,2007-2011
B03002_2_not_hispanic_or_latino,5143419,1995669,1186144,1039430,492010,2007-2011
B03002_3_white_alone,2749159,1339135,867229,685741,402322,2007-2011
B03002_4_black_or_african_american_alone,816625,45836,128231,168190,12905,2007-2011
B03002_5_american_indian_and_alaska_native_alone,17324,6902,10416,7889,1700,2007-2011
B03002_6_asian_alone,1331809,528429,124152,123415,54848,2007-2011
B03002_7_native_hawaiian_and_other_pacific_islander_alone,23979,8736,6144,5658,1319,2007-2011
B03002_8_some_other_race_alone,25847,7950,6075,4884,1178,2007-2011
B03002_9_two_or_more_races,178676,58681,43897,43653,17738,2007-2011
B03002_10_two_races_including_some_other_race,13950,3689,2389,2303,1159,2007-2011
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",164726,54992,41508,41350,16579,2007-2011
B03002_12_hispanic_or_latino,4644328,994279,968700,984022,323735,2007-2011
B03002_13_white_alone,2377208,513834,555375,554487,176002,2007-2011
B03002_14_black_or_african_american_alone,27423,3677,7628,8019,1530,2007-2011
B03002_15_american_indian_and_alaska_native_alone,32005,5646,11077,12873,7486,2007-2011
B03002_16_asian_alone,15973,4070,3370,3576,1382,2007-2011
B03002_17_native_hawaiian_and_other_pacific_islander_alone,2331,595,811,326,91,2007-2011
B03002_18_some_other_race_alone,2038912,437851,353437,359352,122714,2007-2011
B03002_19_two_or_more_races,150476,28606,37002,45389,14530,2007-2011
B03002_20_two_races_including_some_other_race,93831,18468,23649,26716,8540,2007-2011
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",56645,10138,13353,18673,5990,2007-2011
B25063_1_total,1678964,391720,207511,214198,90672,2007-2011
B25063_2_with_cash_rent,1637009,382440,199630,206540,87527,2007-2011
B25063_3_less_than_$100,3007,204,221,273,210,2007-2011
B25063_4_$100_to_$149,2058,214,332,571,286,2007-2011
B25063_5_$150_to_$199,3661,608,578,621,452,2007-2011
B25063_6_$200_to_$249,15365,2117,1473,1201,993,2007-2011
B25063_7_$250_to_$299,21097,2856,2279,1877,1131,2007-2011
B25063_8_$300_to_$349,11194,1692,1864,1171,757,2007-2011
B25063_9_$350_to_$399,9758,1857,2057,1503,746,2007-2011
B25063_10_$400_to_$449,13763,1740,2069,2106,650,2007-2011
B25063_11_$450_to_$499,15292,1864,2590,2459,758,2007-2011
B25063_12_$500_to_$549,19458,2022,3092,2858,681,2007-2011
B25063_13_$550_to_$599,23106,1684,3263,3933,610,2007-2011
B25063_14_$600_to_$649,28576,1983,4221,4878,1220,2007-2011
B25063_15_$650_to_$699,36114,2045,4616,6117,1502,2007-2011
B25063_16_$700_to_$749,46810,2857,6362,7895,1094,2007-2011
B25063_17_$750_to_$799,55565,3003,6679,8366,1208,2007-2011
B25063_18_$800_to_$899,134324,10361,17068,18907,3457,2007-2011
B25063_19_$900_to_$999,154987,17556,18754,21804,4049,2007-2011
"B25063_20_$1,000_to_$1,249",347619,66111,39515,45632,13673,2007-2011
"B25063_21_$1,250_to_$1,499",250665,82804,28781,30231,14409,2007-2011
"B25063_22_$1,500_to_$1,999",270731,105142,33169,31508,22023,2007-2011
"B25063_23_$2,000_or_more",173859,73720,20647,12629,17618,2007-2011
B25063_24_no_cash_rent,41955,9280,7881,7658,3145,2007-2011
B25071_1_median_gross_rent_as_a_percentage_of_household_income,34.2,32.9,35.3,34.8,33.1,2007-2011
B25036_1_total,3218518,987164,672896,598822,264982,2007-2011
B25036_2_owner_occupied,1539554,595444,465385,384624,174310,2007-2011
B25036_3_built_2005_or_later,33402,14384,56723,25120,5836,2007-2011
B25036_4_built_2000_to_2004,48325,36629,79556,35278,13483,2007-2011
B25036_5_built_1990_to_1999,91765,73017,81224,56514,20009,2007-2011
B25036_6_built_1980_to_1989,171520,90672,102717,91781,32347,2007-2011
B25036_7_built_1970_to_1979,179735,141643,66174,65057,39466,2007-2011
B25036_8_built_1960_to_1969,203686,125689,32895,38663,37752,2007-2011
B25036_9_built_1950_to_1959,399176,87151,29374,45731,16867,2007-2011
B25036_10_built_1940_to_1949,192294,13236,8044,13852,4034,2007-2011
B25036_11_built_1939_or_earlier,219651,13023,8678,12628,4516,2007-2011
B25036_12_renter_occupied,1678964,391720,207511,214198,90672,2007-2011
B25036_13_built_2005_or_later,37044,13057,21162,14429,3607,2007-2011
B25036_14_built_2000_to_2004,46258,21666,25516,15107,5879,2007-2011
