index,24009,24017,24021,24031,24033,42055,54037,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,md,md,md,md,md,pa,wv,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,2007-2011
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2007-2011
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2007-2011
LOGRECNO,0000016,0000020,0000022,0000027,0000028,0000040,0000031,0000007,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,2007-2011
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2007-2011
STATE_FIPS,24,24,24,24,24,42,54,11,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2007-2011
GEO_ID,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US42055,05000US54037,05000US11001,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,2007-2011
GEO_NAME,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Franklin County, Pennsylvania","Jefferson County, West Virginia","District of Columbia, District of Columbia","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia",2007-2011
B01003_1_total,88329,145508,231725,959738,858539,148239,52874,593955,202999,14081,46427,1064735,65008,303329,391439,7422,121508,127041,37323,136968,22277,11840,24015,36811,13759,2007-2011
B01001_1_total,88329,145508,231725,959738,858539,148239,52874,593955,202999,14081,46427,1064735,65008,303329,391439,7422,121508,127041,37323,136968,22277,11840,24015,36811,13759,2007-2011
B01001_2_male,43569,70378,113918,460785,411881,72497,26172,280675,101187,6915,23544,526263,32134,149914,194860,3618,59698,63864,18441,66039,10938,5631,11178,18394,6757,2007-2011
B01001_3_under_5_years,2603,4862,7746,32741,30342,5068,1823,16976,5893,410,1621,36990,2097,14034,16860,214,4249,4477,1177,5007,600,423,760,1662,694,2007-2011
B01001_4_5_to_9_years,3371,5544,8405,31554,26944,4775,1799,13110,4613,307,1858,36548,2284,14029,16583,151,4634,4709,1158,3116,609,436,899,1194,511,2007-2011
B01001_5_10_to_14_years,3639,5639,8770,32654,29801,5026,1789,13123,3497,532,1482,36181,2550,12150,15348,261,5367,5919,1325,2220,669,339,552,1669,492,2007-2011
B01001_6_15_to_17_years,2433,3768,5493,20943,19240,3238,993,8792,2210,310,948,23065,1626,6627,9138,131,3316,3675,833,1645,385,242,353,807,203,2007-2011
B01001_7_18_and_19_years,1321,2015,3082,10607,16465,1972,965,10709,1501,105,653,12307,794,2952,5130,67,1672,1825,571,1010,448,51,618,602,169,2007-2011
B01001_8_20_years,436,1030,1223,4853,7666,679,258,5907,1211,31,148,5502,272,1235,2789,10,1036,837,213,370,261,70,558,492,158,2007-2011
B01001_9_21_years,529,761,1341,4813,8155,592,388,4740,842,83,295,6035,412,1079,2577,31,759,1003,173,288,188,41,232,246,22,2007-2011
