index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000055,0000061,0000069,0000073,0000082,0000086,0000103,0000119,0000123,0000124,0000128,0000138,0000141,0000187,0000194,0000196,0000211,0000225,0000232,0000261,0000019,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,40,2008-2012
GEO_ID,05000US48085,05000US48097,05000US48113,05000US48121,05000US48139,05000US48147,05000US48181,05000US48213,05000US48221,05000US48223,05000US48231,05000US48251,05000US48257,05000US48349,05000US48363,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497,05000US40013,2008-2012
GEO_NAME,"Collin County, Texas","Cooke County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Fannin County, Texas","Grayson County, Texas","Henderson County, Texas","Hood County, Texas","Hopkins County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Navarro County, Texas","Palo Pinto County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas","Bryan County, Oklahoma",2008-2012
