index,13013,13015,13035,13045,13057,13059,13063,13067,13077,13085,13089,13097,13113,13117,13121,13129,13135,13139,13143,13149,13151,13157,13159,13171,13195,13199,13211,13217,13219,13221,13223,13227,13231,13233,13247,13255,13285,13293,13297,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000019,0000020,0000030,0000034,0000040,0000041,0000043,0000045,0000050,0000054,0000056,0000060,0000068,0000070,0000072,0000076,0000079,0000081,0000083,0000086,0000087,0000090,0000091,0000097,0000109,0000111,0000116,0000119,0000120,0000121,0000122,0000124,0000126,0000127,0000134,0000138,0000153,0000157,0000159,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2012-2016
GEO_ID,05000US13013,05000US13015,05000US13035,05000US13045,05000US13057,05000US13059,05000US13063,05000US13067,05000US13077,05000US13085,05000US13089,05000US13097,05000US13113,05000US13117,05000US13121,05000US13129,05000US13135,05000US13139,05000US13143,05000US13149,05000US13151,05000US13157,05000US13159,05000US13171,05000US13195,05000US13199,05000US13211,05000US13217,05000US13219,05000US13221,05000US13223,05000US13227,05000US13231,05000US13233,05000US13247,05000US13255,05000US13285,05000US13293,05000US13297,2012-2016
GEO_NAME,"Barrow County, Georgia","Bartow County, Georgia","Butts County, Georgia","Carroll County, Georgia","Cherokee County, Georgia","Clarke County, Georgia","Clayton County, Georgia","Cobb County, Georgia","Coweta County, Georgia","Dawson County, Georgia","DeKalb County, Georgia","Douglas County, Georgia","Fayette County, Georgia","Forsyth County, Georgia","Fulton County, Georgia","Gordon County, Georgia","Gwinnett County, Georgia","Hall County, Georgia","Haralson County, Georgia","Heard County, Georgia","Henry County, Georgia","Jackson County, Georgia","Jasper County, Georgia","Lamar County, Georgia","Madison County, Georgia","Meriwether County, Georgia","Morgan County, Georgia","Newton County, Georgia","Oconee County, Georgia","Oglethorpe County, Georgia","Paulding County, Georgia","Pickens County, Georgia","Pike County, Georgia","Polk County, Georgia","Rockdale County, Georgia","Spalding County, Georgia","Troup County, Georgia","Upson County, Georgia","Walton County, Georgia",2012-2016
B01003_1_total,73340,101942,23479,113756,230629,122037,270269,728388,135625,22939,723902,138283,109495,203841,996757,56079,874242,190482,28667,11571,214171,62131,13571,18195,28362,21195,17943,103901,35071,14743,149830,29992,17843,41263,87569,64006,69314,26394,87436,2012-2016
B01001_1_total,73340,101942,23479,113756,230629,122037,270269,728388,135625,22939,723902,138283,109495,203841,996757,56079,874242,190482,28667,11571,214171,62131,13571,18195,28362,21195,17943,103901,35071,14743,149830,29992,17843,41263,87569,64006,69314,26394,87436,2012-2016
B01001_2_male,36165,50533,12469,55651,113565,58029,127718,352083,66160,11329,344188,66287,52974,101074,483429,27736,427930,94865,13977,5739,102486,30638,6604,8767,14038,10224,8612,49424,17207,7397,72973,14904,8753,20107,41424,31064,33253,12595,42594,2012-2016
B01001_3_under_5_years,2642,3377,602,3893,7530,3562,10778,24295,4432,645,27149,4543,2423,6773,32169,1904,31018,6784,949,333,6453,2050,370,572,813,633,422,3433,1009,464,5154,721,402,1339,2694,2283,2328,816,2942,2012-2016
B01001_4_5_to_9_years,2945,3933,701,4145,8701,3089,11115,26082,5348,848,25296,5037,3638,9021,32796,2204,36170,7714,1028,296,8490,2490,529,568,1152,683,738,4311,1360,517,5707,898,633,1744,3289,2136,2427,909,3231,2012-2016
B01001_5_10_to_14_years,2902,3631,681,3884,9333,2786,10783,25072,4834,505,22233,6015,4267,9383,32016,2103,35256,7203,907,488,8746,2271,558,508,854,638,486,3921,1543,506,6751,971,763,1402,3391,2286,2581,824,3357,2012-2016
B01001_6_15_to_17_years,1763,2368,529,2402,5250,1410,6204,15429,3125,451,13055,3444,3053,5068,18736,1209,21600,4448,613,278,5862,1283,227,352,650,516,360,2602,963,271,3681,564,480,844,2084,1400,1581,617,2006,2012-2016
B01001_7_18_and_19_years,819,1351,292,2371,2864,4189,3728,9718,1558,220,8472,1848,1762,2393,15352,772,11816,2394,338,132,3416,753,144,446,279,269,217,1751,440,164,2077,271,255,553,1186,764,1016,332,1202,2012-2016
B01001_8_20_years,396,838,148,1050,1421,3128,2015,4986,1016,151,4802,1103,610,1100,8004,234,6213,1216,191,95,1534,338,50,231,266,126,184,742,266,101,1021,70,63,220,590,473,586,238,637,2012-2016
B01001_9_21_years,527,557,273,1374,1001,2393,2054,4656,587,191,5044,749,703,1004,7670,498,5943,1161,141,67,1161,333,81,221,138,145,85,725,215,17,909,154,121,193,758,281,550,132,779,2012-2016
B01001_10_22_to_24_years,1273,1791,633,2430,4152,6335,6302,14701,2551,322,14065,2618,1903,2629,21991,947,16643,4079,546,164,3953,1047,259,371,542,372,331,1907,464,252,2519,536,274,837,1613,1333,1520,447,1247,2012-2016
B01001_11_25_to_29_years,2565,3246,1051,4022,6324,5516,9869,25374,3816,719,28978,4002,2179,4071,40991,1720,28098,6428,909,325,5782,1814,315,415,742,587,321,2924,745,463,4434,756,449,1391,2458,2018,2086,706,2315,2012-2016
B01001_12_30_to_34_years,2818,3149,952,3577,7106,4431,8893,25273,4112,609,28941,4068,2218,5482,39142,1824,29793,6138,802,290,5686,1919,352,344,832,571,347,2910,801,484,4741,888,432,1117,2202,1999,2095,637,2455,2012-2016
B01001_13_35_to_39_years,2702,3469,1024,3030,7894,3518,8283,25921,4228,608,26850,4289,2481,7292,35435,2028,31374,6569,658,346,6341,1877,401,595,728,431,399,3201,1047,410,5662,841,641,1145,2560,1858,1937,828,2213,2012-2016
B01001_14_40_to_44_years,2622,3437,866,3981,9041,3066,9152,25699,4987,865,24964,5013,3291,9303,36587,1758,32753,6101,1139,383,8089,2769,487,544,1021,679,445,3371,1277,548,5596,998,552,1401,2454,1973,2020,678,3257,2012-2016
B01001_15_45_to_49_years,2454,4008,918,3725,8916,2621,8510,26082,5249,835,23903,5051,4128,9199,35417,2038,32967,6697,982,469,8208,2395,512,550,959,661,869,3725,1319,548,6018,1031,724,1553,3031,1895,2119,819,3164,2012-2016
B01001_16_50_to_54_years,2384,3429,862,3600,8621,2527,8115,25290,4938,857,22843,4843,4543,7860,33354,1940,30956,6409,1023,445,7843,2090,449,596,1073,798,722,3364,1269,508,5345,1135,658,1296,2997,2146,2383,954,3229,2012-2016
B01001_17_55_to_59_years,2041,3443,711,3604,6683,2408,6501,21539,4360,652,20259,4284,4655,5848,28535,1586,25385,5377,858,430,6493,1929,415,683,903,809,600,2816,1177,606,4411,1088,760,1283,2681,1772,2243,1088,2790,2012-2016
B01001_18_60_and_61_years,749,1190,293,1021,2701,1062,2730,7153,1483,401,7704,1510,1381,1878,9472,706,9158,1914,422,107,1763,678,186,280,413,318,153,1111,388,141,1320,474,217,469,1154,806,837,279,1038,2012-2016
B01001_19_62_to_64_years,1052,1431,475,1380,3723,1252,3449,11433,1994,508,9072,1571,1811,2567,12817,955,10287,2856,475,268,2930,943,340,196,587,321,461,1276,681,232,1550,609,127,668,1522,1183,999,347,1217,2012-2016
B01001_20_65_and_66_years,572,929,330,1064,2505,744,1905,6401,1290,291,6132,1331,1405,1686,7271,495,6611,1865,378,103,1855,468,119,159,341,245,218,884,375,203,1092,462,199,420,847,844,724,245,617,2012-2016
B01001_21_67_to_69_years,809,1184,306,1388,2630,1044,2012,7763,1770,500,6532,1397,1799,2323,8964,822,7346,2320,360,191,2233,840,225,197,503,393,350,1438,460,270,1319,622,227,564,939,814,776,557,1198,2012-2016
B01001_22_70_to_74_years,938,1834,293,1587,3361,1186,2628,8134,1973,544,7450,1624,2105,2743,11464,870,8295,2978,562,273,2499,1206,285,535,564,550,341,1238,678,246,1796,872,335,740,1435,1254,1072,453,1869,2012-2016
B01001_23_75_to_79_years,553,1233,292,1263,1936,787,1362,5046,1396,284,4840,975,1184,1597,6990,645,5619,2084,421,121,1605,648,231,254,253,269,384,682,404,244,940,448,287,466,884,833,637,345,946,2012-2016
B01001_24_80_to_84_years,361,365,135,419,1151,506,689,3344,644,209,3348,646,769,1086,4465,290,2893,1280,227,51,931,365,37,53,260,142,135,631,96,97,660,344,96,246,392,457,450,253,638,2012-2016
B01001_25_85_years_and_over,278,340,102,441,721,469,641,2692,469,114,2256,326,666,768,3791,188,1736,850,48,84,613,132,32,97,165,68,44,461,230,105,270,151,58,216,263,256,286,91,247,2012-2016
B01001_26_female,37175,51409,11010,58105,117064,64008,142551,376305,69465,11610,379714,71996,56521,102767,513328,28343,446312,95617,14690,5832,111685,31493,6967,9428,14324,10971,9331,54477,17864,7346,76857,15088,9090,21156,46145,32942,36061,13799,44842,2012-2016
B01001_27_under_5_years,2703,3217,787,3548,7118,3333,10430,23616,4304,561,26059,4480,2283,6330,30811,1699,30022,6304,858,332,6383,2035,427,420,912,620,493,3459,888,372,4835,686,446,1457,2592,2015,2311,885,2578,2012-2016
B01001_28_5_to_9_years,2814,3271,722,3370,8851,2799,10790,25260,5177,761,23262,4899,3070,8594,30916,1936,32045,6996,963,294,7482,2238,405,421,777,671,602,3815,1404,458,6355,864,513,1571,3213,2077,2482,873,3068,2012-2016
B01001_29_10_to_14_years,2724,3861,662,4212,8267,2778,10382,24968,4759,712,22517,5506,4586,8719,32460,1930,37099,7170,1133,441,8960,2270,480,639,892,673,643,4095,1369,404,5648,990,745,1667,3233,2159,2471,783,3323,2012-2016
B01001_30_15_to_17_years,1403,2125,340,2333,5054,1497,6022,14928,3082,423,12573,3307,2973,5035,18695,1276,20846,4083,579,266,5657,1357,306,334,508,301,400,2623,923,281,3837,549,479,775,2128,1291,1439,468,1997,2012-2016
B01001_31_18_and_19_years,698,1200,59,2457,2484,7082,3768,9278,1508,382,8593,1916,1518,2154,14740,529,10803,2368,282,134,3108,654,205,676,266,269,228,1494,453,143,1865,248,217,480,980,681,916,299,929,2012-2016
B01001_32_20_years,498,653,273,1175,1170,3004,1915,4082,675,183,4939,967,786,958,8108,420,5157,1531,87,34,1179,400,27,235,220,79,126,945,192,72,1016,124,103,173,809,424,734,71,655,2012-2016
