index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000020,0000032,0000048,0000091,0000096,0000113,0000158,0000173,0000182,0000240,0000248,0000249,0000251,0000253,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2012-2016
GEO_ID,05000US48015,05000US48039,05000US48071,05000US48157,05000US48167,05000US48201,05000US48291,05000US48321,05000US48339,05000US48455,05000US48471,05000US48473,05000US48477,05000US48481,2012-2016
GEO_NAME,"Austin County, Texas","Brazoria County, Texas","Chambers County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Liberty County, Texas","Matagorda County, Texas","Montgomery County, Texas","Trinity County, Texas","Walker County, Texas","Waller County, Texas","Washington County, Texas","Wharton County, Texas",2012-2016
B01003_1_total,29107,338419,38072,683756,314485,4434257,78598,36719,518849,14360,69926,47049,34544,41377,2012-2016
B01001_1_total,29107,338419,38072,683756,314485,4434257,78598,36719,518849,14360,69926,47049,34544,41377,2012-2016
B01001_2_male,14358,171456,18954,335925,155271,2205342,38970,18133,256808,6844,40883,23520,17235,20325,2012-2016
B01001_3_under_5_years,843,12600,1142,24728,10497,176949,2951,1303,18270,296,1690,1740,1216,1451,2012-2016
B01001_4_5_to_9_years,766,13666,1955,28295,11309,172179,2937,1601,19965,487,1457,1700,1063,1392,2012-2016
B01001_5_10_to_14_years,1304,12735,1213,28381,11102,168762,2648,1063,20611,372,1494,1477,1160,1762,2012-2016
B01001_6_15_to_17_years,636,7647,868,16957,6816,97175,1757,809,12161,241,922,1013,752,824,2012-2016
B01001_7_18_and_19_years,269,4232,629,9049,4246,59443,979,543,6535,161,1625,1751,766,496,2012-2016
B01001_8_20_years,250,2262,388,4054,2279,32226,503,235,3058,42,1241,609,334,307,2012-2016
B01001_9_21_years,206,1901,217,3339,2190,32027,463,225,3430,157,1007,831,199,227,2012-2016
B01001_10_22_to_24_years,487,6518,566,13172,5734,98202,1834,730,9294,165,3132,1784,677,876,2012-2016
B01001_11_25_to_29_years,731,11207,1039,18817,10155,182761,2628,1099,15680,269,3541,1200,854,1349,2012-2016
