index,12011,12061,12085,12086,12093,12099,12111,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,fl,fl,fl,fl,fl,fl,fl,2012-2016
CHARITER,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000018,0000042,0000054,0000055,0000059,0000062,0000068,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,12,12,12,12,12,12,12,2012-2016
GEO_ID,05000US12011,05000US12061,05000US12085,05000US12086,05000US12093,05000US12099,05000US12111,2012-2016
GEO_NAME,"Broward County, Florida","Indian River County, Florida","Martin County, Florida","Miami-Dade County, Florida","Okeechobee County, Florida","Palm Beach County, Florida","St. Lucie County, Florida",2012-2016
B01003_1_total,1863780,145342,153592,2664418,39420,1398757,293136,2012-2016
B01001_1_total,1863780,145342,153592,2664418,39420,1398757,293136,2012-2016
B01001_2_male,906235,69798,75837,1292784,21306,676486,142999,2012-2016
B01001_3_under_5_years,55405,3243,3178,78782,1292,36808,7975,2012-2016
B01001_4_5_to_9_years,57294,3704,3648,76509,1124,38339,8146,2012-2016
B01001_5_10_to_14_years,55992,3467,3766,77037,1447,39891,9591,2012-2016
B01001_6_15_to_17_years,36258,2612,2570,47845,1060,25102,5567,2012-2016
B01001_7_18_and_19_years,21907,1702,1617,32379,550,15760,3303,2012-2016
B01001_8_20_years,11879,857,693,18723,374,8228,1869,2012-2016
B01001_9_21_years,11568,844,604,17761,214,7578,1765,2012-2016
B01001_10_22_to_24_years,34907,1887,2376,55624,797,25159,4581,2012-2016
B01001_11_25_to_29_years,61859,3243,3878,97980,1490,42571,8244,2012-2016
B01001_12_30_to_34_years,61294,3008,3823,92581,1323,40062,7629,2012-2016
B01001_13_35_to_39_years,60673,3124,3862,91339,1206,39280,7871,2012-2016
B01001_14_40_to_44_years,61312,3561,3627,97448,1650,41446,8241,2012-2016
B01001_15_45_to_49_years,66922,3930,4900,99405,1344,44907,9005,2012-2016
B01001_16_50_to_54_years,70589,4646,5542,95812,1520,48212,9987,2012-2016
B01001_17_55_to_59_years,63561,4826,6030,78262,1226,43878,9883,2012-2016
B01001_18_60_and_61_years,21938,1999,2226,28177,467,16326,3839,2012-2016
B01001_19_62_to_64_years,28677,3131,2777,37938,773,23598,4792,2012-2016
B01001_20_65_and_66_years,17824,2401,2245,22406,370,15689,3687,2012-2016
B01001_21_67_to_69_years,24615,2985,3455,30228,641,22009,5387,2012-2016
B01001_22_70_to_74_years,29860,4970,4797,43148,926,30953,7810,2012-2016
B01001_23_75_to_79_years,20807,3607,3854,31734,727,26706,5988,2012-2016
B01001_24_80_to_84_years,15859,3289,2936,21933,406,20993,4054,2012-2016
B01001_25_85_years_and_over,15235,2762,3433,19733,379,22991,3785,2012-2016
B01001_26_female,957545,75544,77755,1371634,18114,722271,150137,2012-2016
B01001_27_under_5_years,53474,3209,3094,76075,1120,35408,7681,2012-2016
B01001_28_5_to_9_years,52368,3582,3035,73720,1237,37357,8188,2012-2016
B01001_29_10_to_14_years,56974,3451,4104,72997,1119,37961,8557,2012-2016
B01001_30_15_to_17_years,34783,2196,2594,46025,581,23864,5391,2012-2016
B01001_31_18_and_19_years,20060,1107,1317,30753,426,14915,2949,2012-2016
B01001_32_20_years,10882,645,602,19219,115,7982,1577,2012-2016
B01001_33_21_years,10713,792,559,18290,328,7888,1326,2012-2016
B01001_34_22_to_24_years,34965,2026,2087,53066,660,23136,5055,2012-2016
B01001_35_25_to_29_years,62756,3376,3071,95507,1059,40559,7961,2012-2016
B01001_36_30_to_34_years,64116,3247,3060,91947,1058,39619,8215,2012-2016
B01001_37_35_to_39_years,60798,3024,3661,92820,999,40607,8234,2012-2016
B01001_38_40_to_44_years,68318,3957,3462,96750,1108,42259,8944,2012-2016
B01001_39_45_to_49_years,70138,4333,4993,100523,1061,47580,9536,2012-2016
