index,34003,34013,34017,34019,34021,34023,34025,34027,34029,34031,34035,34037,34039,34041,42025,42077,42089,42095,42103,09001,09005,09009,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36111,36119,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,pa,pa,pa,pa,ct,ct,ct,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000009,0000014,0000016,0000017,0000018,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000028,0000025,0000051,0000057,0000060,0000064,0000012,0000014,0000016,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000068,0000072,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,34,34,34,34,34,34,34,34,34,34,34,34,34,34,42,42,42,42,42,09,09,09,36,36,36,36,36,36,36,36,36,36,36,36,36,2012-2016
GEO_ID,05000US34003,05000US34013,05000US34017,05000US34019,05000US34021,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US34041,05000US42025,05000US42077,05000US42089,05000US42095,05000US42103,05000US09001,05000US09005,05000US09009,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36111,05000US36119,2012-2016
GEO_NAME,"Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Mercer County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Warren County, New Jersey","Carbon County, Pennsylvania","Lehigh County, Pennsylvania","Monroe County, Pennsylvania","Northampton County, Pennsylvania","Pike County, Pennsylvania","Fairfield County, Connecticut","Litchfield County, Connecticut","New Haven County, Connecticut","Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Ulster County, New York","Westchester County, New York",2012-2016
B01003_1_total,930310,792586,668526,125708,371101,831852,627532,498215,586166,507204,331686,144694,550436,107095,64330,358792,167126,300520,56210,941618,185141,860874,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,180505,969229,2012-2016
B01001_1_total,930310,792586,668526,125708,371101,831852,627532,498215,586166,507204,331686,144694,550436,107095,64330,358792,167126,300520,56210,941618,185141,860874,1436785,295905,2606852,1356801,1634989,376242,99408,2310011,473324,322642,1498130,180505,969229,2012-2016
B01001_2_male,450329,380718,332210,62725,181642,409221,305359,244099,282068,246848,161900,71759,268169,52215,31944,174829,82532,147510,28092,458490,91469,415286,676440,147197,1234959,658161,773232,188285,49388,1120010,229095,158136,737351,89631,468336,2012-2016
