index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2012-2016
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2012-2016
LOGRECNO,0000008,0000010,0000011,0000012,0000013,0000015,0000024,0000008,0000009,0000018,0000021,0000027,0000035,0000058,0000063,0000016,0000020,0000022,0000027,0000028,2012-2016
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2012-2016
STATE_FIPS,34,34,34,34,34,34,34,10,10,42,42,42,42,42,42,24,24,24,24,24,2012-2016
GEO_ID,05000US34001,05000US34005,05000US34007,05000US34009,05000US34011,05000US34015,05000US34033,05000US10001,05000US10003,05000US42011,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,2012-2016
GEO_NAME,"Atlantic County, New Jersey","Burlington County, New Jersey","Camden County, New Jersey","Cape May County, New Jersey","Cumberland County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Kent County, Delaware","New Castle County, Delaware","Berks County, Pennsylvania","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland",2012-2016
B01003_1_total,274026,450236,511145,95404,155744,291286,64504,171474,551997,414097,626220,512028,562316,815876,1559938,90527,154357,243465,1026371,897693,2012-2016
B01001_1_total,274026,450236,511145,95404,155744,291286,64504,171474,551997,414097,626220,512028,562316,815876,1559938,90527,154357,243465,1026371,897693,2012-2016
B01001_2_male,132741,221808,247229,46594,79905,141585,31407,82687,267276,203542,307068,252007,270171,396386,737899,44966,74489,120072,494612,431752,2012-2016
B01001_3_under_5_years,8240,11983,16359,2288,5232,8243,1799,5678,16832,12527,15720,14949,17196,23565,55002,2640,4843,7362,34300,30543,2012-2016
B01001_4_5_to_9_years,8008,13415,17322,2540,5633,9548,2152,5534,16455,13676,18973,16748,17634,25237,46053,2467,5439,7853,34586,29192,2012-2016
B01001_5_10_to_14_years,9212,14919,16664,2269,4906,10034,2005,5951,17992,13542,20444,18736,17787,26403,47458,4006,5617,9205,33650,27211,2012-2016
B01001_6_15_to_17_years,5577,9282,10622,1581,2991,6449,1405,3443,10852,8832,13561,11307,11950,16530,27397,2311,3766,5475,20735,16779,2012-2016
B01001_7_18_and_19_years,3645,5581,6199,1317,1642,3725,736,2578,8324,6390,7632,7436,9245,9685,23414,1281,2114,3460,11735,14480,2012-2016
B01001_8_20_years,2024,2723,3466,832,969,2274,563,1766,3766,3306,3291,3002,4803,4166,14043,488,1012,1509,5673,7429,2012-2016
B01001_9_21_years,1948,3346,3288,526,961,2365,401,1402,4164,2686,3581,3546,4519,4522,12436,616,998,1559,5242,7156,2012-2016
B01001_10_22_to_24_years,5562,10435,9987,1822,3755,5434,1093,3648,11743,8553,11327,9493,10811,14426,37451,1730,3181,4504,18828,20244,2012-2016
B01001_11_25_to_29_years,8384,14539,17709,2654,6503,9066,1877,5846,20582,12666,17260,14909,18034,25049,74681,2516,4816,7332,32424,34532,2012-2016
B01001_12_30_to_34_years,7713,13459,16975,2243,6679,8387,1810,5187,18407,11887,17182,14505,17117,26177,60861,2303,4496,7497,34863,32496,2012-2016
B01001_13_35_to_39_years,7108,12897,15625,1840,5954,8020,1812,4563,16914,11013,16912,14338,15466,24363,48582,2389,4479,6942,35556,29521,2012-2016
B01001_14_40_to_44_years,8450,15101,15918,2582,5649,9844,1874,4841,16976,13211,19876,17497,16574,26518,42820,2759,5378,8898,33266,29932,2012-2016
B01001_15_45_to_49_years,9231,16569,16997,3070,5580,10448,2140,5286,18474,14217,23081,18552,18144,28634,44451,3837,5964,9438,35292,30081,2012-2016
B01001_16_50_to_54_years,10408,18168,18053,3470,5372,11350,2410,5658,19669,15459,26266,19981,19903,30462,45649,4155,6143,9939,36155,30496,2012-2016
B01001_17_55_to_59_years,9628,16636,17868,3435,5121,10337,2473,5010,17853,14367,25238,18121,19146,29306,44477,3252,4959,8454,33775,26407,2012-2016
B01001_18_60_and_61_years,3979,5527,5919,1593,1873,4068,723,1748,6678,5446,8751,7401,7452,10370,16618,1274,1771,2843,12074,9758,2012-2016
B01001_19_62_to_64_years,4636,7309,7579,2401,1834,4240,1312,2752,8848,6985,12249,8401,9286,13970,19424,1604,2093,3963,16334,13294,2012-2016
B01001_20_65_and_66_years,2859,4678,4744,1594,1417,2640,805,1835,5378,4325,6948,5361,5345,8134,12007,853,1267,2392,9653,7868,2012-2016
B01001_21_67_to_69_years,3528,5558,5898,2038,1791,4215,838,2230,6350,5558,9505,6511,6572,11107,15559,1167,1554,3072,11816,9356,2012-2016
B01001_22_70_to_74_years,5143,7426,7831,2360,2354,4406,1276,3234,8091,6787,10763,8194,8011,13299,18271,1452,2084,3311,14501,10404,2012-2016
B01001_23_75_to_79_years,3155,4943,5232,2024,1585,2795,796,2117,5662,5046,7818,5668,5748,9444,13331,639,1083,2314,9932,7263,2012-2016
B01001_24_80_to_84_years,2531,4075,3314,1202,1202,1973,578,1312,3744,3971,5448,3864,4918,7427,9344,527,824,1371,7166,4123,2012-2016
B01001_25_85_years_and_over,1772,3239,3660,913,902,1724,529,1068,3522,3092,5242,3487,4510,7592,8570,700,608,1379,7056,3187,2012-2016
B01001_26_female,141285,228428,263916,48810,75839,149701,33097,88787,284721,210555,319152,260021,292145,419490,822039,45561,79868,123393,531759,465941,2012-2016
B01001_27_under_5_years,7915,11542,15583,2245,5219,7950,1788,5349,16152,12008,15287,14294,16636,22439,52872,2235,4634,7116,32499,29396,2012-2016
B01001_28_5_to_9_years,7726,13412,16074,2285,5180,9565,1939,5914,17075,12694,18586,16656,16173,24635,46014,2700,4674,7534,32533,28174,2012-2016
B01001_29_10_to_14_years,8693,14237,16255,2289,4897,9129,2041,5345,16590,13313,18895,17367,18035,25069,44099,3401,5760,8661,33477,26192,2012-2016
B01001_30_15_to_17_years,5284,8953,10199,1624,2968,6079,1243,3276,10451,8252,12675,10518,10839,15722,26914,2182,3654,5220,19924,16242,2012-2016
B01001_31_18_and_19_years,3554,4736,5598,968,1610,3460,721,2621,8481,6378,6884,7639,9069,9818,24251,1158,1999,2990,10897,13735,2012-2016
B01001_32_20_years,1822,2564,2840,558,1019,2014,360,1315,4742,3314,3212,3267,4398,4519,13367,644,1082,1481,4539,6365,2012-2016
B01001_33_21_years,2019,2051,3275,435,1014,2069,292,1355,3758,3196,3324,3448,4069,4456,14009,429,604,1208,4829,6902,2012-2016
B01001_34_22_to_24_years,5507,8199,10310,1559,2899,5374,1235,3915,11304,7381,10635,8831,11217,13847,39906,1612,3274,4765,18947,19768,2012-2016
B01001_35_25_to_29_years,8307,12941,17513,2372,4957,8637,1845,5861,20468,12445,16653,14066,18369,24576,80687,2206,4827,7223,33634,33948,2012-2016
B01001_36_30_to_34_years,8099,13411,17595,2100,4823,8926,1859,5551,18722,12098,17405,14467,17967,25732,65634,2504,5139,7754,36613,33388,2012-2016
B01001_37_35_to_39_years,7888,13238,16294,2211,4633,9502,1727,5367,18001,11804,17983,14451,16562,24769,52360,2325,5306,7540,36415,32038,2012-2016
B01001_38_40_to_44_years,9150,15362,17236,2553,4716,10105,2181,5257,17301,13237,20018,18017,17944,27136,46932,3392,6104,8770,37638,31005,2012-2016
B01001_39_45_to_49_years,9996,17382,18481,2953,5009,11345,2238,5728,20060,14702,24337,19359,19586,29874,48990,3940,6881,9759,39249,34151,2012-2016
B01001_40_50_to_54_years,11101,18994,19811,3854,5254,11861,2650,6154,21235,15726,27237,20784,21709,32414,51324,4208,6678,10095,40204,35328,2012-2016
