index,48085,48113,48121,48139,48221,48231,48251,48257,48367,48397,48425,48439,48497,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2009-2013
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2009-2013
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,2009-2013
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2009-2013
LOGRECNO,0000055,0000069,0000073,0000082,0000123,0000128,0000138,0000141,0000196,0000211,0000225,0000232,0000261,2009-2013
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,2009-2013
STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48,2009-2013
GEO_ID,05000US48085,05000US48113,05000US48121,05000US48139,05000US48221,05000US48231,05000US48251,05000US48257,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497,2009-2013
GEO_NAME,"Collin County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Hood County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas",2009-2013
B01003_1_total,811308,2412481,687857,152020,51756,86455,152384,105220,118478,81020,8537,1848423,59894,2009-2013
B01001_1_total,811308,2412481,687857,152020,51756,86455,152384,105220,118478,81020,8537,1848423,59894,2009-2013
B01001_2_male,398954,1193408,338598,75061,25589,42834,76330,51700,59808,39870,4199,906704,30222,2009-2013
B01001_3_under_5_years,29768,99085,25466,5537,1575,2830,5464,3803,3572,2798,212,72478,2037,2009-2013
B01001_4_5_to_9_years,34505,95297,26274,6830,1517,3117,5813,4197,4238,3460,246,74898,2078,2009-2013
B01001_5_10_to_14_years,33522,89956,28441,5859,1657,3022,6120,4644,4490,3674,336,72248,2374,2009-2013
B01001_6_15_to_17_years,19111,53112,15321,3968,938,2014,3611,2664,2823,2220,258,41986,1475,2009-2013
B01001_7_18_and_19_years,10002,33715,9517,2234,523,1319,2111,1371,1686,1057,80,25343,883,2009-2013
B01001_8_20_years,4819,18336,4929,1352,457,490,1010,539,728,441,26,12549,272,2009-2013
B01001_9_21_years,3766,17286,5207,740,323,783,948,626,802,381,21,12415,403,2009-2013
B01001_10_22_to_24_years,12829,52814,14525,2771,658,1832,2995,1682,2378,944,178,38040,1168,2009-2013
B01001_11_25_to_29_years,24451,99855,25371,4359,1195,2594,4794,3057,3404,2086,189,68287,1869,2009-2013
B01001_12_30_to_34_years,28600,96152,25294,4590,1298,2424,4808,3435,3443,2783,325,65594,1748,2009-2013
B01001_13_35_to_39_years,32673,88433,26800,5262,1404,2984,5150,3416,3677,3331,201,64939,1585,2009-2013
B01001_14_40_to_44_years,35091,85395,28140,4965,1356,2335,5234,4005,3957,2819,280,64776,2196,2009-2013
B01001_15_45_to_49_years,33007,82403,26319,5447,1712,3027,5824,3700,4942,3195,356,65753,2328,2009-2013
B01001_16_50_to_54_years,28495,77750,23120,5468,1854,3169,5530,3773,4798,2781,285,62967,2359,2009-2013
B01001_17_55_to_59_years,22241,62274,17454,4414,1982,2585,5017,3150,4050,1954,423,49875,2096,2009-2013
B01001_18_60_and_61_years,6861,22030,5900,1847,776,1222,1658,1114,1620,1033,52,18160,860,2009-2013
B01001_19_62_to_64_years,9452,28098,7966,2321,989,1523,1974,1479,1915,1145,110,22991,816,2009-2013
B01001_20_65_and_66_years,5814,15581,4723,1376,825,760,1518,819,1437,942,69,12713,562,2009-2013
B01001_21_67_to_69_years,6553,18031,5289,1632,1107,1004,1812,1219,1593,603,96,14850,810,2009-2013
B01001_22_70_to_74_years,7819,22319,5396,1713,1343,1675,1994,1317,1657,1001,204,18253,1039,2009-2013
B01001_23_75_to_79_years,4734,16340,3405,1177,1121,984,1497,837,1329,639,98,12468,788,2009-2013
B01001_24_80_to_84_years,2862,10711,2162,681,678,633,898,486,813,279,103,8608,233,2009-2013
B01001_25_85_years_and_over,1979,8435,1579,518,301,508,550,367,456,304,51,6513,243,2009-2013
B01001_26_female,412354,1219073,349259,76959,26167,43621,76054,53520,58670,41150,4338,941719,29672,2009-2013
B01001_27_under_5_years,28399,94440,24159,5177,1260,2722,5050,3858,3565,2724,277,70073,1873,2009-2013
B01001_28_5_to_9_years,33558,91884,26164,5902,1662,3076,5635,4093,3771,3346,273,69888,2140,2009-2013
B01001_29_10_to_14_years,31945,85796,26169,6093,1466,2790,5803,4223,4442,3523,312,70723,2153,2009-2013
B01001_30_15_to_17_years,18098,50763,14410,3743,837,1627,3462,2407,2738,1937,218,40259,1281,2009-2013
B01001_31_18_and_19_years,8954,31490,9870,2005,423,1236,1835,1263,1545,981,194,24534,666,2009-2013
B01001_32_20_years,3708,17462,5893,795,188,947,814,649,536,212,44,13744,352,2009-2013
B01001_33_21_years,4050,14575,5131,968,217,526,690,845,587,164,25,12003,174,2009-2013
B01001_34_22_to_24_years,12925,53521,15119,2986,805,1585,2813,1446,1986,1292,160,37831,1121,2009-2013
B01001_35_25_to_29_years,26084,99154,26022,4741,1310,2557,4709,3318,2968,2277,210,69879,1766,2009-2013
B01001_36_30_to_34_years,31373,94939,26849,4823,1294,2515,4930,3646,3300,2966,182,68492,1720,2009-2013
B01001_37_35_to_39_years,35009,88011,29001,5575,1240,2533,5536,3661,4041,3422,295,67239,1901,2009-2013
B01001_38_40_to_44_years,36233,85738,27479,5242,1400,2920,4728,4089,3974,2973,281,68541,1964,2009-2013
B01001_39_45_to_49_years,33367,81956,26550,5523,1939,3135,5465,3882,4615,3239,307,67514,2388,2009-2013
B01001_40_50_to_54_years,28601,79324,23790,5623,1900,3202,5469,3733,4735,2981,269,64162,2367,2009-2013
B01001_41_55_to_59_years,23382,66922,18905,4925,2145,2809,5440,3233,3878,2543,240,53522,1976,2009-2013
B01001_42_60_and_61_years,8087,24759,6364,1558,925,1246,1542,1272,1617,862,175,19248,776,2009-2013
B01001_43_62_to_64_years,10930,32063,8712,2396,1059,1384,2105,1569,2187,1131,127,25652,940,2009-2013
B01001_44_65_and_66_years,6477,17188,4500,1416,855,966,1132,767,953,854,109,14338,427,2009-2013
B01001_45_67_to_69_years,8004,22301,6068,1428,1044,1242,2069,1299,1424,659,92,17768,968,2009-2013
B01001_46_70_to_74_years,8521,28435,6844,2197,1487,1596,2646,1658,2428,1171,208,21525,1038,2009-2013
B01001_47_75_to_79_years,5589,21631,4783,1505,1128,1046,1999,1011,1586,771,95,17671,768,2009-2013
B01001_48_80_to_84_years,5045,18370,3046,1253,744,850,1034,846,908,592,181,13330,491,2009-2013
B01001_49_85_years_and_over,4015,18351,3431,1085,839,1111,1148,752,886,530,64,13783,422,2009-2013
B02001_1_total,811308,2412481,687857,152020,51756,86455,152384,105220,118478,81020,8537,1848423,59894,2009-2013
B02001_2_white_alone,600458,1389604,537423,125136,47513,69328,140944,87683,110578,70379,7666,1295125,56411,2009-2013
B02001_3_black_or_african_american_alone,70095,532558,58107,13530,326,7366,3926,10042,2231,4399,146,277283,645,2009-2013
B02001_4_american_indian_and_alaska_native_alone,3601,8821,2871,2202,368,520,862,547,1106,253,22,9761,535,2009-2013
B02001_5_asian_alone,94463,127051,47257,1039,271,946,1054,670,852,1935,0,87345,212,2009-2013
B02001_6_native_hawaiian_and_other_pacific_islander_alone,540,1284,510,30,0,51,586,292,12,267,0,3274,33,2009-2013
B02001_7_some_other_race_alone,18462,292077,15698,6936,2691,6720,2356,2769,2152,1610,552,127374,1208,2009-2013
B02001_8_two_or_more_races,23689,61086,25991,3147,587,1524,2656,3217,1547,2177,151,48261,850,2009-2013
B02001_9_two_races_including_some_other_race,4524,17278,4695,670,122,199,386,606,436,475,0,10842,203,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",19165,43808,21296,2477,465,1325,2270,2611,1111,1702,151,37419,647,2009-2013
B11001_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
B11001_2_family_households,214515,560243,172944,40381,14606,21331,39852,27331,31696,21825,2301,457384,15937,2009-2013
B11001_3_married-couple_family,174793,372919,136811,31718,12439,16713,31513,21034,26025,17859,1971,329202,13243,2009-2013
B11001_4_other_family,39722,187324,36133,8663,2167,4618,8339,6297,5671,3966,330,128182,2694,2009-2013
"B11001_5_male_householder,_no_wife_present",10891,49943,9776,2464,506,1230,3070,1786,2121,1246,55,34062,657,2009-2013
"B11001_6_female_householder,_no_husband_present",28831,137381,26357,6199,1661,3388,5269,4511,3550,2720,275,94120,2037,2009-2013
B11001_7_nonfamily_households,75237,298089,70450,10635,6152,9425,12192,7591,10626,4995,892,202352,4550,2009-2013
B11001_8_householder_living_alone,61607,246282,53982,8812,5266,8070,10142,6322,9114,4147,812,169040,3879,2009-2013
B11001_9_householder_not_living_alone,13630,51807,16468,1823,886,1355,2050,1269,1512,848,80,33312,671,2009-2013
B15002_1_total,521349,1512949,431262,95060,37250,56539,98210,66910,78591,51866,5677,1159411,39444,2009-2013
B15002_2_male,250632,733807,208918,45770,17941,27427,48258,32174,39091,24895,2842,556747,19532,2009-2013
B15002_3_no_schooling_completed,1971,16543,1483,705,97,445,473,488,250,193,2,7832,324,2009-2013
B15002_4_nursery_to_4th_grade,1167,16159,1128,377,170,138,585,425,266,197,4,6237,349,2009-2013
B15002_5_5th_and_6th_grade,2869,38245,3375,1027,390,633,954,846,240,473,51,18073,354,2009-2013
B15002_6_7th_and_8th_grade,2027,20706,1978,1155,340,777,1201,881,607,337,56,8931,444,2009-2013
B15002_7_9th_grade,2590,32718,3141,1247,304,794,1418,947,712,331,52,14658,422,2009-2013
B15002_8_10th_grade,2486,16742,2086,1218,501,780,1489,791,962,202,148,10471,535,2009-2013
B15002_9_11th_grade,1537,21299,2253,1299,482,1188,1923,1166,1493,362,54,13188,651,2009-2013
"B15002_10_12th_grade,_no_diploma",2427,14386,2280,762,231,446,643,669,465,317,57,9479,274,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),35083,168118,38380,13657,4669,9578,16049,9754,10818,5071,779,128956,7444,2009-2013
"B15002_12_some_college,_less_than_1_year",11861,32963,13319,3982,1669,1956,3832,2533,3638,1660,122,35270,1440,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",38348,104376,37283,7738,3125,4684,8640,6222,7187,4253,369,97118,3355,2009-2013
B15002_14_associate's_degree,16167,38321,15939,3037,1100,1577,2912,1943,2675,1881,285,36938,804,2009-2013
B15002_15_bachelor's_degree,83866,133742,59249,6342,3152,2723,5639,3844,6488,6501,645,114416,2531,2009-2013
B15002_16_master's_degree,36078,51706,19968,2428,1109,1104,1705,1306,2376,2087,82,39381,451,2009-2013
B15002_17_professional_school_degree,6821,19341,3295,541,310,204,419,220,464,661,120,9683,93,2009-2013
B15002_18_doctorate_degree,5334,8442,3761,255,292,400,376,139,450,369,16,6116,61,2009-2013
B15002_19_female,270717,779142,222344,49290,19309,29112,49952,34736,39500,26971,2835,602664,19912,2009-2013
B15002_20_no_schooling_completed,2295,16708,1813,622,93,306,576,487,186,232,23,8950,168,2009-2013
B15002_21_nursery_to_4th_grade,955,13492,1244,552,143,137,404,259,98,76,0,5979,228,2009-2013
B15002_22_5th_and_6th_grade,2891,33112,2586,1044,168,548,678,600,252,258,62,15224,542,2009-2013
B15002_23_7th_and_8th_grade,1825,19324,1996,1017,323,803,1294,703,629,212,102,10632,328,2009-2013
B15002_24_9th_grade,2051,30424,3313,1300,204,823,1334,853,717,267,132,15027,530,2009-2013
B15002_25_10th_grade,2323,17741,2497,1259,589,876,1243,869,981,382,37,11556,549,2009-2013
B15002_26_11th_grade,2353,20950,1904,1240,528,1145,1759,1214,863,436,64,14166,396,2009-2013
"B15002_27_12th_grade,_no_diploma",2546,13790,2387,743,245,425,577,489,615,293,39,9092,294,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),46549,180321,43499,14833,6159,9861,16427,11113,10391,6504,638,147755,7198,2009-2013
"B15002_29_some_college,_less_than_1_year",17191,45990,15262,4214,1715,2243,4161,2832,3638,2364,214,44483,1532,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",42491,122858,39130,8662,3820,4656,9351,6686,7804,4671,484,107124,3616,2009-2013
B15002_31_associate's_degree,22258,45588,18478,3735,1205,2325,3906,2363,3475,1945,256,40763,1314,2009-2013
B15002_32_bachelor's_degree,86791,144928,61515,7351,2893,3418,6015,4492,7148,6528,571,121036,2307,2009-2013
B15002_33_master's_degree,31937,56735,21763,2280,948,1266,1816,1623,2264,2256,167,40808,754,2009-2013
B15002_34_professional_school_degree,4048,12079,2500,296,172,99,220,101,242,436,30,5720,67,2009-2013
B15002_35_doctorate_degree,2213,5102,2457,142,104,181,191,52,197,111,16,4349,89,2009-2013
B19001_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
"B19001_2_less_than_$10,000",10225,60933,9745,2355,785,2503,2563,1847,2259,616,259,38630,1012,2009-2013
"B19001_3_$10,000_to_$14,999",6470,43896,6271,2320,1041,2723,1955,1809,1726,841,165,29045,778,2009-2013
"B19001_4_$15,000_to_$19,999",6981,47208,7680,2055,992,1864,2277,1471,1839,732,175,31999,886,2009-2013
"B19001_5_$20,000_to_$24,999",8688,52080,8864,2366,880,1625,2440,1584,1947,724,152,33356,1194,2009-2013
"B19001_6_$25,000_to_$29,999",10229,51986,9408,1947,1268,1964,2052,1362,1447,554,106,33053,890,2009-2013
"B19001_7_$30,000_to_$34,999",10622,49362,9335,2423,1325,1554,2866,1626,2463,755,71,35108,817,2009-2013
"B19001_8_$35,000_to_$39,999",10295,44604,9562,1883,938,1603,2648,1426,1740,607,244,29723,1043,2009-2013
"B19001_9_$40,000_to_$44,999",11461,44602,9575,2288,738,1590,2718,1560,1482,1162,114,31984,1296,2009-2013
"B19001_10_$45,000_to_$49,999",9383,38458,8577,2492,1316,1417,2515,1393,1752,822,168,26948,1060,2009-2013
"B19001_11_$50,000_to_$59,999",19963,71601,19013,4628,2011,2396,5116,3008,2752,2012,287,56113,1914,2009-2013
"B19001_12_$60,000_to_$74,999",27550,84827,24982,5603,2325,3026,6178,4233,4378,2597,249,69358,2159,2009-2013
"B19001_13_$75,000_to_$99,999",39909,92675,33369,7896,2334,3409,7420,5022,5834,4492,474,83407,3038,2009-2013
"B19001_14_$100,000_to_$124,999",35770,61618,28213,5412,1624,2185,4936,3861,4372,3685,276,57603,1935,2009-2013
"B19001_15_$125,000_to_$149,999",23798,35223,19201,2907,1224,1159,2641,2041,2594,2102,123,35424,989,2009-2013
"B19001_16_$150,000_to_$199,999",29154,35932,20888,2505,1184,1066,2327,1652,3288,3041,104,35116,840,2009-2013
"B19001_17_$200,000_or_more",29254,43327,18711,1936,773,672,1392,1027,2449,2078,226,32869,636,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),82762,49481,74155,61952,55754,44858,57535,61194,64515,86119,55269,56853,56005,2009-2013
B25001_1_total,306978,949311,261496,54912,24953,36630,57144,38349,46618,28599,3660,720235,23692,2009-2013
B25003_1_total,289752,858332,243394,51016,20758,30756,52044,34922,42322,26820,3193,659736,20487,2009-2013
B25003_2_owner_occupied,197559,451047,159433,38064,16067,21463,39220,27161,33504,22412,2356,407132,16517,2009-2013
B25003_3_renter_occupied,92193,407285,83961,12952,4691,9293,12824,7761,8818,4408,837,252604,3970,2009-2013
B25024_1_total,306978,949311,261496,54912,24953,36630,57144,38349,46618,28599,3660,720235,23692,2009-2013
"B25024_2_1,_detached",214003,528735,176100,42281,16342,23475,39217,28863,33712,24559,2609,481044,15350,2009-2013
"B25024_3_1,_attached",8223,36628,4996,632,514,263,493,375,641,554,34,24512,296,2009-2013
B25024_4_2,1605,13180,1462,1418,275,466,1299,352,616,81,25,12052,316,2009-2013
