index,48015,48039,48071,48157,48167,48201,48291,48339,48473,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2009-2013
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,2009-2013
CHARITER,000,000,000,000,000,000,000,000,000,2009-2013
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,2009-2013
LOGRECNO,0000020,0000032,0000048,0000091,0000096,0000113,0000158,0000182,0000249,2009-2013
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,2009-2013
STATE_FIPS,48,48,48,48,48,48,48,48,48,2009-2013
GEO_ID,05000US48015,05000US48039,05000US48071,05000US48157,05000US48167,05000US48201,05000US48291,05000US48339,05000US48473,2009-2013
GEO_NAME,"Austin County, Texas","Brazoria County, Texas","Chambers County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Liberty County, Texas","Montgomery County, Texas","Waller County, Texas",2009-2013
B01003_1_total,28573,319493,35570,608939,296669,4182285,76013,472162,43836,2009-2013
B01001_1_total,28573,319493,35570,608939,296669,4182285,76013,472162,43836,2009-2013
B01001_2_male,14246,162326,17913,299234,146880,2083322,37320,233843,22019,2009-2013
B01001_3_under_5_years,961,12492,1277,22546,10244,172431,2623,17531,1715,2009-2013
B01001_4_5_to_9_years,883,12785,1668,26900,10748,166481,2939,18413,1265,2009-2013
B01001_5_10_to_14_years,1300,12320,1283,25526,10682,159326,2488,19294,1642,2009-2013
B01001_6_15_to_17_years,621,7411,837,15875,6628,94503,1828,11089,1029,2009-2013
B01001_7_18_and_19_years,305,4259,563,8524,4190,60124,1003,6193,1044,2009-2013
B01001_8_20_years,256,1761,188,3844,1830,31488,426,2804,462,2009-2013
B01001_9_21_years,258,1990,214,3691,1819,30795,338,3486,673,2009-2013
B01001_10_22_to_24_years,474,5992,525,9851,5685,93803,1867,7516,1930,2009-2013
B01001_11_25_to_29_years,615,10611,1031,17212,9551,174950,2408,14413,1174,2009-2013
B01001_12_30_to_34_years,725,11811,1089,19123,9639,167859,2251,15385,1143,2009-2013
B01001_13_35_to_39_years,945,12107,1367,22331,9040,154506,2395,16361,1132,2009-2013
B01001_14_40_to_44_years,791,12420,1231,22555,10183,146659,2620,16652,1270,2009-2013
B01001_15_45_to_49_years,1010,12132,1403,22602,10915,138407,2693,17183,1406,2009-2013
B01001_16_50_to_54_years,1040,12008,1413,22842,11698,134619,2799,17197,1490,2009-2013
B01001_17_55_to_59_years,899,10067,1252,19617,10554,115317,2436,15062,1374,2009-2013
B01001_18_60_and_61_years,439,3107,328,6715,3712,39536,889,5351,440,2009-2013
B01001_19_62_to_64_years,547,4622,584,7639,4194,48883,1255,6862,640,2009-2013
B01001_20_65_and_66_years,315,2457,339,4322,2364,27756,648,4252,417,2009-2013
B01001_21_67_to_69_years,373,2942,382,4996,3310,32051,1014,4828,358,2009-2013
B01001_22_70_to_74_years,569,3911,412,5536,4081,38065,1008,6087,613,2009-2013
B01001_23_75_to_79_years,416,2445,307,3176,2647,25717,686,3926,330,2009-2013
B01001_24_80_to_84_years,282,1571,81,2290,1874,16958,382,2363,213,2009-2013
B01001_25_85_years_and_over,222,1105,139,1521,1292,13088,324,1595,259,2009-2013
B01001_26_female,14327,157167,17657,309705,149789,2098963,38693,238319,21817,2009-2013
B01001_27_under_5_years,878,11998,1207,21545,9744,166175,2599,16424,1347,2009-2013
B01001_28_5_to_9_years,1016,12198,1238,25082,9513,162126,2642,17080,1567,2009-2013
B01001_29_10_to_14_years,838,11805,1468,24671,10864,149722,2526,19013,1276,2009-2013
B01001_30_15_to_17_years,639,6739,931,15096,6189,90026,1572,10695,766,2009-2013
B01001_31_18_and_19_years,432,3677,422,7612,3685,54976,888,5595,2072,2009-2013
B01001_32_20_years,244,1666,197,3267,2234,29669,523,2512,835,2009-2013
B01001_33_21_years,97,1232,167,3365,1326,28571,399,2491,523,2009-2013
B01001_34_22_to_24_years,423,6066,619,9518,5438,90758,1787,7909,1032,2009-2013
B01001_35_25_to_29_years,587,10376,1053,18033,9673,168722,2609,14537,1079,2009-2013
B01001_36_30_to_34_years,724,11361,1201,21518,9912,163816,2749,15906,1125,2009-2013
B01001_37_35_to_39_years,975,12529,1212,24553,9292,154004,2642,16865,1205,2009-2013
B01001_38_40_to_44_years,776,10782,1391,25632,10666,144959,2653,17066,1235,2009-2013
B01001_39_45_to_49_years,1048,11323,1410,24060,11307,140340,2860,17644,1440,2009-2013
B01001_40_50_to_54_years,1098,11153,1189,23716,11850,138485,2797,17547,1431,2009-2013
B01001_41_55_to_59_years,941,8663,1264,20252,9875,119399,2448,15224,1313,2009-2013
B01001_42_60_and_61_years,493,3216,297,6173,3868,40405,1159,5472,582,2009-2013
B01001_43_62_to_64_years,569,4994,515,8911,5137,56693,1017,7925,528,2009-2013
B01001_44_65_and_66_years,379,2394,421,4780,2563,30043,671,4121,355,2009-2013
B01001_45_67_to_69_years,543,3666,389,5073,3794,36192,914,5878,265,2009-2013
B01001_46_70_to_74_years,528,3702,362,6223,4199,46382,1170,6799,817,2009-2013
B01001_47_75_to_79_years,402,3054,212,4186,3574,33923,872,4559,384,2009-2013
B01001_48_80_to_84_years,326,2101,187,3633,2711,26513,626,3457,170,2009-2013
B01001_49_85_years_and_over,371,2472,305,2806,2375,27064,570,3600,470,2009-2013
B02001_1_total,28573,319493,35570,608939,296669,4182285,76013,472162,43836,2009-2013
B02001_2_white_alone,24315,238829,29449,324701,232601,2634618,60877,411304,29819,2009-2013
B02001_3_black_or_african_american_alone,2707,40250,2837,129926,40236,790585,8349,20247,10736,2009-2013
B02001_4_american_indian_and_alaska_native_alone,25,1262,135,1396,989,19737,299,1716,206,2009-2013
B02001_5_asian_alone,0,18079,407,106705,9392,264661,402,11021,241,2009-2013
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,45,20,30,92,2731,26,294,0,2009-2013
B02001_7_some_other_race_alone,1062,15507,1791,31515,6795,386472,4693,16980,1266,2009-2013
B02001_8_two_or_more_races,464,5521,931,14666,6564,83481,1367,10600,1568,2009-2013
B02001_9_two_races_including_some_other_race,117,1348,110,4204,1128,23913,519,1556,392,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",347,4173,821,10462,5436,59568,848,9044,1176,2009-2013
B11001_1_total,10615,107717,12147,191406,110032,1434694,24844,163462,13601,2009-2013
B11001_2_family_households,7517,80021,9839,158752,76115,984120,18535,121297,9834,2009-2013
B11001_3_married-couple_family,6282,61329,8251,126356,57126,677880,13874,95938,7300,2009-2013
B11001_4_other_family,1235,18692,1588,32396,18989,306240,4661,25359,2534,2009-2013
"B11001_5_male_householder,_no_wife_present",246,4989,830,8761,4676,83309,1285,8061,647,2009-2013
"B11001_6_female_householder,_no_husband_present",989,13703,758,23635,14313,222931,3376,17298,1887,2009-2013
B11001_7_nonfamily_households,3098,27696,2308,32654,33917,450574,6309,42165,3767,2009-2013
B11001_8_householder_living_alone,2829,23431,1895,28166,28042,370480,5260,34940,2759,2009-2013
B11001_9_householder_not_living_alone,269,4265,413,4488,5875,80094,1049,7225,1008,2009-2013
B15002_1_total,18948,205102,22766,382026,195850,2601311,49565,304117,24658,2009-2013
B15002_2_male,9188,103316,11358,182477,95054,1274371,23808,147517,12259,2009-2013
B15002_3_no_schooling_completed,156,1255,91,2672,1037,29071,244,1536,266,2009-2013
B15002_4_nursery_to_4th_grade,162,985,78,1828,760,28544,407,1755,373,2009-2013
B15002_5_5th_and_6th_grade,159,2075,262,3099,1759,64448,736,3900,287,2009-2013
B15002_6_7th_and_8th_grade,334,2054,445,2296,1666,32833,904,2136,215,2009-2013
B15002_7_9th_grade,200,2120,284,2710,1890,44184,1102,3423,390,2009-2013
B15002_8_10th_grade,209,3209,214,2787,1886,28054,1162,2428,439,2009-2013
B15002_9_11th_grade,225,3033,242,3035,2391,32927,970,3073,318,2009-2013
"B15002_10_12th_grade,_no_diploma",73,1457,172,2866,1498,26094,536,3425,139,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),3326,27026,3505,33015,24779,294181,8736,35519,4662,2009-2013
"B15002_12_some_college,_less_than_1_year",319,6804,963,8476,6185,59391,1700,8780,569,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",1615,18232,2420,30661,16430,194617,4100,24090,1774,2009-2013
B15002_14_associate's_degree,758,8045,857,10127,7243,67978,916,8610,622,2009-2013
B15002_15_bachelor's_degree,1211,17468,1394,49584,17223,235698,1666,32567,1601,2009-2013
B15002_16_master's_degree,340,5909,323,20571,5956,85634,441,10728,422,2009-2013
B15002_17_professional_school_degree,95,1838,32,3919,2426,30329,127,3616,126,2009-2013
B15002_18_doctorate_degree,6,1806,76,4831,1925,20388,61,1931,56,2009-2013
B15002_19_female,9760,101786,11408,199549,100796,1326940,25757,156600,12399,2009-2013
B15002_20_no_schooling_completed,60,1289,98,3477,1143,30027,304,1317,89,2009-2013
B15002_21_nursery_to_4th_grade,135,825,78,1937,762,25963,250,1706,135,2009-2013
B15002_22_5th_and_6th_grade,231,2439,260,3484,1513,56544,651,2280,315,2009-2013
B15002_23_7th_and_8th_grade,292,1754,222,2604,1685,33730,1160,1775,274,2009-2013
B15002_24_9th_grade,78,1813,148,2640,1882,38717,1047,2892,380,2009-2013
B15002_25_10th_grade,115,2106,269,2437,1429,26360,1015,2594,394,2009-2013
B15002_26_11th_grade,297,2331,353,3078,2548,31428,1408,3542,490,2009-2013
"B15002_27_12th_grade,_no_diploma",104,1447,201,3059,1480,25151,451,3859,194,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),3299,25063,3413,37284,25495,318269,9694,40328,4566,2009-2013
"B15002_29_some_college,_less_than_1_year",671,7114,781,9751,7910,74703,2247,11268,735,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",1928,17727,2500,35733,17513,218819,4158,28657,1621,2009-2013
B15002_31_associate's_degree,679,8475,815,14848,9222,79922,1287,11793,738,2009-2013
B15002_32_bachelor's_degree,1326,18697,1463,54312,18812,243861,1324,31899,1795,2009-2013
B15002_33_master's_degree,480,7559,697,19639,6692,89726,567,9957,629,2009-2013
B15002_34_professional_school_degree,30,2018,81,2771,1616,22366,54,1694,13,2009-2013
B15002_35_doctorate_degree,35,1129,29,2495,1094,11354,140,1039,31,2009-2013
B19001_1_total,10615,107717,12147,191406,110032,1434694,24844,163462,13601,2009-2013
"B19001_2_less_than_$10,000",807,5340,649,6403,7768,100479,1946,7339,1214,2009-2013
"B19001_3_$10,000_to_$14,999",468,4185,443,4353,4980,70887,1459,6151,539,2009-2013
"B19001_4_$15,000_to_$19,999",552,4318,306,5062,4516,78103,1970,7218,801,2009-2013
"B19001_5_$20,000_to_$24,999",760,4206,459,6082,5210,79606,1575,6792,792,2009-2013
"B19001_6_$25,000_to_$29,999",593,4383,592,5926,4639,74467,1250,7354,700,2009-2013
"B19001_7_$30,000_to_$34,999",519,4518,505,6661,5276,78331,1407,7337,707,2009-2013
"B19001_8_$35,000_to_$39,999",364,3873,356,6211,4421,66294,1292,6954,871,2009-2013
"B19001_9_$40,000_to_$44,999",564,4387,571,6617,4767,68181,1048,6588,590,2009-2013
"B19001_10_$45,000_to_$49,999",341,4902,271,6665,3883,60596,1027,5748,576,2009-2013
"B19001_11_$50,000_to_$59,999",1120,8261,790,13187,8062,111796,2583,11637,1056,2009-2013
"B19001_12_$60,000_to_$74,999",854,10244,1293,17416,10042,135511,2514,16299,1824,2009-2013
"B19001_13_$75,000_to_$99,999",1407,14840,1845,26820,14617,165376,2512,22779,1247,2009-2013
"B19001_14_$100,000_to_$124,999",1059,12737,1399,22705,10073,112488,1744,14800,945,2009-2013
"B19001_15_$125,000_to_$149,999",539,7143,856,16083,7272,67577,1213,10024,658,2009-2013
"B19001_16_$150,000_to_$199,999",305,8700,1251,19582,7724,76516,862,12183,581,2009-2013
"B19001_17_$200,000_or_more",363,5680,561,21633,6782,88486,442,14259,500,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),53265,67603,72489,85297,61877,53137,47228,67766,50097,2009-2013
B25001_1_total,12880,120387,13561,202621,134442,1616961,28910,181294,15834,2009-2013
B25003_1_total,10615,107717,12147,191406,110032,1434694,24844,163462,13601,2009-2013
B25003_2_owner_occupied,8077,79652,10065,150628,75613,810622,19400,119126,9231,2009-2013
B25003_3_renter_occupied,2538,28065,2082,40778,34419,624072,5444,44336,4370,2009-2013
B25024_1_total,12880,120387,13561,202621,134442,1616961,28910,181294,15834,2009-2013
"B25024_2_1,_detached",9590,86261,10257,170790,96962,929293,17619,122147,9678,2009-2013
"B25024_3_1,_attached",227,1852,90,3863,2497,64770,366,4166,370,2009-2013
B25024_4_2,105,821,58,559,2898,20639,277,1580,215,2009-2013
B25024_5_3_or_4,452,2186,137,1154,3831,49020,407,2608,864,2009-2013
B25024_6_5_to_9,217,4371,207,2887,4512,89233,165,4609,582,2009-2013
B25024_7_10_to_19,69,6068,78,9269,7721,188879,362,7661,111,2009-2013
B25024_8_20_to_49,59,2553,28,3628,4142,92242,130,5995,67,2009-2013
