index,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36119,34003,34013,34017,34019,34023,34025,34027,34029,34031,34035,34037,34039,42103,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2013-2017
FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2013-2017
STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,2013-2017
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2013-2017
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2013-2017
LOGRECNO,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,0000009,0000014,0000016,0000017,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000064,2013-2017
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2013-2017
STATE_FIPS,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,42,2013-2017
GEO_ID,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,05000US34003,05000US34013,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US42103,2013-2017
GEO_NAME,"Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York","Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Pike County, Pennsylvania",2013-2017
B01003_1_total,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,937920,800401,679756,125717,837288,627551,498847,589699,510563,333316,143570,557320,55687,2013-2017
B01001_1_total,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,937920,800401,679756,125717,837288,627551,498847,589699,510563,333316,143570,557320,55687,2013-2017
B01001_2_male,685636,146993,1247773,661718,782142,189437,49485,1134031,230325,159227,737373,471874,454204,384515,337345,62901,412127,305192,244480,283959,248308,162775,71475,271607,27956,2013-2017
B01001_3_under_5_years,55036,7105,100551,38033,41875,12726,2211,75316,14037,12468,41156,28704,25343,26937,24222,2546,25146,16117,12856,20836,17773,9077,3566,17906,1041,2013-2017
B01001_4_5_to_9_years,51974,7538,83757,42096,31298,13730,2747,65302,15631,13910,44925,31244,28294,26862,18510,3239,25486,19010,15033,18998,17421,10043,4026,18583,1360,2013-2017
B01001_5_10_to_14_years,49368,9160,79837,43883,30563,14736,3343,63576,14776,11757,50130,32771,30323,27536,17718,4345,26685,21272,17308,20224,17027,12425,4731,18965,1959,2013-2017
B01001_6_15_to_17_years,30682,6107,46594,28967,17132,9037,2160,38647,9629,7794,32231,21175,19185,15964,10438,3174,16527,13691,10992,11288,10577,7547,3274,11370,1217,2013-2017
B01001_7_18_and_19_years,21254,5212,27657,17966,15742,6367,1273,24172,5599,4477,20719,12975,11215,10385,7156,1939,12683,8067,6553,6144,7202,4148,1780,7004,745,2013-2017
B01001_8_20_years,13280,2802,16413,9169,7946,3841,534,15901,3009,2200,10136,5921,4867,5825,4353,751,7107,3301,2696,3269,3266,1921,842,3983,399,2013-2017
B01001_9_21_years,11991,2635,16511,9090,8908,3082,420,14463,3521,2337,9698,6250,5684,5773,4563,939,6807,3673,2771,3241,3645,1429,939,3915,295,2013-2017
B01001_10_22_to_24_years,34899,6029,55515,26208,37839,9525,2275,45585,9133,6588,30895,18072,17140,15839,14775,3095,14769,12445,9456,9995,11470,6398,2748,10175,1031,2013-2017
B01001_11_25_to_29_years,59237,9260,120225,40568,92372,10920,2766,97522,16638,9902,46294,27546,26090,26838,35824,2830,29251,17246,13217,16666,17569,8627,3955,18054,1246,2013-2017
B01001_12_30_to_34_years,50487,8387,111307,38088,85803,10814,2686,93338,14955,9307,42327,28504,28369,26247,37184,2640,29266,16277,14100,15715,16582,9514,3609,18197,1280,2013-2017
B01001_13_35_to_39_years,43007,8594,93161,39156,64878,10773,2802,84348,13531,8670,44345,29997,30211,26547,30247,3196,29420,16651,14238,14954,17167,10233,3964,19477,1388,2013-2017
B01001_14_40_to_44_years,41995,8856,81014,41133,54210,11882,3106,78840,15941,9133,47133,31519,30852,28049,25106,3300,29381,19424,16331,15335,15149,11370,4323,18782,1572,2013-2017
B01001_15_45_to_49_years,43882,10910,74419,46958,53093,13403,4116,79193,16103,10003,56082,34781,33805,27981,21684,4850,29226,22929,19425,17260,17007,12914,5597,19728,2124,2013-2017
B01001_16_50_to_54_years,43194,12197,73430,51149,50614,13988,4435,80021,16984,10820,60782,35768,35759,27651,20844,5845,29601,25998,21023,19023,17406,13964,6455,20323,2358,2013-2017
B01001_17_55_to_59_years,36854,11330,68722,48705,45150,12562,3969,74665,15872,10757,53545,32712,32783,24337,17533,5749,27210,25454,18535,19129,16235,13122,6048,19181,2342,2013-2017
B01001_18_60_and_61_years,14304,4531,25726,18909,17895,4545,1480,28233,5753,3460,20172,11284,12185,8951,6900,1998,10746,8418,6924,6811,5422,3902,2176,6135,1031,2013-2017
B01001_19_62_to_64_years,17679,5392,36222,23655,24121,5969,2074,35500,8647,4677,25254,16944,16219,10994,9038,2833,13064,11625,8627,10122,8186,5701,3265,8061,1075,2013-2017
B01001_20_65_and_66_years,9877,3740,22062,14996,15145,3239,1289,21233,5382,3044,15098,9278,9921,6686,4865,1509,7713,6771,5375,6636,4127,3343,1768,5214,701,2013-2017
B01001_21_67_to_69_years,13063,3960,27219,19128,18268,4833,1549,26987,6141,4085,19868,12943,12219,8330,6232,2011,10305,9171,6956,9549,6258,3696,2267,6315,1202,2013-2017
B01001_22_70_to_74_years,17088,4772,31973,22644,25657,5519,1805,34316,7597,5045,26063,15372,15827,10447,7787,2710,11896,10980,8066,14143,7193,5215,2762,7533,1444,2013-2017
B01001_23_75_to_79_years,12551,3591,23598,15515,17595,3557,1253,25248,5205,4018,17592,11244,11234,7260,5705,1522,8691,7187,5743,9946,5209,3299,1760,4531,937,2013-2017
B01001_24_80_to_84_years,7646,2572,16314,12523,12983,2275,723,16564,3543,2578,12453,8416,8197,4148,3509,1070,5461,4608,4189,7676,3127,2549,935,4496,651,2013-2017
B01001_25_85_years_and_over,6288,2313,15546,13179,13055,2114,469,15061,2698,2197,10475,8454,8482,4928,3152,810,5686,4877,4066,6999,3290,2338,685,3679,558,2013-2017
B01001_26_female,770210,148692,1387348,701351,871735,188737,49979,1205249,245623,165800,760222,503447,483716,415886,342411,62816,425161,322359,254367,305740,262255,170541,72095,285713,27731,2013-2017
B01001_27_under_5_years,53164,6753,95581,36282,40222,12101,2229,71116,13460,12250,39799,26889,24317,25867,23219,2446,23998,15588,12093,19755,17069,8576,3039,17372,999,2013-2017
B01001_28_5_to_9_years,49488,7157,81432,40283,32058,13344,2801,62025,13353,12188,43366,28687,27602,25521,18917,2957,25023,19357,14291,18919,15625,10087,4248,17863,1244,2013-2017
B01001_29_10_to_14_years,48037,8927,75556,41360,28971,13392,3142,60779,15402,12216,47009,31881,28655,26755,16073,4367,25414,19545,16531,18383,17546,11150,4282,18398,1852,2013-2017
B01001_30_15_to_17_years,29412,5738,45507,27600,17532,8477,2122,36934,9034,7415,30798,19523,18297,15718,9782,2790,15297,13271,10450,10755,10134,7239,3028,10987,1125,2013-2017
B01001_31_18_and_19_years,19889,5322,27088,16942,20108,5034,1076,22833,5309,4174,18358,13231,10627,9852,6290,1372,11609,7443,6214,5490,7166,3722,1644,6479,641,2013-2017
B01001_32_20_years,12152,2951,16342,7881,10759,2283,621,14358,3297,2406,9609,6153,4820,5592,3407,388,7060,3630,2810,3432,3776,1281,1016,3222,435,2013-2017
B01001_33_21_years,12650,2825,16882,8094,10691,2782,488,13547,3142,1756,9956,5719,5331,4880,4174,582,6378,3397,2736,3079,3674,2031,818,3334,147,2013-2017
B01001_34_22_to_24_years,35196,5256,60543,26711,43096,7270,1649,49150,9110,6444,28669,18024,16550,16579,14314,2242,14382,11575,8713,9804,11147,5835,2425,10724,817,2013-2017
B01001_35_25_to_29_years,62352,8072,129321,38863,106732,10329,2364,98720,16231,9139,42799,26981,25521,27483,34713,2390,28778,16136,12353,15832,17223,8385,3310,17141,1234,2013-2017
B01001_36_30_to_34_years,56267,7798,118410,38304,89436,10812,2559,93178,15088,9051,40919,28624,29165,28229,35057,2656,29176,16439,13930,15407,16792,9759,3502,18534,1108,2013-2017
B01001_37_35_to_39_years,52487,8412,99631,40053,65847,11292,2960,85394,14513,9059,42970,31174,32054,28278,27794,3378,29573,17500,14375,15281,16813,11267,4009,19482,1386,2013-2017
B01001_38_40_to_44_years,47320,8578,90233,43942,53867,12061,3109,80104,17097,9325,49463,33332,32156,30019,23575,3778,28145,20702,17671,15408,16656,11661,4525,19608,1827,2013-2017
B01001_39_45_to_49_years,51084,10953,85140,50692,52326,13834,4257,82073,17431,10628,58211,37211,36469,29968,21818,5525,29516,24705,20442,18040,17824,13720,5968,20857,2105,2013-2017
B01001_40_50_to_54_years,51467,12247,85770,55173,51079,14513,4594,84975,18393,11431,62495,38507,37831,29208,21381,6292,30578,27789,21613,20149,18321,14729,6682,21428,2510,2013-2017
B01001_41_55_to_59_years,44731,11603,81831,51680,49447,12917,3967,82586,17788,11043,56672,37003,36933,26949,19111,5837,29169,26297,19571,20567,17022,13444,6523,19999,2257,2013-2017
B01001_42_60_and_61_years,16986,3970,32474,20916,21579,4588,1535,31495,6716,3857,20793,12582,12701,10314,8233,2101,10925,8883,7063,7976,6297,4391,2290,7178,961,2013-2017
B01001_43_62_to_64_years,22764,5656,44578,26002,27970,6233,2080,40553,9131,5297,25988,17373,17040,13679,9819,2565,14191,12568,8864,12155,8945,5749,2796,8913,1153,2013-2017
B01001_44_65_and_66_years,14309,3376,29100,16182,19743,3607,1262,26674,5202,3644,17921,11285,10708,8253,6308,1301,9355,6979,5598,8687,5430,3619,1738,5502,1107,2013-2017
B01001_45_67_to_69_years,16918,4415,35023,21547,24493,5103,1800,33423,7760,4939,22081,14270,14383,9602,7600,2154,11148,10136,7661,11563,6892,4013,2415,7477,1205,2013-2017
B01001_46_70_to_74_years,24457,6410,42691,27788,36058,6515,1891,42873,9907,6131,31086,19564,19392,14653,10346,2764,14407,13351,10186,17600,9183,6662,3029,9833,1335,2013-2017
B01001_47_75_to_79_years,19312,4414,34864,20584,25579,4185,1244,33719,6770,4623,23137,16153,14644,9993,8207,2058,10670,8663,7523,13470,7228,4541,1802,6942,1046,2013-2017
B01001_48_80_to_84_years,13120,3492,27116,17865,19003,3384,1020,26001,5298,3676,17395,12235,12254,8238,5713,1176,8656,7908,5700,10255,5008,3943,1327,6214,540,2013-2017
B01001_49_85_years_and_over,16648,4367,32235,26607,25139,4681,1209,32739,6191,5108,20728,17046,16266,10256,6560,1697,11713,10497,7979,13733,6484,4737,1679,8226,697,2013-2017
B02001_1_total,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,937920,800401,679756,125717,837288,627551,498847,589699,510563,333316,143570,557320,55687,2013-2017
B02001_2_white_alone,305539,232511,1138768,939072,932105,280296,88598,929296,356092,230354,1205198,637798,664406,336763,376168,114342,497816,515213,406436,538498,319097,225398,133544,315421,49540,2013-2017
B02001_3_black_or_african_american_alone,489532,31036,869467,157339,246603,40236,2414,426668,49237,40643,117030,142677,56391,320278,84114,3406,84015,45144,16065,17800,60323,31335,2997,117852,3382,2013-2017
B02001_4_american_indian_and_alaska_native_alone,9658,1112,8735,3334,6035,1247,257,8756,1303,608,3743,4098,1627,2035,2132,70,1582,967,592,310,2085,764,38,1509,69,2013-2017
B02001_5_asian_alone,53413,11044,313891,123381,198496,9863,2225,592247,40287,19719,58072,57584,152608,41325,103036,4833,201243,34255,50483,11618,27097,57106,2864,27819,817,2013-2017
B02001_6_native_hawaiian_and_other_pacific_islander_alone,972,103,975,214,1001,200,23,1245,165,33,532,184,308,196,567,17,251,249,61,242,141,21,14,184,19,2013-2017
B02001_7_some_other_race_alone,545677,10959,232279,94040,196577,33221,3596,302058,17906,25362,75658,104147,41159,79213,91410,1349,32125,19332,14916,12095,84639,11876,1925,80495,838,2013-2017
B02001_8_two_or_more_races,51055,8920,71006,45689,73060,13111,2351,79010,10958,8308,37362,28833,21421,20591,22329,1700,20256,12391,10294,9136,17181,6816,2188,14040,1022,2013-2017
B02001_9_two_races_including_some_other_race,21695,1389,15639,15352,17752,4317,389,28881,2255,2468,9620,8859,4521,5516,7456,278,7326,1817,1467,1437,4048,1150,203,4217,307,2013-2017
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",29360,7531,55367,30337,55308,8794,1962,50129,8703,5840,27742,19974,16900,15075,14873,1422,12930,10574,8827,7699,13133,5666,1985,9823,715,2013-2017
