index,54037,estimate_year
B01001_10_22_to_24_years,877,2013-2017
B01001_11_25_to_29_years,1460,2013-2017
B01001_12_30_to_34_years,1624,2013-2017
B01001_13_35_to_39_years,1788,2013-2017
B01001_14_40_to_44_years,1813,2013-2017
B01001_15_45_to_49_years,2070,2013-2017
B01001_16_50_to_54_years,2214,2013-2017
B01001_17_55_to_59_years,1851,2013-2017
B01001_18_60_and_61_years,781,2013-2017
B01001_19_62_to_64_years,1095,2013-2017
B01001_1_total,55673,2013-2017
B01001_20_65_and_66_years,532,2013-2017
B01001_21_67_to_69_years,932,2013-2017
B01001_22_70_to_74_years,1027,2013-2017
B01001_23_75_to_79_years,760,2013-2017
B01001_24_80_to_84_years,324,2013-2017
B01001_25_85_years_and_over,216,2013-2017
B01001_26_female,28185,2013-2017
B01001_27_under_5_years,1489,2013-2017
B01001_28_5_to_9_years,1760,2013-2017
B01001_29_10_to_14_years,1846,2013-2017
B01001_2_male,27488,2013-2017
B01001_30_15_to_17_years,1058,2013-2017
B01001_31_18_and_19_years,793,2013-2017
B01001_32_20_years,501,2013-2017
B01001_33_21_years,339,2013-2017
B01001_34_22_to_24_years,786,2013-2017
B01001_35_25_to_29_years,1573,2013-2017
B01001_36_30_to_34_years,1704,2013-2017
B01001_37_35_to_39_years,1938,2013-2017
B01001_38_40_to_44_years,1783,2013-2017
B01001_39_45_to_49_years,2166,2013-2017
B01001_3_under_5_years,1630,2013-2017
B01001_40_50_to_54_years,2223,2013-2017
B01001_41_55_to_59_years,1977,2013-2017
B01001_42_60_and_61_years,772,2013-2017
B01001_43_62_to_64_years,1122,2013-2017
B01001_44_65_and_66_years,725,2013-2017
B01001_45_67_to_69_years,786,2013-2017
B01001_46_70_to_74_years,1170,2013-2017
B01001_47_75_to_79_years,764,2013-2017
B01001_48_80_to_84_years,484,2013-2017
B01001_49_85_years_and_over,426,2013-2017
B01001_4_5_to_9_years,1931,2013-2017
B01001_5_10_to_14_years,1830,2013-2017
B01001_6_15_to_17_years,1148,2013-2017
B01001_7_18_and_19_years,837,2013-2017
B01001_8_20_years,344,2013-2017
B01001_9_21_years,404,2013-2017
B01003_1_total,55673,2013-2017
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",1188,2013-2017
B02001_1_total,55673,2013-2017
B02001_2_white_alone,48726,2013-2017
B02001_3_black_or_african_american_alone,3669,2013-2017
B02001_4_american_indian_and_alaska_native_alone,108,2013-2017
B02001_5_asian_alone,830,2013-2017
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,2013-2017
B02001_7_some_other_race_alone,940,2013-2017
B02001_8_two_or_more_races,1400,2013-2017
B02001_9_two_races_including_some_other_race,212,2013-2017
B03002_10_two_races_including_some_other_race,13,2013-2017
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",1143,2013-2017
B03002_12_hispanic_or_latino,2972,2013-2017
B03002_13_white_alone,2060,2013-2017
B03002_14_black_or_african_american_alone,39,2013-2017
B03002_15_american_indian_and_alaska_native_alone,0,2013-2017
B03002_16_asian_alone,0,2013-2017
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,2013-2017
B03002_18_some_other_race_alone,629,2013-2017
B03002_19_two_or_more_races,244,2013-2017
B03002_1_total,55673,2013-2017
B03002_20_two_races_including_some_other_race,199,2013-2017
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",45,2013-2017
B03002_2_not_hispanic_or_latino,52701,2013-2017
B03002_3_white_alone,46666,2013-2017
B03002_4_black_or_african_american_alone,3630,2013-2017
B03002_5_american_indian_and_alaska_native_alone,108,2013-2017
B03002_6_asian_alone,830,2013-2017
B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,2013-2017
B03002_8_some_other_race_alone,311,2013-2017
B03002_9_two_or_more_races,1156,2013-2017
B11001_1_total,20808,2013-2017
B11001_2_family_households,14643,2013-2017
B11001_3_married-couple_family,11381,2013-2017
B11001_4_other_family,3262,2013-2017
"B11001_5_male_householder,_no_wife_present",949,2013-2017
"B11001_6_female_householder,_no_husband_present",2313,2013-2017
B11001_7_nonfamily_households,6165,2013-2017
B11001_8_householder_living_alone,4771,2013-2017
B11001_9_householder_not_living_alone,1394,2013-2017
B11005_10_female_householder,13,2013-2017
B11005_11_households_with_no_people_under_18_years,13811,2013-2017
B11005_12_family_households,7691,2013-2017
B11005_13_married-couple_family,6448,2013-2017
B11005_14_other_family,1243,2013-2017
"B11005_15_male_householder,_no_wife_present",317,2013-2017
"B11005_16_female_householder,_no_husband_present",926,2013-2017
B11005_17_nonfamily_households,6120,2013-2017
B11005_18_male_householder,3002,2013-2017
B11005_19_female_householder,3118,2013-2017
B11005_1_total,20808,2013-2017
B11005_2_households_with_one_or_more_people_under_18_years,6997,2013-2017
B11005_3_family_households,6952,2013-2017
B11005_4_married-couple_family,4933,2013-2017
B11005_5_other_family,2019,2013-2017
"B11005_6_male_householder,_no_wife_present",632,2013-2017
"B11005_7_female_householder,_no_husband_present",1387,2013-2017
B11005_8_nonfamily_households,45,2013-2017
B11005_9_male_householder,32,2013-2017
"B15002_10_12th_grade,_no_diploma",255,2013-2017
B15002_11_high_school_graduate_(includes_equivalency),5704,2013-2017
"B15002_12_some_college,_less_than_1_year",1266,2013-2017
"B15002_13_some_college,_1_or_more_years,_no_degree",2416,2013-2017
B15002_14_associate's_degree,999,2013-2017
B15002_15_bachelor's_degree,3453,2013-2017
B15002_16_master's_degree,1638,2013-2017
B15002_17_professional_school_degree,292,2013-2017
B15002_18_doctorate_degree,351,2013-2017
B15002_19_female,19613,2013-2017
B15002_1_total,38100,2013-2017
B15002_20_no_schooling_completed,65,2013-2017
B15002_21_nursery_to_4th_grade,80,2013-2017
B15002_22_5th_and_6th_grade,74,2013-2017
B15002_23_7th_and_8th_grade,277,2013-2017
B15002_24_9th_grade,268,2013-2017
B15002_25_10th_grade,485,2013-2017
B15002_26_11th_grade,427,2013-2017
"B15002_27_12th_grade,_no_diploma",228,2013-2017
B15002_28_high_school_graduate_(includes_equivalency),6539,2013-2017
"B15002_29_some_college,_less_than_1_year",1619,2013-2017
B15002_2_male,18487,2013-2017
"B15002_30_some_college,_1_or_more_years,_no_degree",2341,2013-2017
B15002_31_associate's_degree,1309,2013-2017
B15002_32_bachelor's_degree,3708,2013-2017
B15002_33_master's_degree,1800,2013-2017
B15002_34_professional_school_degree,235,2013-2017
B15002_35_doctorate_degree,158,2013-2017
B15002_3_no_schooling_completed,143,2013-2017
B15002_4_nursery_to_4th_grade,79,2013-2017
B15002_5_5th_and_6th_grade,103,2013-2017
B15002_6_7th_and_8th_grade,541,2013-2017
B15002_7_9th_grade,344,2013-2017
B15002_8_10th_grade,422,2013-2017
B15002_9_11th_grade,481,2013-2017
"B19001_10_$45,000_to_$49,999",600,2013-2017
"B19001_11_$50,000_to_$59,999",1884,2013-2017
"B19001_12_$60,000_to_$74,999",1930,2013-2017
"B19001_13_$75,000_to_$99,999",2734,2013-2017
"B19001_14_$100,000_to_$124,999",2664,2013-2017
"B19001_15_$125,000_to_$149,999",1762,2013-2017
"B19001_16_$150,000_to_$199,999",1538,2013-2017
"B19001_17_$200,000_or_more",1416,2013-2017
B19001_1_total,20808,2013-2017
"B19001_2_less_than_$10,000",1192,2013-2017
"B19001_3_$10,000_to_$14,999",525,2013-2017
"B19001_4_$15,000_to_$19,999",722,2013-2017
"B19001_5_$20,000_to_$24,999",951,2013-2017
"B19001_6_$25,000_to_$29,999",634,2013-2017
"B19001_7_$30,000_to_$34,999",738,2013-2017
"B19001_8_$35,000_to_$39,999",754,2013-2017
"B19001_9_$40,000_to_$44,999",764,2013-2017
B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),72526,2013-2017
B25001_1_total,22813,2013-2017
B25003_1_total,20808,2013-2017
B25003_2_owner_occupied,15420,2013-2017
B25003_3_renter_occupied,5388,2013-2017
B25024_10_mobile_home,1808,2013-2017
"B25024_11_boat,_rv,_van,_etc.",13,2013-2017
B25024_1_total,22813,2013-2017
"B25024_2_1,_detached",17077,2013-2017
"B25024_3_1,_attached",1803,2013-2017
B25024_4_2,438,2013-2017
B25024_5_3_or_4,310,2013-2017
B25024_6_5_to_9,571,2013-2017
B25024_7_10_to_19,600,2013-2017
B25024_8_20_to_49,76,2013-2017
B25024_9_50_or_more,117,2013-2017
B25034_10_built_1940_to_1949,496,2013-2017
B25034_11_built_1939_or_earlier,2773,2013-2017
B25034_1_total,22813,2013-2017
B25034_2_built_2014_or_later,184,2013-2017
B25034_3_built_2010_to_2013,541,2013-2017
B25034_4_built_2000_to_2009,5882,2013-2017
B25034_5_built_1990_to_1999,3899,2013-2017
B25034_6_built_1980_to_1989,3180,2013-2017
B25034_7_built_1970_to_1979,3320,2013-2017
B25034_8_built_1960_to_1969,1607,2013-2017
B25034_9_built_1950_to_1959,931,2013-2017
B25077_1_median_value_(dollars),227300,2013-2017
B25127_10_built_2000_to_2009,4629,2013-2017
"B25127_11_1,_detached__or_attached",4522,2013-2017
B25127_12_2_to_4,0,2013-2017
B25127_13_5_to_19,0,2013-2017
B25127_14_20_to_49,0,2013-2017
B25127_15_50_or_more,0,2013-2017
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",107,2013-2017
B25127_17_built_1980_to_1999,4801,2013-2017
"B25127_18_1,_detached__or_attached",4394,2013-2017
B25127_19_2_to_4,33,2013-2017
