index,13013,13015,13035,13045,13057,13063,13067,13077,13085,13089,13097,13113,13117,13121,13135,13143,13149,13151,13159,13171,13199,13211,13217,13223,13227,13231,13247,13255,13297,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000019,0000020,0000030,0000034,0000040,0000043,0000045,0000050,0000054,0000056,0000060,0000068,0000070,0000072,0000079,0000083,0000086,0000087,0000091,0000097,0000111,0000116,0000119,0000122,0000124,0000126,0000134,0000138,0000159,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2008-2012
GEO_ID,05000US13013,05000US13015,05000US13035,05000US13045,05000US13057,05000US13063,05000US13067,05000US13077,05000US13085,05000US13089,05000US13097,05000US13113,05000US13117,05000US13121,05000US13135,05000US13143,05000US13149,05000US13151,05000US13159,05000US13171,05000US13199,05000US13211,05000US13217,05000US13223,05000US13227,05000US13231,05000US13247,05000US13255,05000US13297,2008-2012
GEO_NAME,"Barrow County, Georgia","Bartow County, Georgia","Butts County, Georgia","Carroll County, Georgia","Cherokee County, Georgia","Clayton County, Georgia","Cobb County, Georgia","Coweta County, Georgia","Dawson County, Georgia","DeKalb County, Georgia","Douglas County, Georgia","Fayette County, Georgia","Forsyth County, Georgia","Fulton County, Georgia","Gwinnett County, Georgia","Haralson County, Georgia","Heard County, Georgia","Henry County, Georgia","Jasper County, Georgia","Lamar County, Georgia","Meriwether County, Georgia","Morgan County, Georgia","Newton County, Georgia","Paulding County, Georgia","Pickens County, Georgia","Pike County, Georgia","Rockdale County, Georgia","Spalding County, Georgia","Walton County, Georgia",2008-2012
B01003_1_total,69136,99872,23671,110750,215014,262066,691820,127212,22246,694671,132124,106525,177103,929535,810624,28627,11756,203185,13786,18151,21966,17919,100047,141846,29445,17765,85008,63979,83771,2008-2012
B01001_1_total,69136,99872,23671,110750,215014,262066,691820,127212,22246,694671,132124,106525,177103,929535,810624,28627,11756,203185,13786,18151,21966,17919,100047,141846,29445,17765,85008,63979,83771,2008-2012
B01001_2_male,34593,49331,12624,54024,106123,125364,336597,62296,11052,332641,63652,51507,88080,453524,399993,13975,5898,97585,6896,8653,10411,8670,47588,69339,14613,8708,40386,30967,41009,2008-2012
B01001_3_under_5_years,3027,3536,671,3931,8030,11315,24706,4576,663,26351,4951,2524,7059,32139,32134,941,383,6996,462,437,667,550,3901,5568,865,465,2854,2312,3074,2008-2012
B01001_4_5_to_9_years,3222,3975,559,4123,9178,10562,24613,5267,708,23680,5000,3643,8660,31658,34435,930,326,8631,552,594,686,681,4004,6412,1088,786,2859,2290,3294,2008-2012
B01001_5_10_to_14_years,2688,3921,890,3930,8030,10715,25360,4641,754,21868,5825,4759,7604,30123,32982,1028,594,8688,477,558,743,647,4186,6077,885,721,3530,2323,3254,2008-2012
B01001_6_15_to_17_years,1586,2197,536,2350,4652,6301,15221,2993,418,13568,3222,3100,4055,18147,20186,709,295,5498,266,264,481,366,2431,3682,527,406,2154,1348,1904,2008-2012
B01001_7_18_and_19_years,865,1338,476,2068,2584,4142,9387,1522,233,9133,1761,1636,1896,14725,11102,373,144,3110,138,496,339,183,1802,1891,357,241,1236,897,1021,2008-2012
B01001_8_20_years,320,713,260,1187,1304,2186,4509,479,174,5508,915,629,1065,7429,5249,135,39,1489,40,170,61,112,553,685,150,99,450,416,632,2008-2012
B01001_9_21_years,414,537,206,904,1376,1850,4155,510,68,4857,806,618,995,7302,4829,122,54,1037,125,146,260,97,404,1118,102,92,802,468,632,2008-2012
B01001_10_22_to_24_years,1294,1565,631,2640,3308,5809,14389,2512,407,15019,2278,1309,1761,21299,15504,621,222,3131,333,429,289,251,1896,2129,501,259,1589,1172,1094,2008-2012
B01001_11_25_to_29_years,2559,3044,958,3938,6395,9692,24917,3822,657,29170,3876,1930,3749,39302,28375,847,395,5195,412,503,595,383,2761,4236,717,426,2284,2092,2264,2008-2012
B01001_12_30_to_34_years,2647,3290,853,3573,7219,9338,24791,4124,613,28427,4282,1969,5204,36564,29602,785,279,6020,425,395,546,548,3053,4745,768,469,2278,2171,2468,2008-2012
B01001_13_35_to_39_years,2450,3553,823,3326,8440,9220,26133,4198,701,27427,4522,2892,7695,35878,31889,749,365,7768,722,451,523,517,3443,5608,1174,585,2509,1925,2916,2008-2012
B01001_14_40_to_44_years,2719,4228,1157,3977,9104,9678,26925,5366,774,25118,5660,3759,8582,35705,33106,1200,489,8193,258,736,698,524,3676,6458,993,699,3087,2065,3145,2008-2012
B01001_15_45_to_49_years,2522,3864,1027,3777,8495,8604,26068,4913,904,23513,5039,4585,7976,33726,31909,1119,437,8056,465,622,774,712,3499,5446,1037,731,3142,2189,3323,2008-2012
B01001_16_50_to_54_years,2212,3495,872,3477,7683,7631,23821,4542,836,21130,4291,4644,6117,30264,27548,1028,440,6750,537,627,799,645,3017,4868,1049,622,2878,2176,2874,2008-2012
B01001_17_55_to_59_years,1786,2990,907,3011,6105,5944,19492,3352,777,18002,3266,4077,4276,24777,20444,686,443,5535,485,606,876,616,2892,3163,730,622,2605,1922,2767,2008-2012
B01001_18_60_and_61_years,647,901,178,1099,2121,2316,6484,1639,333,6691,1342,1195,1711,8763,7599,507,69,1757,189,230,194,320,696,1021,607,167,887,477,918,2008-2012
B01001_19_62_to_64_years,873,1486,371,1499,3100,2604,9150,2012,504,7978,1717,2022,2317,11482,8734,507,206,2282,243,278,385,282,1167,1703,767,285,1339,1131,1136,2008-2012
B01001_20_65_and_66_years,462,848,295,935,1597,1437,5638,1134,249,4432,1055,1120,1262,5559,4991,351,137,1380,69,198,216,282,493,982,415,156,747,634,744,2008-2012
B01001_21_67_to_69_years,596,1066,227,1136,2294,1700,5403,1239,399,5229,991,1301,1453,6915,4662,344,231,1742,174,215,300,203,915,1048,549,157,813,767,900,2008-2012
B01001_22_70_to_74_years,760,1199,366,1391,2230,1917,6110,1544,411,5993,1372,1654,2217,8874,6557,397,119,1792,218,366,425,269,1336,1029,595,334,943,930,1192,2008-2012
B01001_23_75_to_79_years,594,874,193,969,1616,1318,4634,865,281,4001,722,1070,1149,5630,4482,225,115,1310,150,243,299,247,826,872,344,200,780,562,757,2008-2012
B01001_24_80_to_84_years,225,516,125,420,785,599,2617,678,124,2965,504,684,920,3989,1988,258,59,780,146,39,226,91,354,378,173,121,373,410,402,2008-2012
B01001_25_85_years_and_over,125,195,43,363,477,486,2074,368,64,2581,255,387,357,3274,1686,113,57,445,10,50,29,144,283,220,220,65,247,290,298,2008-2012
B01001_26_female,34543,50541,11047,56726,108891,136702,355223,64916,11194,362030,68472,55018,89023,476011,410631,14652,5858,105600,6890,9498,11555,9249,52459,72507,14832,9057,44622,33012,42762,2008-2012
B01001_27_under_5_years,2416,3447,733,3835,7758,10666,23985,4548,580,24746,4750,2349,6429,30681,30574,932,333,6649,417,532,750,493,3656,5437,774,521,2858,2298,2687,2008-2012
B01001_28_5_to_9_years,2782,3513,782,4009,8655,10122,23935,4883,726,22414,5222,3620,9324,30195,32236,939,337,7750,466,466,762,600,4199,5485,1106,644,3179,2188,2914,2008-2012
B01001_29_10_to_14_years,2503,3845,648,3570,7786,10171,23964,4738,817,21232,4980,4392,6273,29858,32555,1156,469,9008,472,616,646,598,3768,6529,748,752,3060,2138,3292,2008-2012
B01001_30_15_to_17_years,1258,2136,426,2397,4538,6004,14589,2852,389,12954,3262,3143,3742,17950,19115,580,232,5357,329,394,412,418,2428,3223,513,434,2190,1295,1935,2008-2012
B01001_31_18_and_19_years,808,1118,219,2382,2555,3894,8725,1357,264,9252,1764,1483,1661,13708,9574,368,151,2966,250,636,245,200,1547,1856,279,217,1163,793,901,2008-2012
B01001_32_20_years,416,726,174,1099,898,1964,3762,495,201,5980,1041,533,644,7344,4724,121,93,1235,76,108,166,278,721,892,130,184,632,478,556,2008-2012
B01001_33_21_years,349,404,183,1127,1053,1830,4292,691,229,4419,608,462,735,7054,4507,197,138,1274,36,202,219,49,763,912,108,20,591,353,353,2008-2012
B01001_34_22_to_24_years,1153,2028,319,2843,3655,6385,14224,2207,283,15258,2105,1206,1768,20847,14210,589,139,2925,171,383,316,125,1458,2139,510,252,1314,1175,1504,2008-2012
B01001_35_25_to_29_years,2803,3168,672,3839,6313,10629,25407,4107,633,31530,4296,1902,4160,41420,27351,793,345,6181,436,631,669,522,3220,4622,724,466,2470,2170,2530,2008-2012
B01001_36_30_to_34_years,2707,3370,631,3712,7636,10532,26658,4337,580,29719,5007,2222,6062,38344,31113,796,290,7113,344,414,626,533,3735,5572,829,588,2727,2021,2644,2008-2012
B01001_37_35_to_39_years,2580,3503,900,4052,8998,11006,28544,4747,830,28873,6085,3281,7502,37771,35337,879,413,8701,433,641,595,538,4235,6479,1059,639,3087,2085,2992,2008-2012
