index,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000028,0000031,0000034,0000044,0000057,0000059,0000061,0000068,0000111,0000049,0000057,0000068,0000076,0000042,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,17,17,17,17,17,17,17,17,17,18,18,18,18,55,2008-2012
GEO_ID,05000US17031,05000US17037,05000US17043,05000US17063,05000US17089,05000US17093,05000US17097,05000US17111,05000US17197,05000US18073,05000US18089,05000US18111,05000US18127,05000US55059,2008-2012
GEO_NAME,"Cook County, Illinois","DeKalb County, Illinois","DuPage County, Illinois","Grundy County, Illinois","Kane County, Illinois","Kendall County, Illinois","Lake County, Illinois","McHenry County, Illinois","Will County, Illinois","Jasper County, Indiana","Lake County, Indiana","Newton County, Indiana","Porter County, Indiana","Kenosha County, Wisconsin",2008-2012
B01003_1_total,5197677,104820,918608,49870,514891,114226,701282,308163,677669,33369,495230,14199,164386,166373,2008-2012
B01001_1_total,5197677,104820,918608,49870,514891,114226,701282,308163,677669,33369,495230,14199,164386,166373,2008-2012
B01001_2_male,2517167,52181,450498,24912,256762,56847,350038,153700,336896,16675,239123,7177,80946,82304,2008-2012
B01001_3_under_5_years,174535,3352,28784,1881,20266,5128,23848,10045,24770,1093,16973,362,5015,5576,2008-2012
B01001_4_5_to_9_years,166783,3317,31973,2085,21333,5328,27413,12428,28343,1064,18399,430,5584,5737,2008-2012
B01001_5_10_to_14_years,173937,3292,33229,1851,21697,5147,28660,12354,29519,1531,17889,581,6024,6573,2008-2012
B01001_6_15_to_17_years,110103,1847,21577,1137,12771,2861,17989,7892,17570,743,11407,298,3752,3946,2008-2012
B01001_7_18_and_19_years,71702,2952,12652,712,7015,1301,12318,4340,9740,550,6974,195,2457,2816,2008-2012
B01001_8_20_years,35328,1962,5561,380,2876,510,5461,1984,4456,340,2993,148,1149,1171,2008-2012
B01001_9_21_years,35337,2247,5356,379,3713,619,4624,1537,3774,179,2909,38,1087,1124,2008-2012
B01001_10_22_to_24_years,113767,3911,17421,558,9048,1690,13186,4811,11143,521,8923,187,2950,3466,2008-2012
B01001_11_25_to_29_years,215584,4228,30547,1514,16615,3661,20084,8308,19230,959,15092,376,5098,5051,2008-2012
B01001_12_30_to_34_years,198438,3431,28882,1761,17641,4573,20366,9148,21758,1088,15162,468,5026,5226,2008-2012
B01001_13_35_to_39_years,178424,2912,30133,1631,19050,5106,23607,10899,25457,839,15324,370,5421,5333,2008-2012
B01001_14_40_to_44_years,174138,3161,32262,2017,19119,4936,25197,12293,27719,1199,15091,515,5474,6192,2008-2012
B01001_15_45_to_49_years,173571,3159,35572,2027,19386,3973,28263,13574,27455,1221,17079,582,5771,6736,2008-2012
B01001_16_50_to_54_years,171907,3163,35731,1732,17743,3293,27249,12504,24072,1240,18223,614,6387,6257,2008-2012
B01001_17_55_to_59_years,148586,2467,30817,1473,14457,2859,22069,9705,18861,1060,15713,574,5894,5407,2008-2012
B01001_18_60_and_61_years,52253,990,11205,553,5423,1094,7289,3289,6632,411,6274,159,2221,1671,2008-2012
B01001_19_62_to_64_years,67678,1392,13125,775,6615,1118,10102,4506,8569,520,7000,229,2584,2015,2008-2012
B01001_20_65_and_66_years,37657,634,7950,499,3933,645,5164,2467,4922,268,4004,169,1575,1093,2008-2012
B01001_21_67_to_69_years,47679,806,9095,450,4078,735,6408,3117,5526,376,4587,234,1613,1509,2008-2012
B01001_22_70_to_74_years,59955,1103,10231,615,5470,988,7782,3401,7031,671,7074,274,2432,1959,2008-2012
B01001_23_75_to_79_years,46615,859,7338,529,3920,623,5849,2374,4658,401,5311,186,1771,1391,2008-2012
B01001_24_80_to_84_years,34630,555,5928,263,2753,447,4009,1705,3401,250,3673,117,943,1206,2008-2012
B01001_25_85_years_and_over,28560,441,5129,90,1840,212,3101,1019,2290,151,3049,71,718,849,2008-2012
B01001_26_female,2680510,52639,468110,24958,258129,57379,351244,154463,340773,16694,256107,7022,83440,84069,2008-2012
B01001_27_under_5_years,168704,3143,27786,1723,19694,4746,22872,9546,23879,1055,16227,384,4716,5378,2008-2012
B01001_28_5_to_9_years,163728,2969,30937,1851,21024,5130,26437,11447,27200,1330,17637,453,5510,5354,2008-2012
B01001_29_10_to_14_years,165465,3310,31819,1826,19671,4750,26823,12142,27550,1009,17264,467,5534,6446,2008-2012
B01001_30_15_to_17_years,105459,1954,20323,1145,11947,2443,16815,7624,16620,723,10980,275,3461,3576,2008-2012
B01001_31_18_and_19_years,69366,3200,11270,542,6394,1255,9335,3814,8671,439,6538,250,2252,2644,2008-2012
B01001_32_20_years,34316,1895,5092,349,3365,595,4274,1305,3876,402,3061,54,1363,1389,2008-2012
