index,34005,34007,34015,34033,42017,42029,42045,42091,42101,10003,24015,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,nj,nj,nj,nj,pa,pa,pa,pa,pa,de,md,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000010,0000011,0000015,0000024,0000021,0000027,0000035,0000058,0000063,0000013,0000019,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,34,34,34,34,42,42,42,42,42,10,24,2008-2012
GEO_ID,05000US34005,05000US34007,05000US34015,05000US34033,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US10003,05000US24015,2008-2012
GEO_NAME,"Burlington County, New Jersey","Camden County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","New Castle County, Delaware","Cecil County, Maryland",2008-2012
B01003_1_total,449117,513660,288187,66007,625485,499548,558874,799886,1525811,539665,101109,2008-2012
B01001_1_total,449117,513660,288187,66007,625485,499548,558874,799886,1525811,539665,101109,2008-2012
B01001_2_male,220812,247930,139890,32058,306898,245462,267868,387923,719297,261385,50231,2008-2012
B01001_3_under_5_years,13078,17020,8746,2018,17253,15818,17105,24004,51965,16958,3256,2008-2012
B01001_4_5_to_9_years,13755,17231,9803,2319,19330,18269,17854,25616,46745,17674,3578,2008-2012
B01001_5_10_to_14_years,16021,18148,10697,2120,22627,17587,18503,26432,46377,17502,3704,2008-2012
B01001_6_15_to_17_years,9878,11455,6537,1426,14074,11519,12989,17017,30343,11519,2441,2008-2012
B01001_7_18_and_19_years,5865,7070,3945,889,7856,7394,9926,9685,26749,8854,1526,2008-2012
B01001_8_20_years,3220,3317,2583,612,3424,3296,5046,3910,15316,4413,768,2008-2012
B01001_9_21_years,2939,3106,1841,327,3643,3377,4187,3956,14781,4725,716,2008-2012
B01001_10_22_to_24_years,8865,10291,5525,1034,10081,8403,10463,13708,39252,11131,1692,2008-2012
B01001_11_25_to_29_years,13603,17124,8140,1814,16896,13861,16980,24677,65526,18458,2735,2008-2012
B01001_12_30_to_34_years,12788,15977,8016,1802,16408,13726,15676,24095,53461,17083,2855,2008-2012
B01001_13_35_to_39_years,14213,16246,9216,1846,18381,15540,15521,25263,45792,17584,2931,2008-2012
B01001_14_40_to_44_years,16470,17438,10302,2221,22694,18327,18111,28444,45108,18169,4077,2008-2012
B01001_15_45_to_49_years,18684,18610,11574,2494,26376,20053,20132,30826,46262,19909,4132,2008-2012
B01001_16_50_to_54_years,17998,18759,11088,2562,26819,19675,20809,31029,46190,19384,3915,2008-2012
B01001_17_55_to_59_years,14310,16071,8935,2209,22704,17016,18081,26895,38858,15891,3338,2008-2012
B01001_18_60_and_61_years,5482,5254,3479,994,7871,6115,6152,9467,15232,5867,1279,2008-2012
B01001_19_62_to_64_years,7085,7419,4225,1063,10762,7169,7873,12085,19147,7888,1796,2008-2012
B01001_20_65_and_66_years,3634,4232,2545,650,6082,4677,4195,7143,10672,3848,875,2008-2012
B01001_21_67_to_69_years,5014,4811,2893,825,7524,5013,5558,9090,13004,5701,1045,2008-2012
B01001_22_70_to_74_years,6358,6498,3549,1019,8926,6712,7111,10898,16738,6844,1564,2008-2012
B01001_23_75_to_79_years,4926,4953,2657,812,7080,5141,5570,9503,13308,5032,852,2008-2012
B01001_24_80_to_84_years,3809,3605,2185,502,5302,3770,5397,7759,9671,3852,672,2008-2012
B01001_25_85_years_and_over,2817,3295,1409,500,4785,3004,4629,6421,8800,3099,484,2008-2012
B01001_26_female,228305,265730,148297,33949,318587,254086,291006,411963,806514,278280,50878,2008-2012
B01001_27_under_5_years,12573,16089,8477,1821,16540,15011,16640,22821,50308,16457,3163,2008-2012
B01001_28_5_to_9_years,13854,16802,9621,1795,18721,16915,17406,25153,44870,17703,3120,2008-2012
B01001_29_10_to_14_years,15065,16954,9720,2376,20935,17487,17689,25141,44786,16169,3805,2008-2012
B01001_30_15_to_17_years,9493,10975,6303,1529,13329,10624,11680,16130,30432,10930,2186,2008-2012
B01001_31_18_and_19_years,5003,6347,3783,809,6919,7536,9478,9379,28100,9158,1321,2008-2012
B01001_32_20_years,2617,3664,2228,401,3250,3457,4947,3934,16423,4946,594,2008-2012
B01001_33_21_years,1713,3031,1861,426,3123,2541,4563,4457,15352,4757,795,2008-2012
B01001_34_22_to_24_years,7432,9581,5117,998,9527,8583,10146,13277,41988,10709,1607,2008-2012
B01001_35_25_to_29_years,12638,17690,8372,1857,16701,13421,17633,24045,72182,18503,2833,2008-2012
B01001_36_30_to_34_years,12998,16850,8805,1866,16759,13850,16835,24239,57641,17716,3009,2008-2012
B01001_37_35_to_39_years,14951,16801,10332,1955,19409,15760,17008,26089,48953,18195,3201,2008-2012
B01001_38_40_to_44_years,16863,19191,10938,2518,23403,19490,19207,29146,49023,19286,4140,2008-2012
B01001_39_45_to_49_years,19400,20109,12097,2658,27420,20841,21887,32734,51264,21187,4258,2008-2012
B01001_40_50_to_54_years,18564,20240,11660,2698,27300,20395,22524,32596,52847,20796,3990,2008-2012
B01001_41_55_to_59_years,15361,17566,9751,2536,23558,17648,19161,28144,47381,18520,3565,2008-2012
B01001_42_60_and_61_years,6028,6592,3799,880,7973,5731,7722,10664,17781,6339,1245,2008-2012
B01001_43_62_to_64_years,7561,8216,4569,1098,11280,8181,8716,13255,23159,8412,1584,2008-2012
B01001_44_65_and_66_years,4430,4818,2485,567,6505,4683,5094,7780,14015,5069,934,2008-2012
B01001_45_67_to_69_years,5569,6074,3302,897,8619,5633,6520,10036,17202,6147,1122,2008-2012
B01001_46_70_to_74_years,7885,7986,4751,1218,10202,7891,9269,14334,23913,8432,1481,2008-2012
B01001_47_75_to_79_years,6562,6484,3906,1134,9291,6576,9225,13107,21139,7144,1108,2008-2012
B01001_48_80_to_84_years,5535,6434,3273,1059,8255,5681,8293,11775,18261,5623,847,2008-2012
B01001_49_85_years_and_over,6210,7236,3147,853,9568,6151,9363,13727,19494,6082,970,2008-2012
B02001_1_total,449117,513660,288187,66007,625485,499548,558874,799886,1525811,539665,101109,2008-2012
B02001_2_white_alone,333460,332006,239402,52871,562737,436742,407100,657641,631799,363926,90583,2008-2012
B02001_3_black_or_african_american_alone,72612,97391,28656,9535,22785,30005,110537,69139,662657,128385,6440,2008-2012
B02001_4_american_indian_and_alaska_native_alone,528,2205,460,155,540,329,409,884,4473,1280,229,2008-2012
B02001_5_asian_alone,19759,26329,7763,649,24607,19198,26802,51172,96995,23762,1098,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,122,133,61,3,138,110,85,207,1594,223,31,2008-2012
B02001_7_some_other_race_alone,9004,39953,5265,1594,5546,4761,4066,5806,90949,10510,853,2008-2012
B02001_8_two_or_more_races,13632,15643,6580,1200,9132,8403,9875,15037,37344,11579,1875,2008-2012
B02001_9_two_races_including_some_other_race,2059,4382,1033,192,1377,1026,1127,1651,7926,1458,40,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",11573,11261,5547,1008,7755,7377,8748,13386,29418,10121,1835,2008-2012
B11001_1_total,165620,188861,104091,24950,229933,183793,206021,308083,580509,200618,35942,2008-2012
B11001_2_family_households,115689,127420,75573,17046,165687,130429,137815,208803,312290,134499,26277,2008-2012
B11001_3_married-couple_family,89534,88545,58113,12237,136085,109579,99165,169758,160378,96197,20539,2008-2012
B11001_4_other_family,26155,38875,17460,4809,29602,20850,38650,39045,151912,38302,5738,2008-2012
"B11001_5_male_householder,_no_wife_present",7036,9187,4710,1345,8231,6210,9677,10670,32189,9629,1857,2008-2012
"B11001_6_female_householder,_no_husband_present",19119,29688,12750,3464,21371,14640,28973,28375,119723,28673,3881,2008-2012
B11001_7_nonfamily_households,49931,61441,28518,7904,64246,53364,68206,99280,268219,66119,9665,2008-2012
B11001_8_householder_living_alone,42248,51407,23393,6770,54062,43006,58275,83568,227141,53104,8086,2008-2012
B11001_9_householder_not_living_alone,7683,10034,5125,1134,10184,10358,9931,15712,41078,13015,1579,2008-2012
B15002_1_total,307746,342579,191400,45107,434853,331731,370252,555266,982024,356060,66837,2008-2012
B15002_2_male,147191,160292,90213,21313,208610,159799,171795,263595,447769,168609,32550,2008-2012
B15002_3_no_schooling_completed,881,2208,678,252,1154,1026,1648,1324,8310,1645,339,2008-2012
B15002_4_nursery_to_4th_grade,416,1240,183,141,181,673,569,396,3739,1001,115,2008-2012
B15002_5_5th_and_6th_grade,948,1638,360,92,777,1699,971,1524,6486,1474,232,2008-2012
B15002_6_7th_and_8th_grade,1625,2567,1295,443,1907,1872,1626,2486,10241,2590,790,2008-2012
B15002_7_9th_grade,1613,3014,1056,388,1808,1380,1362,1889,10266,2744,696,2008-2012
B15002_8_10th_grade,2609,4144,1776,676,3171,2082,2872,3729,17050,3790,1094,2008-2012
B15002_9_11th_grade,2361,4144,1966,703,2994,1913,3092,3867,20495,3910,910,2008-2012
"B15002_10_12th_grade,_no_diploma",2503,2866,1553,475,2792,1752,2707,3034,13979,2397,482,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",42767,50662,30919,8563,64731,36641,52875,65569,156851,49280,12083,2008-2012
