index,24009,24017,24021,24031,24033,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv,2008-2012
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2008-2012
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,2008-2012
LOGRECNO,0000016,0000020,0000022,0000027,0000028,0000006,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031,2008-2012
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2008-2012
STATE_FIPS,24,24,24,24,24,11,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54,2008-2012
GEO_ID,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US11001,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037,2008-2012
GEO_NAME,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","District of Columbia, District of Columbia","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia",2008-2012
B01003_1_total,88774,147107,234268,974824,865443,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545,2008-2012
B01001_1_total,88774,147107,234268,974824,865443,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545,2008-2012
B01001_2_male,43769,71061,115246,468237,415176,286427,104287,7009,23600,535616,32357,155549,200718,3644,60278,65063,18615,67565,11146,5857,11662,18942,7082,26593,2008-2012
B01001_3_under_5_years,2554,4793,7660,32799,30185,17665,6145,408,1597,37327,2076,14046,16954,177,4192,4458,1198,5140,772,416,977,1653,688,1817,2008-2012
B01001_4_5_to_9_years,3341,5513,8475,32195,27163,13468,4499,402,1859,36433,2434,14465,17101,124,4618,4666,1115,3109,548,468,895,1371,480,1906,2008-2012
B01001_5_10_to_14_years,3542,5567,8655,32861,29005,12862,3973,471,1522,37416,2378,12878,15803,276,5234,5926,1391,2386,679,382,505,1604,586,1911,2008-2012
B01001_6_15_to_17_years,2396,3804,5483,20857,18747,8493,2237,296,941,23011,1558,6945,9353,128,3412,3669,768,1514,347,235,372,791,253,951,2008-2012
B01001_7_18_and_19_years,1335,2025,3241,10911,15645,11074,1589,109,618,12822,767,3159,5300,71,1647,1941,544,915,366,39,500,514,187,968,2008-2012
B01001_8_20_years,462,880,1280,5002,8335,6212,1087,44,310,5500,326,1298,3271,31,996,930,212,427,256,93,623,454,161,280,2008-2012
B01001_9_21_years,457,1012,1426,5212,8499,4944,754,83,308,5907,413,1017,2761,33,896,1058,171,223,224,29,306,296,0,444,2008-2012
B01001_10_22_to_24_years,1568,2741,4207,17078,19628,15919,5997,223,814,19813,915,4494,7046,132,1786,3154,717,3089,467,353,691,761,430,903,2008-2012
