index,12011,12086,12099,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2012-2016
STATE,fl,fl,fl,2012-2016
CHARITER,000,000,000,2012-2016
SEQUENCE,0003,0003,0003,2012-2016
LOGRECNO,0000018,0000055,0000062,2012-2016
SUMMARY_LEVEL,050,050,050,2012-2016
STATE_FIPS,12,12,12,2012-2016
GEO_ID,05000US12011,05000US12086,05000US12099,2012-2016
GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida",2012-2016
B01003_1_total,1863780,2664418,1398757,2012-2016
B01001_1_total,1863780,2664418,1398757,2012-2016
B01001_2_male,906235,1292784,676486,2012-2016
B01001_3_under_5_years,55405,78782,36808,2012-2016
B01001_4_5_to_9_years,57294,76509,38339,2012-2016
B01001_5_10_to_14_years,55992,77037,39891,2012-2016
B01001_6_15_to_17_years,36258,47845,25102,2012-2016
B01001_7_18_and_19_years,21907,32379,15760,2012-2016
B01001_8_20_years,11879,18723,8228,2012-2016
B01001_9_21_years,11568,17761,7578,2012-2016
B01001_10_22_to_24_years,34907,55624,25159,2012-2016
B01001_11_25_to_29_years,61859,97980,42571,2012-2016
B01001_12_30_to_34_years,61294,92581,40062,2012-2016
B01001_13_35_to_39_years,60673,91339,39280,2012-2016
B01001_14_40_to_44_years,61312,97448,41446,2012-2016
B01001_15_45_to_49_years,66922,99405,44907,2012-2016
B01001_16_50_to_54_years,70589,95812,48212,2012-2016
B01001_17_55_to_59_years,63561,78262,43878,2012-2016
B01001_18_60_and_61_years,21938,28177,16326,2012-2016
B01001_19_62_to_64_years,28677,37938,23598,2012-2016
B01001_20_65_and_66_years,17824,22406,15689,2012-2016
B01001_21_67_to_69_years,24615,30228,22009,2012-2016
B01001_22_70_to_74_years,29860,43148,30953,2012-2016
B01001_23_75_to_79_years,20807,31734,26706,2012-2016
B01001_24_80_to_84_years,15859,21933,20993,2012-2016
B01001_25_85_years_and_over,15235,19733,22991,2012-2016
B01001_26_female,957545,1371634,722271,2012-2016
B01001_27_under_5_years,53474,76075,35408,2012-2016
B01001_28_5_to_9_years,52368,73720,37357,2012-2016
B01001_29_10_to_14_years,56974,72997,37961,2012-2016
B01001_30_15_to_17_years,34783,46025,23864,2012-2016
B01001_31_18_and_19_years,20060,30753,14915,2012-2016
B01001_32_20_years,10882,19219,7982,2012-2016
B01001_33_21_years,10713,18290,7888,2012-2016
B01001_34_22_to_24_years,34965,53066,23136,2012-2016
B01001_35_25_to_29_years,62756,95507,40559,2012-2016
B01001_36_30_to_34_years,64116,91947,39619,2012-2016
B01001_37_35_to_39_years,60798,92820,40607,2012-2016
B01001_38_40_to_44_years,68318,96750,42259,2012-2016
B01001_39_45_to_49_years,70138,100523,47580,2012-2016
B01001_40_50_to_54_years,72415,101004,50828,2012-2016
B01001_41_55_to_59_years,64443,86767,49130,2012-2016
B01001_42_60_and_61_years,23754,33277,18494,2012-2016
B01001_43_62_to_64_years,34290,45940,25957,2012-2016
B01001_44_65_and_66_years,20231,28372,20004,2012-2016
B01001_45_67_to_69_years,27412,37066,26186,2012-2016
B01001_46_70_to_74_years,35479,54914,38319,2012-2016
B01001_47_75_to_79_years,28522,42066,32308,2012-2016
B01001_48_80_to_84_years,21754,35697,27912,2012-2016
B01001_49_85_years_and_over,28900,38839,33998,2012-2016
B02001_1_total,1863780,2664418,1398757,2012-2016
B02001_2_white_alone,1153566,2015422,1042509,2012-2016
B02001_3_black_or_african_american_alone,525216,489030,255606,2012-2016
B02001_4_american_indian_and_alaska_native_alone,4636,3485,2087,2012-2016
B02001_5_asian_alone,65574,42007,35653,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,1029,734,539,2012-2016
B02001_7_some_other_race_alone,57775,74835,32010,2012-2016
B02001_8_two_or_more_races,55984,38905,30353,2012-2016
B02001_9_two_races_including_some_other_race,11913,11705,5679,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",44071,27200,24674,2012-2016
B11001_1_total,672988,853624,538549,2012-2016
B11001_2_family_households,430122,581051,336708,2012-2016
B11001_3_married-couple_family,291438,369169,246415,2012-2016
B11001_4_other_family,138684,211882,90293,2012-2016
"B11001_5_male_householder,_no_wife_present",33744,56260,25524,2012-2016
"B11001_6_female_householder,_no_husband_present",104940,155622,64769,2012-2016
B11001_7_nonfamily_households,242866,272573,201841,2012-2016
B11001_8_householder_living_alone,195897,225303,166496,2012-2016
B11001_9_householder_not_living_alone,46969,47270,35345,2012-2016
B15002_1_total,1304351,1869613,1013381,2012-2016
B15002_2_male,621025,888124,479621,2012-2016
B15002_3_no_schooling_completed,9529,18131,8388,2012-2016
B15002_4_nursery_to_4th_grade,4168,13205,6022,2012-2016
B15002_5_5th_and_6th_grade,9395,31876,9374,2012-2016
B15002_6_7th_and_8th_grade,8797,22075,7484,2012-2016
B15002_7_9th_grade,7139,22450,6312,2012-2016
B15002_8_10th_grade,10035,15947,7997,2012-2016
B15002_9_11th_grade,11512,16359,9203,2012-2016
"B15002_10_12th_grade,_no_diploma",14419,30068,9716,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),167800,259683,115807,2012-2016
"B15002_12_some_college,_less_than_1_year",33144,36783,25378,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",92902,104501,65203,2012-2016
B15002_14_associate's_degree,57019,74285,36152,2012-2016
B15002_15_bachelor's_degree,124729,151545,106448,2012-2016
B15002_16_master's_degree,43424,51492,36490,2012-2016
B15002_17_professional_school_degree,18723,28244,20771,2012-2016
B15002_18_doctorate_degree,8290,11480,8876,2012-2016
B15002_19_female,683326,981489,533760,2012-2016
B15002_20_no_schooling_completed,11961,24776,8630,2012-2016
B15002_21_nursery_to_4th_grade,3654,18350,4483,2012-2016
B15002_22_5th_and_6th_grade,9838,42171,7737,2012-2016
B15002_23_7th_and_8th_grade,9312,24269,7193,2012-2016
B15002_24_9th_grade,7793,22068,5475,2012-2016
B15002_25_10th_grade,9703,14023,6134,2012-2016
B15002_26_11th_grade,11375,15285,8151,2012-2016
"B15002_27_12th_grade,_no_diploma",13832,31199,9863,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),188251,270530,138680,2012-2016
"B15002_29_some_college,_less_than_1_year",39972,40677,33053,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",95389,117315,77407,2012-2016
B15002_31_associate's_degree,72858,93526,53076,2012-2016
B15002_32_bachelor's_degree,135115,174021,111135,2012-2016
B15002_33_master's_degree,55411,62247,47041,2012-2016
B15002_34_professional_school_degree,12782,21257,10234,2012-2016
B15002_35_doctorate_degree,6080,9775,5468,2012-2016
