index,34005,34007,34015,34033,42017,42029,42045,42091,42101,24015,estimate_year
B01001_10_22_to_24_years,10407,10124,5612,1270,11461,9875,10970,14693,36735,1952,2013-2017
B01001_11_25_to_29_years,14631,17733,9236,1865,17223,14931,18013,24820,76204,3108,2013-2017
B01001_12_30_to_34_years,13521,17000,8439,1717,17382,14764,17374,26520,62478,2949,2013-2017
B01001_13_35_to_39_years,13431,15561,8142,1793,16713,14862,16151,25239,49704,2663,2013-2017
B01001_14_40_to_44_years,14117,15885,9524,1916,19651,16869,16014,25495,42143,3712,2013-2017
B01001_15_45_to_49_years,16116,16771,10205,2079,22446,18278,17785,28252,44155,3483,2013-2017
B01001_16_50_to_54_years,17789,17720,11233,2375,25685,19787,19541,29957,45370,4195,2013-2017
B01001_17_55_to_59_years,17048,17948,10508,2314,25468,18517,18830,29309,44371,4147,2013-2017
B01001_18_60_and_61_years,5699,6230,4203,836,9003,7429,7643,10809,16544,1209,2013-2017
B01001_19_62_to_64_years,7333,7650,4381,1404,12589,8670,10044,14531,20992,1737,2013-2017
B01001_1_total,449192,510996,291372,63776,626486,514652,563384,818677,1569657,102416,2013-2017
B01001_20_65_and_66_years,4703,4732,2724,742,7023,5530,5593,8522,12667,1305,2013-2017
B01001_21_67_to_69_years,5831,6200,4506,876,9729,7061,7060,11323,16179,1298,2013-2017
B01001_22_70_to_74_years,7704,8163,4381,1323,11779,8542,8284,13941,19560,1945,2013-2017
B01001_23_75_to_79_years,4878,5373,3007,853,8196,5788,6069,9588,14026,1152,2013-2017
B01001_24_80_to_84_years,4107,3388,1869,533,5480,3734,4544,7263,9533,638,2013-2017
B01001_25_85_years_and_over,3397,3559,1703,483,5209,3776,4596,7698,8567,580,2013-2017
B01001_26_female,228197,264054,149783,32671,319167,261143,292609,420687,827245,51538,2013-2017
B01001_27_under_5_years,11446,15487,7803,1755,15150,14226,16503,22342,52840,2872,2013-2017
B01001_28_5_to_9_years,13273,15935,9103,1980,18334,16294,15859,24761,46619,3331,2013-2017
B01001_29_10_to_14_years,13891,16179,9411,1911,18637,17557,18081,24859,43920,3237,2013-2017
B01001_2_male,220995,246942,141589,31105,307319,253509,270775,397990,742412,50878,2013-2017
B01001_30_15_to_17_years,8800,10102,6027,1210,12527,10540,10682,15669,26454,2150,2013-2017
B01001_31_18_and_19_years,4625,5537,3404,631,6776,7596,8915,9785,23450,1092,2013-2017
B01001_32_20_years,2539,2735,1952,329,3194,3358,4259,4663,12506,559,2013-2017
B01001_33_21_years,2495,3155,2072,251,3274,3651,3604,4237,13852,623,2013-2017
B01001_34_22_to_24_years,7938,10515,5451,1383,11205,8873,11973,14510,38101,1826,2013-2017
B01001_35_25_to_29_years,12916,17517,8703,1871,16539,14044,18368,24311,82138,3270,2013-2017
B01001_36_30_to_34_years,13463,17585,8889,1814,17453,14674,18255,26123,67053,3172,2013-2017
B01001_37_35_to_39_years,13364,16928,9734,1802,18009,14697,17069,24697,53595,3111,2013-2017
B01001_38_40_to_44_years,14835,16429,9602,2023,19436,17430,17343,26812,46662,3127,2013-2017
B01001_39_45_to_49_years,16814,18230,11219,2178,23614,19004,19124,29326,48698,3838,2013-2017
B01001_3_under_5_years,11830,16200,8101,1776,15526,14739,17218,23436,54896,2924,2013-2017
B01001_40_50_to_54_years,18862,19486,11722,2543,26679,20461,21280,31902,50852,4209,2013-2017
B01001_41_55_to_59_years,18058,19159,10632,2400,25539,19857,21296,30331,51225,3916,2013-2017
B01001_42_60_and_61_years,6309,6618,3972,914,10050,6743,8087,11856,19747,1615,2013-2017
B01001_43_62_to_64_years,7721,9376,6132,1486,12827,9522,11135,16517,27058,1760,2013-2017
B01001_44_65_and_66_years,5436,5782,3254,685,8003,5969,6431,9354,16098,1193,2013-2017
B01001_45_67_to_69_years,7100,7121,4180,1159,10115,7710,8765,12812,22099,1605,2013-2017
B01001_46_70_to_74_years,9001,10194,5895,1369,13490,9661,10302,17029,26849,1799,2013-2017
