index,06037,06059,estimate_year
FILEID,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2009-2013
STATE,ca,ca,2009-2013
CHARITER,000,000,2009-2013
SEQUENCE,0003,0003,2009-2013
LOGRECNO,0000031,0000042,2009-2013
SUMMARY_LEVEL,050,050,2009-2013
STATE_FIPS,06,06,2009-2013
GEO_ID,05000US06037,05000US06059,2009-2013
GEO_NAME,"Los Angeles County, California","Orange County, California",2009-2013
B01003_1_total,9893481,3051771,2009-2013
B01001_1_total,9893481,3051771,2009-2013
B01001_2_male,4878648,1509674,2009-2013
B01001_3_under_5_years,330393,98485,2009-2013
B01001_4_5_to_9_years,322503,103070,2009-2013
B01001_5_10_to_14_years,338504,105273,2009-2013
B01001_6_15_to_17_years,221058,68403,2009-2013
B01001_7_18_and_19_years,151679,45329,2009-2013
B01001_8_20_years,81026,25096,2009-2013
B01001_9_21_years,82119,23129,2009-2013
B01001_10_22_to_24_years,228494,65750,2009-2013
B01001_11_25_to_29_years,395250,112860,2009-2013
B01001_12_30_to_34_years,367762,103302,2009-2013
B01001_13_35_to_39_years,350267,104386,2009-2013
B01001_14_40_to_44_years,359317,110839,2009-2013
B01001_15_45_to_49_years,347569,113643,2009-2013
B01001_16_50_to_54_years,327644,108354,2009-2013
B01001_17_55_to_59_years,278313,90471,2009-2013
B01001_18_60_and_61_years,96989,30426,2009-2013
B01001_19_62_to_64_years,125109,40989,2009-2013
B01001_20_65_and_66_years,72584,24391,2009-2013
B01001_21_67_to_69_years,86514,28369,2009-2013
B01001_22_70_to_74_years,113578,39842,2009-2013
B01001_23_75_to_79_years,84902,28429,2009-2013
B01001_24_80_to_84_years,62268,20370,2009-2013
B01001_25_85_years_and_over,54806,18468,2009-2013
B01001_26_female,5014833,1542097,2009-2013
B01001_27_under_5_years,315787,93683,2009-2013
B01001_28_5_to_9_years,308420,96222,2009-2013
B01001_29_10_to_14_years,323821,102732,2009-2013
B01001_30_15_to_17_years,210986,64973,2009-2013
B01001_31_18_and_19_years,145650,42742,2009-2013
B01001_32_20_years,79221,22955,2009-2013
B01001_33_21_years,76552,22707,2009-2013
B01001_34_22_to_24_years,220496,62414,2009-2013
B01001_35_25_to_29_years,378214,105274,2009-2013
B01001_36_30_to_34_years,360225,100653,2009-2013
B01001_37_35_to_39_years,352329,104480,2009-2013
B01001_38_40_to_44_years,360669,115954,2009-2013
B01001_39_45_to_49_years,353651,115512,2009-2013
B01001_40_50_to_54_years,341271,110325,2009-2013
B01001_41_55_to_59_years,299350,93879,2009-2013
B01001_42_60_and_61_years,108235,34000,2009-2013
B01001_43_62_to_64_years,143586,46084,2009-2013
B01001_44_65_and_66_years,83033,27606,2009-2013
B01001_45_67_to_69_years,102702,32716,2009-2013
B01001_46_70_to_74_years,142209,46849,2009-2013
B01001_47_75_to_79_years,110498,35675,2009-2013
B01001_48_80_to_84_years,93045,30236,2009-2013
B01001_49_85_years_and_over,104883,34426,2009-2013
B02001_1_total,9893481,3051771,2009-2013
B02001_2_white_alone,5277461,1912743,2009-2013
B02001_3_black_or_african_american_alone,833477,49836,2009-2013
B02001_4_american_indian_and_alaska_native_alone,51849,11660,2009-2013
B02001_5_asian_alone,1372726,559584,2009-2013
B02001_6_native_hawaiian_and_other_pacific_islander_alone,26132,10099,2009-2013
B02001_7_some_other_race_alone,1963358,405157,2009-2013
B02001_8_two_or_more_races,368478,102692,2009-2013
B02001_9_two_races_including_some_other_race,108305,23592,2009-2013
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",260173,79100,2009-2013
B11001_1_total,3230383,995512,2009-2013
B11001_2_family_households,2170631,712753,2009-2013
B11001_3_married-couple_family,1445559,540108,2009-2013
B11001_4_other_family,725072,172645,2009-2013
"B11001_5_male_householder,_no_wife_present",219788,54138,2009-2013
"B11001_6_female_householder,_no_husband_present",505284,118507,2009-2013
B11001_7_nonfamily_households,1059752,282759,2009-2013
B11001_8_householder_living_alone,827351,215312,2009-2013
B11001_9_householder_not_living_alone,232401,67447,2009-2013
B15002_1_total,6456772,2008808,2009-2013
B15002_2_male,3122872,975139,2009-2013
B15002_3_no_schooling_completed,88039,18659,2009-2013
B15002_4_nursery_to_4th_grade,74422,12901,2009-2013
B15002_5_5th_and_6th_grade,176047,35400,2009-2013
B15002_6_7th_and_8th_grade,71490,14654,2009-2013
B15002_7_9th_grade,89784,22420,2009-2013
B15002_8_10th_grade,52406,11180,2009-2013
B15002_9_11th_grade,76911,14594,2009-2013
"B15002_10_12th_grade,_no_diploma",101828,25376,2009-2013
B15002_11_high_school_graduate_(includes_equivalency),651073,169537,2009-2013
"B15002_12_some_college,_less_than_1_year",136536,47602,2009-2013
"B15002_13_some_college,_1_or_more_years,_no_degree",469913,156749,2009-2013
B15002_14_associate's_degree,195644,68679,2009-2013
B15002_15_bachelor's_degree,603732,238528,2009-2013
B15002_16_master's_degree,199119,86955,2009-2013
B15002_17_professional_school_degree,88928,32949,2009-2013
B15002_18_doctorate_degree,47000,18956,2009-2013
B15002_19_female,3333900,1033669,2009-2013
B15002_20_no_schooling_completed,111535,22797,2009-2013
B15002_21_nursery_to_4th_grade,90696,16234,2009-2013
B15002_22_5th_and_6th_grade,192770,39299,2009-2013
B15002_23_7th_and_8th_grade,76734,16093,2009-2013
B15002_24_9th_grade,91164,22672,2009-2013
B15002_25_10th_grade,53231,13926,2009-2013
B15002_26_11th_grade,73338,15027,2009-2013
"B15002_27_12th_grade,_no_diploma",89942,23950,2009-2013
B15002_28_high_school_graduate_(includes_equivalency),672647,191939,2009-2013
"B15002_29_some_college,_less_than_1_year",156873,59676,2009-2013
"B15002_30_some_college,_1_or_more_years,_no_degree",499819,163249,2009-2013
B15002_31_associate's_degree,247650,87344,2009-2013
B15002_32_bachelor's_degree,651055,241576,2009-2013
B15002_33_master's_degree,228092,86335,2009-2013
B15002_34_professional_school_degree,64041,22781,2009-2013
B15002_35_doctorate_degree,34313,10771,2009-2013
B19001_1_total,3230383,995512,2009-2013
"B19001_2_less_than_$10,000",209050,42554,2009-2013
"B19001_3_$10,000_to_$14,999",190300,34341,2009-2013
"B19001_4_$15,000_to_$19,999",173380,35385,2009-2013
"B19001_5_$20,000_to_$24,999",167740,37305,2009-2013
"B19001_6_$25,000_to_$29,999",154347,36525,2009-2013
"B19001_7_$30,000_to_$34,999",155834,37720,2009-2013
"B19001_8_$35,000_to_$39,999",143103,35848,2009-2013
"B19001_9_$40,000_to_$44,999",140946,36014,2009-2013
"B19001_10_$45,000_to_$49,999",126807,36101,2009-2013
"B19001_11_$50,000_to_$59,999",241482,70537,2009-2013
"B19001_12_$60,000_to_$74,999",303887,92733,2009-2013
"B19001_13_$75,000_to_$99,999",384881,132255,2009-2013
"B19001_14_$100,000_to_$124,999",268689,104158,2009-2013
"B19001_15_$125,000_to_$149,999",169129,74144,2009-2013
"B19001_16_$150,000_to_$199,999",189195,87957,2009-2013
"B19001_17_$200,000_or_more",211613,101935,2009-2013
B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),55909,75422,2009-2013
B25001_1_total,3452901,1052959,2009-2013
B25003_1_total,3230383,995512,2009-2013
B25003_2_owner_occupied,1515098,584250,2009-2013
B25003_3_renter_occupied,1715285,411262,2009-2013
B25024_1_total,3452901,1052959,2009-2013
"B25024_2_1,_detached",1716738,533999,2009-2013
"B25024_3_1,_attached",225422,128078,2009-2013
B25024_4_2,83404,18724,2009-2013
B25024_5_3_or_4,194967,74897,2009-2013
B25024_6_5_to_9,272086,69721,2009-2013
B25024_7_10_to_19,267831,61937,2009-2013
B25024_8_20_to_49,312143,44832,2009-2013
B25024_9_50_or_more,325329,90085,2009-2013
B25024_10_mobile_home,52952,29913,2009-2013
"B25024_11_boat,_rv,_van,_etc.",2029,773,2009-2013
B25077_1_median_value_(dollars),420200,519600,2009-2013
B25034_1_total,3452901,1052959,2009-2013
B25034_2_built_2010_or_later,9769,4794,2009-2013
B25034_3_built_2000_to_2009,204683,97863,2009-2013
B25034_4_built_1990_to_1999,213866,121320,2009-2013
B25034_5_built_1980_to_1989,404099,165299,2009-2013
B25034_6_built_1970_to_1979,488155,261503,2009-2013
B25034_7_built_1960_to_1969,515735,209821,2009-2013
B25034_8_built_1950_to_1959,716049,140743,2009-2013
B25034_9_built_1940_to_1949,380777,24666,2009-2013
B25034_10_built_1939_or_earlier,519768,26950,2009-2013
B25127_1_total,3230383,995512,2009-2013
B25127_2_owner_occupied,1515098,584250,2009-2013
B25127_3_built_2000_or_later,89892,53470,2009-2013
"B25127_4_1,_detached__or_attached",71856,47170,2009-2013
B25127_5_2_to_4,1388,677,2009-2013
B25127_6_5_to_19,3907,889,2009-2013
B25127_7_20_to_49,2997,204,2009-2013
B25127_8_50_or_more,5044,992,2009-2013
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",4700,3538,2009-2013
B25127_10_built_1980_to_1999,255058,158806,2009-2013
"B25127_11_1,_detached__or_attached",197692,136472,2009-2013
B25127_12_2_to_4,7237,4394,2009-2013
B25127_13_5_to_19,18803,8427,2009-2013
B25127_14_20_to_49,10529,1152,2009-2013
B25127_15_50_or_more,10807,1745,2009-2013
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",9990,6616,2009-2013
B25127_17_built_1960_to_1979,375719,260618,2009-2013
"B25127_18_1,_detached__or_attached",304449,227863,2009-2013
B25127_19_2_to_4,7248,7010,2009-2013
B25127_20_5_to_19,15792,9744,2009-2013
B25127_21_20_to_49,13301,1709,2009-2013
B25127_22_50_or_more,16291,3000,2009-2013
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",18638,11292,2009-2013
B25127_24_built_1940_to_1959,578320,98643,2009-2013
"B25127_25_1,_detached__or_attached",563002,95655,2009-2013
B25127_26_2_to_4,6619,933,2009-2013
B25127_27_5_to_19,2868,1098,2009-2013
B25127_28_20_to_49,1785,189,2009-2013
B25127_29_50_or_more,1576,177,2009-2013
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",2470,591,2009-2013
B25127_31_built_1939_or_earlier,216109,12713,2009-2013
"B25127_32_1,_detached__or_attached",205319,12042,2009-2013
B25127_33_2_to_4,7442,360,2009-2013
B25127_34_5_to_19,804,88,2009-2013
B25127_35_20_to_49,434,44,2009-2013
B25127_36_50_or_more,1689,72,2009-2013
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",421,107,2009-2013
B25127_38_renter_occupied,1715285,411262,2009-2013
B25127_39_built_2000_or_later,104194,41769,2009-2013
"B25127_40_1,_detached__or_attached",21080,7823,2009-2013
B25127_41_2_to_4,7774,2741,2009-2013
B25127_42_5_to_19,16147,9048,2009-2013
B25127_43_20_to_49,16412,5211,2009-2013
B25127_44_50_or_more,41170,16423,2009-2013
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",1611,523,2009-2013
B25127_46_built_1980_to_1999,323033,111945,2009-2013
"B25127_47_1,_detached__or_attached",62800,26110,2009-2013
B25127_48_2_to_4,35883,16974,2009-2013
B25127_49_5_to_19,92287,31095,2009-2013
B25127_50_20_to_49,58731,10951,2009-2013
B25127_51_50_or_more,69575,25142,2009-2013
