index,06037,06059,estimate_year
FILEID,ACSSF,ACSSF,2005-2009
FILETYPE,2009e5,2009e5,2005-2009
STATE,ca,ca,2005-2009
CHARITER,000,000,2005-2009
SEQUENCE,0011,0011,2005-2009
LOGRECNO,0000031,0000042,2005-2009
SUMMARY_LEVEL,050,050,2005-2009
STATE_FIPS,06,06,2005-2009
GEO_ID,05000US06037,05000US06059,2005-2009
GEO_NAME,"Los Angeles County, California","Orange County, California",2005-2009
B01003_1_total,9785295,2976831,2005-2009
B01001_1_total,9785295,2976831,2005-2009
B01001_2_male,4850087,1488489,2005-2009
B01001_3_under_5_years,373041,111051,2005-2009
B01001_4_5_to_9_years,337677,102680,2005-2009
B01001_5_10_to_14_years,369854,109030,2005-2009
B01001_6_15_to_17_years,224760,66122,2005-2009
B01001_7_18_and_19_years,140945,39651,2005-2009
B01001_8_20_years,75211,20723,2005-2009
B01001_9_21_years,74843,19928,2005-2009
B01001_10_22_to_24_years,205798,63001,2005-2009
B01001_11_25_to_29_years,412655,118813,2005-2009
B01001_12_30_to_34_years,384047,108672,2005-2009
B01001_13_35_to_39_years,379546,116115,2005-2009
B01001_14_40_to_44_years,371137,118383,2005-2009
B01001_15_45_to_49_years,350486,115252,2005-2009
B01001_16_50_to_54_years,302420,98146,2005-2009
B01001_17_55_to_59_years,243211,80021,2005-2009
B01001_18_60_and_61_years,81652,27496,2005-2009
B01001_19_62_to_64_years,100945,33132,2005-2009
B01001_20_65_and_66_years,59481,20285,2005-2009
B01001_21_67_to_69_years,73121,24342,2005-2009
B01001_22_70_to_74_years,102226,34860,2005-2009
B01001_23_75_to_79_years,81029,26907,2005-2009
B01001_24_80_to_84_years,60503,19383,2005-2009
B01001_25_85_years_and_over,45499,14496,2005-2009
B01001_26_female,4935208,1488342,2005-2009
B01001_27_under_5_years,356100,105299,2005-2009
B01001_28_5_to_9_years,323216,99012,2005-2009
B01001_29_10_to_14_years,351150,102121,2005-2009
B01001_30_15_to_17_years,214799,62419,2005-2009
B01001_31_18_and_19_years,135090,36794,2005-2009
B01001_32_20_years,71199,20616,2005-2009
B01001_33_21_years,67695,20116,2005-2009
B01001_34_22_to_24_years,196929,55873,2005-2009
