index,24009,24017,24021,24031,24033,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2005-2009
FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2005-2009
STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv,2005-2009
CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,2005-2009
SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,2005-2009
LOGRECNO,0000016,0000020,0000022,0000027,0000028,0000007,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031,2005-2009
SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,2005-2009
STATE_FIPS,24,24,24,24,24,11,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54,2005-2009
GEO_ID,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US11001,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037,2005-2009
GEO_NAME,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland",District of Columbia,"Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia",2005-2009
B01003_1_total,88055,140181,224185,946172,834986,588433,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791,2005-2009
B01001_1_total,88055,140181,224185,946172,834986,588433,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791,2005-2009
B01001_2_male,43395,68091,110671,457236,401752,277522,103976,7069,22740,502046,33208,138111,180572,3506,58479,60450,17686,68517,11283,5390,9998,18021,5824,25336,2005-2009
B01001_3_under_5_years,2653,4867,8012,34996,30816,18337,6762,350,1680,38103,2316,13545,16687,190,4391,4338,1213,5574,659,354,857,1699,670,1725,2005-2009
B01001_4_5_to_9_years,3044,5858,8064,31824,27897,14426,4217,287,1836,35139,2347,12140,15270,233,5158,4931,941,3066,635,371,714,1342,462,1689,2005-2009
