index,25009,25017,25021,25023,25025,33015,33017,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2009-2013
STATE,ma,ma,ma,ma,ma,nh,nh,2009-2013
CHARITER,000,000,000,000,000,000,000,2009-2013
SEQUENCE,0003,0003,0003,0003,0003,0003,0003,2009-2013
LOGRECNO,0000017,0000021,0000023,0000024,0000025,0000020,0000021,2009-2013
SUMMARY_LEVEL,050,050,050,050,050,050,050,2009-2013
STATE_FIPS,25,25,25,25,25,33,33,2009-2013
GEO_ID,05000US25009,05000US25017,05000US25021,05000US25023,05000US25025,05000US33015,05000US33017,2009-2013
GEO_NAME,"Essex County, Massachusetts","Middlesex County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Rockingham County, New Hampshire","Strafford County, New Hampshire",2009-2013
B01003_1_total,750808,1522533,677296,497386,735701,296718,123836,2009-2013
B01001_1_total,750808,1522533,677296,497386,735701,296718,123836,2009-2013
B01001_2_male,360954,741322,324460,241938,354883,146636,60366,2009-2013
B01001_3_under_5_years,22332,44081,19042,14308,21031,7313,3607,2009-2013
B01001_4_5_to_9_years,24078,45617,21055,17398,17116,8834,3557,2009-2013
B01001_5_10_to_14_years,25001,44904,23229,17502,16480,10512,3628,2009-2013
B01001_6_15_to_17_years,16164,29022,14013,11219,10622,6752,2239,2009-2013
B01001_7_18_and_19_years,10521,22573,8433,6609,15286,3547,2876,2009-2013
B01001_8_20_years,4950,10869,4088,2836,9924,1393,1579,2009-2013
B01001_9_21_years,5186,9737,3600,2879,9332,1424,1628,2009-2013
B01001_10_22_to_24_years,13489,30479,10932,8669,24374,5401,2862,2009-2013
B01001_11_25_to_29_years,21812,58223,19967,12436,43523,7920,3952,2009-2013
B01001_12_30_to_34_years,20585,54014,19286,12319,32864,7466,3514,2009-2013
B01001_13_35_to_39_years,20720,48702,20985,14269,23932,8158,3474,2009-2013
B01001_14_40_to_44_years,26248,55552,23511,18048,23228,11845,4168,2009-2013
B01001_15_45_to_49_years,28679,57851,26731,20181,21854,13427,4665,2009-2013
B01001_16_50_to_54_years,29026,55995,26147,19715,20393,13688,4681,2009-2013
B01001_17_55_to_59_years,25441,49044,23219,17089,17997,11628,4229,2009-2013
B01001_18_60_and_61_years,9375,16641,7710,6296,6234,3960,1289,2009-2013
B01001_19_62_to_64_years,11962,22465,10841,9033,8644,5505,1744,2009-2013
B01001_20_65_and_66_years,7422,12820,6281,5340,4441,3529,1180,2009-2013
B01001_21_67_to_69_years,8225,15225,7609,6301,6164,3250,1279,2009-2013
B01001_22_70_to_74_years,10126,20013,9155,7293,7989,4261,1465,2009-2013
B01001_23_75_to_79_years,8154,15859,7211,5359,5749,3092,1194,2009-2013
