06037,06059,10003,11001,12011,12086,12099,13013,13015,13035,13045,13057,13063,13067,13077,13085,13089,13097,13113,13117,13121,13135,13143,13149,13151,13159,13171,13199,13211,13217,13223,13227,13231,13247,13255,13297,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,24009,24015,24017,24021,24031,24033,25009,25017,25021,25023,25025,33015,33017,34003,34005,34007,34013,34015,34017,34019,34023,34025,34027,34029,34031,34033,34035,34037,34039,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36119,42017,42029,42045,42091,42101,42103,48015,48039,48071,48085,48113,48121,48139,48157,48167,48201,48221,48231,48251,48257,48291,48339,48367,48397,48425,48439,48473,48497,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,55059,MSA,estimate_year,index
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACSSF,,,ACSSF,,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,,,,,,ACSSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,FILEID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017e5,,,2017e5,,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,,,,,,2017e5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,FILETYPE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nj,,,nj,,nj,nj,nj,nj,nj,nj,nj,,nj,nj,nj,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,,,,,,pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,STATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,,,000,,000,000,000,000,000,000,000,,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,,,,,,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,CHARITER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003,,,0003,,0003,0003,0003,0003,0003,0003,0003,,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,,,,,,0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,SEQUENCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000009,,,0000014,,0000016,0000017,0000019,0000020,0000021,0000022,0000023,,0000025,0000026,0000027,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,,,,,,0000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,LOGRECNO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,,,050,,050,050,050,050,050,050,050,,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,,,,,,050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,SUMMARY_LEVEL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,34,,34,34,34,34,34,34,34,,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,STATE_FIPS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US34003,,,05000US34013,,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,,05000US34035,05000US34037,05000US34039,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,,,,,,05000US42103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,GEO_ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bergen County, New Jersey",,,"Essex County, New Jersey",,"Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey",,"Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York",,,,,,"Pike County, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,GEO_NAME
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937920,,,800401,,679756,125717,837288,627551,498847,589699,510563,,333316,143570,557320,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,,,,,,55687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01003_1_total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937920,,,800401,,679756,125717,837288,627551,498847,589699,510563,,333316,143570,557320,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,,,,,,55687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35620.0,2013-2017,B01001_1_total
