estimate_year,index,CA_037,CA_059,MSA
2005-2009,FILEID,ACSSF,ACSSF,31080.0
2005-2009,FILETYPE,2009e5,2009e5,31080.0
2005-2009,STATE,ca,ca,31080.0
2005-2009,CHARITER,000,000,31080.0
2005-2009,SEQUENCE,0011,0011,31080.0
2005-2009,LOGRECNO,0000031,0000042,31080.0
2005-2009,SUMMARY_LEVEL,050,050,31080.0
2005-2009,STATE_FIPS,06,06,31080.0
2005-2009,GEO_ID,05000US06037,05000US06059,31080.0
2005-2009,GEO_NAME,"Los Angeles County, California","Orange County, California",31080.0
2005-2009,B01003_1_total,9785295,2976831,31080.0
2005-2009,B01001_1_total,9785295,2976831,31080.0
2005-2009,B01001_2_male,4850087,1488489,31080.0
2005-2009,B01001_3_under_5_years,373041,111051,31080.0
2005-2009,B01001_4_5_to_9_years,337677,102680,31080.0
2005-2009,B01001_5_10_to_14_years,369854,109030,31080.0
2005-2009,B01001_6_15_to_17_years,224760,66122,31080.0
2005-2009,B01001_7_18_and_19_years,140945,39651,31080.0
2005-2009,B01001_8_20_years,75211,20723,31080.0
2005-2009,B01001_9_21_years,74843,19928,31080.0
2005-2009,B01001_10_22_to_24_years,205798,63001,31080.0
2005-2009,B01001_11_25_to_29_years,412655,118813,31080.0
2005-2009,B01001_12_30_to_34_years,384047,108672,31080.0
2005-2009,B01001_13_35_to_39_years,379546,116115,31080.0
2005-2009,B01001_14_40_to_44_years,371137,118383,31080.0
2005-2009,B01001_15_45_to_49_years,350486,115252,31080.0
2005-2009,B01001_16_50_to_54_years,302420,98146,31080.0
2005-2009,B01001_17_55_to_59_years,243211,80021,31080.0
2005-2009,B01001_18_60_and_61_years,81652,27496,31080.0
2005-2009,B01001_19_62_to_64_years,100945,33132,31080.0
2005-2009,B01001_20_65_and_66_years,59481,20285,31080.0
2005-2009,B01001_21_67_to_69_years,73121,24342,31080.0
2005-2009,B01001_22_70_to_74_years,102226,34860,31080.0
2005-2009,B01001_23_75_to_79_years,81029,26907,31080.0
2005-2009,B01001_24_80_to_84_years,60503,19383,31080.0
2005-2009,B01001_25_85_years_and_over,45499,14496,31080.0
2005-2009,B01001_26_female,4935208,1488342,31080.0
2005-2009,B01001_27_under_5_years,356100,105299,31080.0
2005-2009,B01001_28_5_to_9_years,323216,99012,31080.0
2005-2009,B01001_29_10_to_14_years,351150,102121,31080.0
2005-2009,B01001_30_15_to_17_years,214799,62419,31080.0
2005-2009,B01001_31_18_and_19_years,135090,36794,31080.0
2005-2009,B01001_32_20_years,71199,20616,31080.0
2005-2009,B01001_33_21_years,67695,20116,31080.0
2005-2009,B01001_34_22_to_24_years,196929,55873,31080.0
2005-2009,B01001_35_25_to_29_years,387414,109208,31080.0
2005-2009,B01001_36_30_to_34_years,370579,102354,31080.0
2005-2009,B01001_37_35_to_39_years,370916,112131,31080.0
2005-2009,B01001_38_40_to_44_years,361976,113035,31080.0
2005-2009,B01001_39_45_to_49_years,351796,112403,31080.0
2005-2009,B01001_40_50_to_54_years,316535,98974,31080.0
2005-2009,B01001_41_55_to_59_years,267403,83471,31080.0
2005-2009,B01001_42_60_and_61_years,89705,30037,31080.0
2005-2009,B01001_43_62_to_64_years,116732,36846,31080.0
2005-2009,B01001_44_65_and_66_years,67826,21683,31080.0
2005-2009,B01001_45_67_to_69_years,86543,27607,31080.0
2005-2009,B01001_46_70_to_74_years,130365,40775,31080.0
2005-2009,B01001_47_75_to_79_years,110564,35624,31080.0
2005-2009,B01001_48_80_to_84_years,97490,31779,31080.0
2005-2009,B01001_49_85_years_and_over,93186,30165,31080.0
2005-2009,B02001_1_total,9785295,2976831,31080.0
2005-2009,B02001_2_white_alone,4963235,1877058,31080.0
2005-2009,B02001_3_black_or_african_american_alone,862521,51016,31080.0
2005-2009,B02001_4_american_indian_and_alaska_native_alone,51809,14505,31080.0
2005-2009,B02001_5_asian_alone,1276546,479750,31080.0
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,26956,9481,31080.0
2005-2009,B02001_7_some_other_race_alone,2311733,467667,31080.0
2005-2009,B02001_8_two_or_more_races,292495,77354,31080.0
2005-2009,B02001_9_two_races_including_some_other_race,111815,22452,31080.0
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",180680,54902,31080.0
2005-2009,B11001_1_total,3178266,974001,31080.0
2005-2009,B11001_2_family_households,2140307,689212,31080.0
2005-2009,B11001_3_married-couple_family,1456067,528305,31080.0
2005-2009,B11001_4_other_family,684240,160907,31080.0
2005-2009,"B11001_5_male_householder,_no_wife_present",209661,54031,31080.0
2005-2009,"B11001_6_female_householder,_no_husband_present",474579,106876,31080.0
2005-2009,B11001_7_nonfamily_households,1037959,284789,31080.0
2005-2009,B11001_8_householder_living_alone,818901,218877,31080.0
2005-2009,B11001_9_householder_not_living_alone,219058,65912,31080.0
2005-2009,B15002_1_total,6266988,1942395,31080.0
2005-2009,B15002_2_male,3047958,956303,31080.0
2005-2009,B15002_3_no_schooling_completed,71957,15166,31080.0
2005-2009,B15002_4_nursery_to_4th_grade,76161,14921,31080.0
2005-2009,B15002_5_5th_and_6th_grade,182076,39584,31080.0
2005-2009,B15002_6_7th_and_8th_grade,80202,17200,31080.0
2005-2009,B15002_7_9th_grade,89982,24839,31080.0
2005-2009,B15002_8_10th_grade,60387,13614,31080.0
2005-2009,B15002_9_11th_grade,80074,15588,31080.0
2005-2009,"B15002_10_12th_grade,_no_diploma",104507,23015,31080.0
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",665513,172896,31080.0
2005-2009,"B15002_12_some_college,_less_than_1_year",137397,47631,31080.0
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",419722,143254,31080.0
2005-2009,B15002_14_associate's_degree,189347,68267,31080.0
2005-2009,B15002_15_bachelor's_degree,570971,227248,31080.0
2005-2009,B15002_16_master's_degree,190634,84208,31080.0
2005-2009,B15002_17_professional_school_degree,84703,31545,31080.0
2005-2009,B15002_18_doctorate_degree,44325,17327,31080.0
2005-2009,B15002_19_female,3219030,986092,31080.0
2005-2009,B15002_20_no_schooling_completed,92620,18905,31080.0
2005-2009,B15002_21_nursery_to_4th_grade,87205,15079,31080.0
2005-2009,B15002_22_5th_and_6th_grade,195567,38806,31080.0
2005-2009,B15002_23_7th_and_8th_grade,89485,18916,31080.0
2005-2009,B15002_24_9th_grade,89756,22181,31080.0
2005-2009,B15002_25_10th_grade,61927,15125,31080.0
2005-2009,B15002_26_11th_grade,79936,15574,31080.0
2005-2009,"B15002_27_12th_grade,_no_diploma",93079,22257,31080.0
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",696274,196252,31080.0
2005-2009,"B15002_29_some_college,_less_than_1_year",167436,60308,31080.0
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",443428,154696,31080.0
2005-2009,B15002_31_associate's_degree,234371,84409,31080.0
2005-2009,B15002_32_bachelor's_degree,599422,219484,31080.0
2005-2009,B15002_33_master's_degree,201243,76546,31080.0
2005-2009,B15002_34_professional_school_degree,59136,18989,31080.0
2005-2009,B15002_35_doctorate_degree,28145,8565,31080.0
2005-2009,B19001_1_total,3178266,974001,31080.0
2005-2009,"B19001_2_less_than_$10,000",200745,37170,31080.0
2005-2009,"B19001_3_$10,000_to_$14,999",186309,31467,31080.0
2005-2009,"B19001_4_$15,000_to_$19,999",169918,32436,31080.0
2005-2009,"B19001_5_$20,000_to_$24,999",168525,35275,31080.0
2005-2009,"B19001_6_$25,000_to_$29,999",162205,36824,31080.0
2005-2009,"B19001_7_$30,000_to_$34,999",155354,35863,31080.0
2005-2009,"B19001_8_$35,000_to_$39,999",147379,37709,31080.0
2005-2009,"B19001_9_$40,000_to_$44,999",142896,38561,31080.0
2005-2009,"B19001_10_$45,000_to_$49,999",129433,36074,31080.0
2005-2009,"B19001_11_$50,000_to_$59,999",249084,73219,31080.0
2005-2009,"B19001_12_$60,000_to_$74,999",317247,100124,31080.0
2005-2009,"B19001_13_$75,000_to_$99,999",377934,133880,31080.0
2005-2009,"B19001_14_$100,000_to_$124,999",256602,103533,31080.0
2005-2009,"B19001_15_$125,000_to_$149,999",160616,72871,31080.0
2005-2009,"B19001_16_$150,000_to_$199,999",168883,80632,31080.0
2005-2009,"B19001_17_$200,000_or_more",185136,88363,31080.0
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),54828,73738,31080.0
2005-2009,B25001_1_total,3370108,1028490,31080.0
2005-2009,B25003_1_total,3178266,974001,31080.0
2005-2009,B25003_2_owner_occupied,1544182,598752,31080.0
2005-2009,B25003_3_renter_occupied,1634084,375249,31080.0
2005-2009,B25024_1_total,3370108,1028490,31080.0
2005-2009,"B25024_2_1,_detached",1681476,523758,31080.0
2005-2009,"B25024_3_1,_attached",221439,122827,31080.0
2005-2009,B25024_4_2,82229,18169,31080.0
2005-2009,B25024_5_3_or_4,198850,73353,31080.0
2005-2009,B25024_6_5_to_9,270713,69204,31080.0
2005-2009,B25024_7_10_to_19,266113,58224,31080.0
2005-2009,B25024_8_20_to_49,301652,44231,31080.0
2005-2009,B25024_9_50_or_more,288807,84596,31080.0
2005-2009,B25024_10_mobile_home,56005,33392,31080.0
2005-2009,"B25024_11_boat,_rv,_van,_etc.",2824,736,31080.0
2005-2009,B25077_1_median_value_(dollars),521900,625700,31080.0
2005-2009,B25034_1_total,3370108,1028490,31080.0
2005-2009,B25034_2_built_2005_or_later,36843,15683,31080.0
2005-2009,B25034_3_built_2000_to_2004,103020,61917,31080.0
2005-2009,B25034_4_built_1990_to_1999,205809,120826,31080.0
2005-2009,B25034_5_built_1980_to_1989,402086,165806,31080.0
2005-2009,B25034_6_built_1970_to_1979,494007,260882,31080.0
2005-2009,B25034_7_built_1960_to_1969,511379,216048,31080.0
2005-2009,B25034_8_built_1950_to_1959,717521,135124,31080.0
2005-2009,B25034_9_built_1940_to_1949,389618,26544,31080.0
2005-2009,B25034_10_built_1939_or_earlier,509825,25660,31080.0
2005-2009,B03002_1_total,9785295,2976831,31080.0
2005-2009,B03002_2_not_hispanic_or_latino,5157752,1989656,31080.0
2005-2009,B03002_3_white_alone,2827681,1390222,31080.0
2005-2009,B03002_4_black_or_african_american_alone,836940,47501,31080.0
2005-2009,B03002_5_american_indian_and_alaska_native_alone,21540,8574,31080.0
2005-2009,B03002_6_asian_alone,1260344,475394,31080.0
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,23938,9055,31080.0
