estimate_year,index,FL_011,FL_086,FL_099,MSA
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,33100.0
2005-2009,FILETYPE,2009e5,2009e5,2009e5,33100.0
2005-2009,STATE,fl,fl,fl,33100.0
2005-2009,CHARITER,000,000,000,33100.0
2005-2009,SEQUENCE,0011,0011,0011,33100.0
2005-2009,LOGRECNO,0000018,0000055,0000062,33100.0
2005-2009,SUMMARY_LEVEL,050,050,050,33100.0
2005-2009,STATE_FIPS,12,12,12,33100.0
2005-2009,GEO_ID,05000US12011,05000US12086,05000US12099,33100.0
2005-2009,GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida",33100.0
2005-2009,B01003_1_total,1759132,2457044,1268601,33100.0
2005-2009,B01001_1_total,1759132,2457044,1268601,33100.0
2005-2009,B01001_2_male,855828,1196859,619926,33100.0
2005-2009,B01001_3_under_5_years,59115,86438,39092,33100.0
2005-2009,B01001_4_5_to_9_years,55188,75738,36860,33100.0
2005-2009,B01001_5_10_to_14_years,61408,82078,38030,33100.0
2005-2009,B01001_6_15_to_17_years,36518,50709,24537,33100.0
2005-2009,B01001_7_18_and_19_years,20805,33076,14779,33100.0
2005-2009,B01001_8_20_years,9458,17673,8270,33100.0
2005-2009,B01001_9_21_years,10852,17831,7086,33100.0
2005-2009,B01001_10_22_to_24_years,30543,48516,20174,33100.0
2005-2009,B01001_11_25_to_29_years,56859,88669,37105,33100.0
2005-2009,B01001_12_30_to_34_years,57864,87426,36076,33100.0
2005-2009,B01001_13_35_to_39_years,64451,88559,40276,33100.0
2005-2009,B01001_14_40_to_44_years,70637,95581,45144,33100.0
2005-2009,B01001_15_45_to_49_years,70983,87534,46013,33100.0
2005-2009,B01001_16_50_to_54_years,60737,75353,40678,33100.0
2005-2009,B01001_17_55_to_59_years,49069,63205,35721,33100.0
2005-2009,B01001_18_60_and_61_years,17658,23317,13195,33100.0
2005-2009,B01001_19_62_to_64_years,22188,30969,18702,33100.0
2005-2009,B01001_20_65_and_66_years,12628,17988,11173,33100.0
2005-2009,B01001_21_67_to_69_years,15548,25237,15277,33100.0
2005-2009,B01001_22_70_to_74_years,20793,33449,23763,33100.0
2005-2009,B01001_23_75_to_79_years,20812,30716,27464,33100.0
2005-2009,B01001_24_80_to_84_years,16788,21139,22048,33100.0
2005-2009,B01001_25_85_years_and_over,14926,15658,18463,33100.0
2005-2009,B01001_26_female,903304,1260185,648675,33100.0
2005-2009,B01001_27_under_5_years,56630,82473,37587,33100.0
2005-2009,B01001_28_5_to_9_years,53627,73044,35661,33100.0
2005-2009,B01001_29_10_to_14_years,56629,76906,35317,33100.0
2005-2009,B01001_30_15_to_17_years,35022,49010,22959,33100.0
2005-2009,B01001_31_18_and_19_years,19495,31519,13826,33100.0
2005-2009,B01001_32_20_years,10336,16650,6573,33100.0
2005-2009,B01001_33_21_years,9257,16548,6083,33100.0
2005-2009,B01001_34_22_to_24_years,29661,47248,20074,33100.0
2005-2009,B01001_35_25_to_29_years,57040,84008,33373,33100.0
2005-2009,B01001_36_30_to_34_years,59939,85461,33933,33100.0
2005-2009,B01001_37_35_to_39_years,66841,86607,41408,33100.0
2005-2009,B01001_38_40_to_44_years,73354,98529,44970,33100.0
2005-2009,B01001_39_45_to_49_years,72017,92895,46710,33100.0
2005-2009,B01001_40_50_to_54_years,63271,82983,42642,33100.0
2005-2009,B01001_41_55_to_59_years,52845,71039,39026,33100.0
2005-2009,B01001_42_60_and_61_years,19772,26309,15240,33100.0
2005-2009,B01001_43_62_to_64_years,24001,36195,21130,33100.0
2005-2009,B01001_44_65_and_66_years,13505,20311,13112,33100.0
2005-2009,B01001_45_67_to_69_years,18121,30625,18020,33100.0
2005-2009,B01001_46_70_to_74_years,26369,44125,29593,33100.0
2005-2009,B01001_47_75_to_79_years,28155,41306,34302,33100.0
2005-2009,B01001_48_80_to_84_years,26796,31899,29473,33100.0
2005-2009,B01001_49_85_years_and_over,30621,34495,27663,33100.0
2005-2009,B02001_1_total,1759132,2457044,1268601,33100.0
2005-2009,B02001_2_white_alone,1156014,1785122,951914,33100.0
2005-2009,B02001_3_black_or_african_american_alone,429809,482431,200523,33100.0
2005-2009,B02001_4_american_indian_and_alaska_native_alone,3548,3854,3205,33100.0
2005-2009,B02001_5_asian_alone,53978,38939,28183,33100.0
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,537,425,610,33100.0
2005-2009,B02001_7_some_other_race_alone,73594,110991,67215,33100.0
2005-2009,B02001_8_two_or_more_races,41652,35282,16951,33100.0
2005-2009,B02001_9_two_races_including_some_other_race,13025,17610,4451,33100.0
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",28627,17672,12500,33100.0
2005-2009,B11001_1_total,670472,827931,508520,33100.0
2005-2009,B11001_2_family_households,419536,567310,315491,33100.0
2005-2009,B11001_3_married-couple_family,295161,376061,240279,33100.0
2005-2009,B11001_4_other_family,124375,191249,75212,33100.0
2005-2009,"B11001_5_male_householder,_no_wife_present",31918,50107,21602,33100.0
2005-2009,"B11001_6_female_householder,_no_husband_present",92457,141142,53610,33100.0
2005-2009,B11001_7_nonfamily_households,250936,260621,193029,33100.0
2005-2009,B11001_8_householder_living_alone,203180,215038,158867,33100.0
2005-2009,B11001_9_householder_not_living_alone,47756,45583,34162,33100.0
2005-2009,B15002_1_total,1204588,1651587,901693,33100.0
2005-2009,B15002_2_male,571941,784800,431098,33100.0
2005-2009,B15002_3_no_schooling_completed,5394,12301,4900,33100.0
2005-2009,B15002_4_nursery_to_4th_grade,3966,15567,5777,33100.0
2005-2009,B15002_5_5th_and_6th_grade,8725,39229,9230,33100.0
2005-2009,B15002_6_7th_and_8th_grade,9406,26030,7500,33100.0
2005-2009,B15002_7_9th_grade,9246,22056,7137,33100.0
2005-2009,B15002_8_10th_grade,11810,20438,9195,33100.0
2005-2009,B15002_9_11th_grade,12932,18587,8848,33100.0
2005-2009,"B15002_10_12th_grade,_no_diploma",15481,33688,10628,33100.0
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",159896,216955,107814,33100.0
2005-2009,"B15002_12_some_college,_less_than_1_year",31159,33916,22621,33100.0
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",80723,78972,61188,33100.0
2005-2009,B15002_14_associate's_degree,45511,58314,29437,33100.0
2005-2009,B15002_15_bachelor's_degree,114071,128078,90882,33100.0
