estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103,MSA
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,35620.0
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,35620.0
2005-2009,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,35620.0
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,35620.0
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,35620.0
2005-2009,LOGRECNO,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,0000009,0000014,0000016,0000017,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000064,35620.0
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,35620.0
2005-2009,STATE_FIPS,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,42,35620.0
2005-2009,GEO_ID,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,05000US34003,05000US34013,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US42103,35620.0
2005-2009,GEO_NAME,"Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York","Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Pike County, Pennsylvania",35620.0
2005-2009,B01003_1_total,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,888546,771353,593615,129517,781957,641984,485828,565428,488793,320712,151239,522050,58335,35620.0
2005-2009,B01001_1_total,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,888546,771353,593615,129517,781957,641984,485828,565428,488793,320712,151239,522050,58335,35620.0
2005-2009,B01001_2_male,647971,146790,1198870,658595,771590,189910,49974,1105976,235328,146742,745399,458864,432001,371406,293901,64661,385926,314374,239714,270635,238365,158168,75275,254387,29270,35620.0
2005-2009,B01001_3_under_5_years,56116,8104,98935,39851,47517,13539,2781,76038,14920,11741,49144,30835,25555,29450,20182,3572,26609,19599,15375,19424,19214,10929,4286,19051,1298,35620.0
2005-2009,B01001_4_5_to_9_years,52771,8947,84881,44602,33145,14541,3521,64325,15533,11906,53056,31686,29531,26996,16299,4684,26323,22097,18089,17170,16262,11944,5409,17655,1893,35620.0
2005-2009,B01001_5_10_to_14_years,55728,10854,87462,49221,32307,15891,3888,69766,17084,11383,55705,35056,29292,27445,16912,4985,25109,24287,16995,19127,17852,11656,5590,18774,2322,35620.0
2005-2009,B01001_6_15_to_17_years,35035,6958,54044,31330,19675,10028,2383,42053,10984,7586,35080,21425,18546,16588,10576,3089,16465,15179,10606,11302,10346,7039,3814,11163,1522,35620.0
2005-2009,B01001_7_18_and_19_years,22111,5368,32270,18702,16199,7084,1280,25244,6316,4505,20707,12653,10268,10202,6901,1573,11488,8544,6047,6014,6770,3638,2059,6483,875,35620.0
2005-2009,B01001_8_20_years,11170,2812,18723,8898,10287,4182,606,14962,3695,2311,10226,5931,4594,5682,4610,846,5272,4084,2767,2883,4065,1934,1355,3294,270,35620.0
2005-2009,B01001_9_21_years,10416,2198,17336,9175,9554,3410,624,12945,2937,1960,9371,5653,5053,5530,3848,847,5693,3938,2522,2789,3222,1694,654,3488,406,35620.0
2005-2009,B01001_10_22_to_24_years,28203,5088,50878,22946,32892,7083,1719,42653,8465,5591,25307,15810,14592,14132,12567,2138,13279,10500,7639,9144,9015,4467,2213,8912,743,35620.0
2005-2009,B01001_11_25_to_29_years,49664,8510,110027,35111,85490,9013,2435,93468,16468,7844,41369,24984,24177,27867,33019,2001,30157,15735,11336,15334,17290,8347,3110,16814,1155,35620.0
2005-2009,B01001_12_30_to_34_years,44917,8404,94803,34051,80921,10791,2556,90998,15811,7374,42157,27357,26921,27165,31398,2648,28862,16534,13720,13933,16893,10152,3922,17615,1432,35620.0
2005-2009,B01001_13_35_to_39_years,43392,10502,84574,44015,71954,13557,3853,90803,17212,8937,55318,33183,32264,27487,26626,4064,30493,21242,18590,16948,17334,12954,5285,19705,2062,35620.0
2005-2009,B01001_14_40_to_44_years,48599,12307,81422,49918,62780,16408,4512,87349,18786,10988,61980,36971,36174,29135,21241,6519,30889,26921,21162,18894,18334,13563,7142,20229,2394,35620.0
2005-2009,B01001_15_45_to_49_years,43494,13096,80197,56533,57200,15720,4714,86709,19129,11308,65562,37906,37161,28277,20831,6588,30716,28664,21771,20042,18089,14738,7347,20732,2493,35620.0
2005-2009,B01001_16_50_to_54_years,37237,11348,73314,51823,49794,13434,4138,76053,17340,10157,55190,34125,33250,24322,17645,5967,27023,25434,18505,17893,16181,12452,6548,17851,2351,35620.0
2005-2009,B01001_17_55_to_59_years,31094,9637,65034,44295,44437,11088,3302,63766,14755,8788,45092,29297,27865,20998,14043,4711,21977,20581,15079,16458,12896,9322,5439,14733,2110,35620.0
2005-2009,B01001_18_60_and_61_years,10035,2925,22084,15782,15186,3775,1245,22088,5015,3184,16867,9843,9603,6636,5010,1612,7362,7135,5749,6719,4950,3355,1598,4607,754,35620.0
2005-2009,B01001_19_62_to_64_years,14264,3691,26740,17748,20263,4291,1431,28099,6744,4445,20839,11980,12558,8156,6788,1933,8921,9286,6907,9027,5854,4117,2403,6544,1060,35620.0
2005-2009,B01001_20_65_and_66_years,7894,2283,14322,10278,11928,2593,748,16395,3949,2417,11753,6873,7209,4866,3585,941,5325,4674,4004,5861,3259,2234,1459,3711,441,35620.0
2005-2009,B01001_21_67_to_69_years,9885,2709,20844,13177,14442,3101,1158,20594,4308,3330,15181,8598,9039,6607,4387,1241,6499,6028,4521,7433,4058,2879,1282,4531,677,35620.0
2005-2009,B01001_22_70_to_74_years,13780,4367,30066,19643,20820,3832,1176,29258,5892,4053,20731,13266,12746,8406,6789,1890,9493,8835,6899,11555,6141,3835,1651,6074,1285,35620.0
2005-2009,B01001_23_75_to_79_years,9365,3063,22898,17436,16139,3042,1164,22590,4725,3193,15957,11095,11194,6673,5193,1343,7701,6480,5310,10070,4357,3106,1313,4911,971,35620.0
2005-2009,B01001_24_80_to_84_years,6898,2277,15841,13507,10525,1913,326,16806,3195,1999,10631,8057,7747,5176,3307,888,5930,4687,3603,7155,3188,2088,836,4377,484,35620.0
2005-2009,B01001_25_85_years_and_over,5903,1342,12175,10553,8135,1594,414,13014,2065,1742,8176,6280,6662,3610,2144,581,4340,3910,2518,5460,2795,1725,560,3133,272,35620.0
2005-2009,B01001_26_female,733558,145397,1339270,695546,849372,186638,49137,1172884,247840,150556,765629,490186,456545,399947,299714,64856,396031,327610,246114,294793,250428,162544,75964,267663,29065,35620.0
2005-2009,B01001_27_under_5_years,54347,7897,94593,37605,45492,12795,2785,72072,14216,11188,46620,29907,24502,27835,19181,3423,25562,18886,14642,18590,18240,10322,4294,18093,1169,35620.0
2005-2009,B01001_28_5_to_9_years,51498,8758,82523,42372,31386,14191,3163,62103,15397,10460,49245,31097,27658,26146,14529,4507,24202,21936,16954,17165,15863,10946,5232,17612,1945,35620.0
2005-2009,B01001_29_10_to_14_years,53304,10059,83420,47317,31563,14382,3659,66039,15777,11783,54144,32757,28355,25957,16860,4652,24507,22199,16166,17228,17135,11670,5512,16905,1940,35620.0
2005-2009,B01001_30_15_to_17_years,33566,6481,52486,29792,19590,9270,2322,40917,10427,7041,33356,19926,17610,16041,10181,2763,15388,14404,9913,10564,10058,6603,3603,10687,1511,35620.0
2005-2009,B01001_31_18_and_19_years,20887,5341,30502,17684,20079,5420,1135,24030,5852,4324,19179,12255,9586,9714,6232,1360,10793,7834,5781,5516,6423,3267,1790,6130,724,35620.0
2005-2009,B01001_32_20_years,10200,2510,18349,9035,10623,2511,665,13674,3348,2015,9081,6501,4112,4905,3402,640,5555,3875,3429,3347,4019,1570,815,2633,249,35620.0
2005-2009,B01001_33_21_years,11396,2524,16103,9012,10087,2730,290,12813,2944,2281,10190,4794,4741,4588,3713,627,5473,3396,2866,2852,2733,1364,830,3330,300,35620.0
2005-2009,B01001_34_22_to_24_years,28880,4889,54410,21580,35812,7273,1591,43789,8679,4808,24738,15417,14501,14860,12423,1743,13812,10295,6468,8199,9122,4779,2377,9087,768,35620.0
2005-2009,B01001_35_25_to_29_years,52537,7118,113689,32048,95693,8645,1787,92555,16339,6820,38515,24079,22797,27293,31550,1878,29391,14241,10285,15173,17106,7847,2949,16135,1152,35620.0
2005-2009,B01001_36_30_to_34_years,51340,7132,102536,32238,90351,10165,2348,90144,15487,6639,39916,27103,26385,27527,28689,2914,27459,15986,13107,14084,16580,9945,4055,17143,1496,35620.0
2005-2009,B01001_37_35_to_39_years,52381,9641,93148,45363,72860,13285,3716,87005,18118,9306,54974,34863,32038,29843,23554,4794,29240,22819,18514,17442,17678,11907,5526,19883,2212,35620.0
2005-2009,B01001_38_40_to_44_years,54781,12027,93819,53913,60431,16162,4867,88573,18808,10984,63287,38863,38173,30576,21290,6480,29433,27877,21698,19050,18393,15282,6921,21438,2332,35620.0
2005-2009,B01001_39_45_to_49_years,51797,12455,92200,59629,55544,15380,4683,87327,19844,11676,65422,40293,38314,30557,20726,6815,30828,29858,21832,20256,18596,14788,7526,21456,2605,35620.0
2005-2009,B01001_40_50_to_54_years,44810,11059,86147,55052,52630,13155,4070,80524,18406,10616,55728,36325,34843,27392,18789,5856,27370,26310,19145,18396,16669,12653,6432,18879,2211,35620.0
2005-2009,B01001_41_55_to_59_years,39546,9250,78613,46208,51786,10721,3467,70782,16783,9944,49032,32501,29137,22857,16374,4929,23096,22116,15990,18141,14534,9579,5261,16014,2178,35620.0
2005-2009,B01001_42_60_and_61_years,13680,2928,28963,17300,19189,3728,1244,27963,6315,4018,16984,11097,11695,8470,6001,1435,8138,7474,5751,7118,5279,3647,2039,5507,811,35620.0
2005-2009,B01001_43_62_to_64_years,18067,4297,33788,21287,25359,4886,1457,32938,6785,4334,23680,13666,14554,11189,7298,1893,9996,9414,8068,10736,6800,4546,2054,7407,908,35620.0
2005-2009,B01001_44_65_and_66_years,11030,2235,21370,11973,14546,2482,741,21470,4013,2679,13829,8581,8726,6499,4461,955,6324,5646,4590,6738,3869,2472,1350,4119,902,35620.0
2005-2009,B01001_45_67_to_69_years,14331,3015,28778,16001,20325,3263,1141,26494,5003,3629,16855,11045,10673,8001,6092,1345,7385,6589,5247,9859,5147,2857,1364,5539,655,35620.0
2005-2009,B01001_46_70_to_74_years,20148,5036,40741,24997,25703,5162,1178,39098,7764,4884,24576,16486,16007,11663,8613,1662,12042,10360,7098,16055,7660,4925,1788,7930,1086,35620.0
2005-2009,B01001_47_75_to_79_years,16962,3951,36228,24466,20624,4068,1019,33972,6733,4204,21148,15123,15131,10594,7503,1579,10948,9528,7142,14783,7099,4089,1706,7451,765,35620.0
2005-2009,B01001_48_80_to_84_years,14138,3339,28381,21145,19311,3633,952,28947,5743,2826,16925,12919,12930,8711,6171,1311,10036,7895,5580,12135,5347,3398,1235,7151,726,35620.0
2005-2009,B01001_49_85_years_and_over,13932,3455,28483,19529,20388,3331,857,29655,5059,4097,18205,14588,14077,8729,6082,1295,9053,8672,5848,11366,6078,4088,1305,7134,420,35620.0
2005-2009,B02001_1_total,1381529,292187,2538140,1354141,1620962,376548,99111,2278860,483168,297298,1511028,949050,888546,771353,593615,129517,781957,641984,485828,565428,488793,320712,151239,522050,58335,35620.0
2005-2009,B02001_2_white_alone,316199,235182,1126718,1023614,928434,294557,88554,1028849,367786,229106,1269054,657161,659748,329018,347379,118079,492555,532125,407037,516550,291937,237661,141647,312623,52683,35620.0
2005-2009,B02001_3_black_or_african_american_alone,469392,27836,881807,146724,248683,36184,2293,437670,47962,33701,109305,133096,50669,315535,80978,3590,75852,49335,15227,18954,61033,27363,2857,111598,2994,35620.0
2005-2009,B02001_4_american_indian_and_alaska_native_alone,5734,299,6947,2070,5748,861,0,9458,887,635,3581,1228,1138,2143,2266,122,1478,1663,998,626,1003,450,232,1001,98,35620.0
2005-2009,B02001_5_asian_alone,47965,9654,231801,91418,165282,8891,1608,487209,35904,18598,50872,53021,124711,33267,66331,4153,143591,32487,40611,9903,22479,39357,2937,23498,686,35620.0
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,324,77,792,29,596,42,36,654,0,203,331,201,283,222,77,18,419,202,510,104,65,9,0,358,83,35620.0
2005-2009,B02001_7_some_other_race_alone,503497,13061,251865,71607,225498,26352,4011,267757,24251,11670,56196,86628,37374,73752,84892,2118,54087,15841,14737,12344,104731,11364,2249,65775,1029,35620.0
2005-2009,B02001_8_two_or_more_races,38418,6078,38210,18679,46721,9661,2609,47263,6378,3385,21689,17715,14623,17416,11692,1437,13975,10331,6708,6947,7545,4508,1317,7197,762,35620.0
2005-2009,B02001_9_two_races_including_some_other_race,22981,927,12489,4855,12032,2658,841,18072,1755,1264,6182,5630,3974,4967,4480,71,4259,1790,2146,2378,2976,1033,268,2800,123,35620.0
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",15437,5151,25721,13824,34689,7003,1768,29191,4623,2121,15507,12085,10649,12449,7212,1366,9716,8541,4562,4569,4569,3475,1049,4397,639,35620.0
2005-2009,B11001_1_total,472913,102856,885197,435764,742486,123349,33864,779776,166783,94154,478858,338527,333412,278722,230449,46786,271722,231057,174940,220656,159616,113514,55079,183687,22940,35620.0
2005-2009,B11001_2_family_households,311354,70509,568213,334876,300335,89903,25819,528428,124604,70912,362602,231869,236314,184756,137952,34273,194670,162226,127502,150745,113325,82523,41539,129444,16790,35620.0
2005-2009,B11001_3_married-couple_family,132036,55656,333181,271146,194066,69850,21371,353248,93779,57494,290791,176666,189599,111074,85524,29917,152462,131185,108107,122937,78579,68895,34856,90862,12950,35620.0
2005-2009,B11001_4_other_family,179318,14853,235032,63730,106269,20053,4448,175180,30825,13418,71811,55203,46715,73682,52428,4356,42208,31041,19395,27808,34746,13628,6683,38582,3840,35620.0
2005-2009,"B11001_5_male_householder,_no_wife_present",34649,4805,50582,17231,22389,5729,1513,50256,7729,3863,20798,13609,12201,17719,14619,1291,11961,8712,5460,7978,9133,3575,2132,10637,1056,35620.0
2005-2009,"B11001_6_female_householder,_no_husband_present",144669,10048,184450,46499,83880,14324,2935,124924,23096,9555,51013,41594,34514,55963,37809,3065,30247,22329,13935,19830,25613,10053,4551,27945,2784,35620.0
2005-2009,B11001_7_nonfamily_households,161559,32347,316984,100888,442151,33446,8045,251348,42179,23242,116256,106658,97098,93966,92497,12513,77052,68831,47438,69911,46291,30991,13540,54243,6150,35620.0
2005-2009,B11001_8_householder_living_alone,141450,26161,260785,87602,369867,27461,6664,206949,35891,19989,94952,92226,84384,81337,72802,10500,62741,58506,40180,60778,39515,26123,11032,47410,4866,35620.0
2005-2009,B11001_9_householder_not_living_alone,20109,6186,56199,13286,72284,5985,1381,44399,6288,3253,21304,14432,12714,12629,19695,2013,14311,10325,7258,9133,6776,4868,2508,6833,1284,35620.0
2005-2009,B15002_1_total,845901,193399,1661225,915019,1214754,232218,66699,1595437,326594,186415,1005879,637347,620050,505282,415199,88068,526427,430931,329569,394114,318454,216890,101406,348753,40400,35620.0
