estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015,MSA
2005-2009,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,37980.0
2005-2009,FILETYPE,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,2009e5,37980.0
2005-2009,STATE,nj,nj,nj,nj,pa,pa,pa,pa,pa,de,md,37980.0
2005-2009,CHARITER,000,000,000,000,000,000,000,000,000,000,000,37980.0
2005-2009,SEQUENCE,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,0011,37980.0
2005-2009,LOGRECNO,0000010,0000011,0000015,0000024,0000021,0000027,0000035,0000058,0000063,0000013,0000019,37980.0
2005-2009,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,37980.0
2005-2009,STATE_FIPS,34,34,34,34,42,42,42,42,42,10,24,37980.0
2005-2009,GEO_ID,05000US34005,05000US34007,05000US34015,05000US34033,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US10003,05000US24015,37980.0
2005-2009,GEO_NAME,"Burlington County, New Jersey","Camden County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","New Castle County, Delaware","Cecil County, Maryland",37980.0
2005-2009,B01003_1_total,446301,516937,284552,65982,621241,486301,555018,776306,1531112,527774,99069,37980.0
2005-2009,B01001_1_total,446301,516937,284552,65982,621241,486301,555018,776306,1531112,527774,99069,37980.0
2005-2009,B01001_2_male,221085,250713,138649,32066,306237,240185,266886,377604,715805,256413,48934,37980.0
2005-2009,B01001_3_under_5_years,13352,17575,8680,1990,18266,16436,17420,24252,55303,18200,3305,37980.0
2005-2009,B01001_4_5_to_9_years,14202,17301,10031,2225,19707,17096,17663,24377,48042,17213,3125,37980.0
2005-2009,B01001_5_10_to_14_years,16077,18840,10154,2319,22194,17668,18991,26227,50513,18311,4027,37980.0
2005-2009,B01001_6_15_to_17_years,10037,12339,6539,1472,14383,11324,13265,16718,32698,11540,2468,37980.0
2005-2009,B01001_7_18_and_19_years,5754,6999,4015,1003,8111,7555,9803,9597,25149,8107,1327,37980.0
2005-2009,B01001_8_20_years,3161,3172,2082,488,3682,3180,4583,4469,13106,4035,718,37980.0
2005-2009,B01001_9_21_years,3041,3369,1765,377,3709,3246,3973,4133,11386,3790,366,37980.0
2005-2009,B01001_10_22_to_24_years,9249,10208,5024,1058,10739,7850,10703,13835,30802,10223,1766,37980.0
2005-2009,B01001_11_25_to_29_years,13577,17783,9183,1987,16010,12708,17095,22669,65583,19484,3199,37980.0
2005-2009,B01001_12_30_to_34_years,13765,16631,8680,1734,16261,14155,15657,23294,54290,17505,2875,37980.0
2005-2009,B01001_13_35_to_39_years,16193,18539,10053,2158,21894,16992,16935,27029,48603,18610,3571,37980.0
2005-2009,B01001_14_40_to_44_years,18314,18301,11265,2310,24268,20007,19794,29926,47860,19472,4154,37980.0
2005-2009,B01001_15_45_to_49_years,19171,19729,11826,2664,27768,20631,21478,31730,48805,19843,3992,37980.0
2005-2009,B01001_16_50_to_54_years,16360,17902,10382,2441,25390,18529,19971,28904,44377,17876,3634,37980.0
2005-2009,B01001_17_55_to_59_years,13372,14475,8593,2028,20924,15948,16122,24309,37493,14692,2962,37980.0
2005-2009,B01001_18_60_and_61_years,4904,5240,2810,913,6818,4895,5088,8519,12985,4912,1110,37980.0
2005-2009,B01001_19_62_to_64_years,6054,6217,3751,1037,9328,5974,6881,9980,15969,6597,1428,37980.0
2005-2009,B01001_20_65_and_66_years,3194,3378,2246,510,5752,3978,4050,6314,9423,3104,663,37980.0
2005-2009,B01001_21_67_to_69_years,4441,4696,2538,742,6031,4636,4730,8041,12777,4483,970,37980.0
2005-2009,B01001_22_70_to_74_years,6257,6227,3238,921,8835,5958,6934,10267,16795,6597,1349,37980.0
2005-2009,B01001_23_75_to_79_years,4886,4849,2529,797,7441,5036,6783,9753,14199,5156,969,37980.0
2005-2009,B01001_24_80_to_84_years,3374,4104,2103,498,5068,3577,5218,7486,10760,3782,646,37980.0
2005-2009,B01001_25_85_years_and_over,2350,2839,1162,394,3658,2806,3749,5775,8887,2881,310,37980.0
2005-2009,B01001_26_female,225216,266224,145903,33916,315004,246116,288132,398702,815307,271361,50135,37980.0
2005-2009,B01001_27_under_5_years,12927,16831,8301,1855,17366,15891,16945,23585,53711,17695,3171,37980.0
