estimate_year,index,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,MSA
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,12060.0
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,12060.0
2013-2017,STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,12060.0
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,12060.0
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,12060.0
2013-2017,LOGRECNO,0000019,0000020,0000030,0000034,0000040,0000043,0000045,0000050,0000054,0000056,0000060,0000068,0000070,0000072,0000079,0000083,0000086,0000087,0000091,0000097,0000111,0000116,0000119,0000122,0000124,0000126,0000134,0000138,0000159,12060.0
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,12060.0
2013-2017,STATE_FIPS,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12060.0
2013-2017,GEO_ID,05000US13013,05000US13015,05000US13035,05000US13045,05000US13057,05000US13063,05000US13067,05000US13077,05000US13085,05000US13089,05000US13097,05000US13113,05000US13117,05000US13121,05000US13135,05000US13143,05000US13149,05000US13151,05000US13159,05000US13171,05000US13199,05000US13211,05000US13217,05000US13223,05000US13227,05000US13231,05000US13247,05000US13255,05000US13297,12060.0
2013-2017,GEO_NAME,"Barrow County, Georgia","Bartow County, Georgia","Butts County, Georgia","Carroll County, Georgia","Cherokee County, Georgia","Clayton County, Georgia","Cobb County, Georgia","Coweta County, Georgia","Dawson County, Georgia","DeKalb County, Georgia","Douglas County, Georgia","Fayette County, Georgia","Forsyth County, Georgia","Fulton County, Georgia","Gwinnett County, Georgia","Haralson County, Georgia","Heard County, Georgia","Henry County, Georgia","Jasper County, Georgia","Lamar County, Georgia","Meriwether County, Georgia","Morgan County, Georgia","Newton County, Georgia","Paulding County, Georgia","Pickens County, Georgia","Pike County, Georgia","Rockdale County, Georgia","Spalding County, Georgia","Walton County, Georgia",12060.0
2013-2017,B01003_1_total,75099,102623,23556,114898,235896,274150,739072,138015,23397,736066,140152,110306,211300,1010420,889954,28722,11607,217506,13732,18282,21152,18013,105042,152399,30343,17919,88482,64192,88695,12060.0
2013-2017,B01001_1_total,75099,102623,23556,114898,235896,274150,739072,138015,23397,736066,140152,110306,211300,1010420,889954,28722,11607,217506,13732,18282,21152,18013,105042,152399,30343,17919,88482,64192,88695,12060.0
2013-2017,B01001_2_male,37033,50888,12464,56032,116132,129364,357252,67326,11529,348949,66926,53551,104886,489797,435401,13965,5762,104175,6688,8800,10134,8558,49940,74560,15046,8817,41755,31075,43120,12060.0
2013-2017,B01001_3_under_5_years,2744,3476,573,3888,7476,10783,24228,4411,662,26978,4529,2541,6861,32066,30941,877,349,6420,366,582,608,419,3481,5223,721,421,2640,2186,2871,12060.0
2013-2017,B01001_4_5_to_9_years,3000,3826,763,4016,8500,10751,25877,5461,785,25140,5038,3618,8832,33381,35242,1058,286,8165,548,490,543,643,4148,5539,908,633,3280,2314,3389,12060.0
2013-2017,B01001_5_10_to_14_years,2960,3593,605,4041,9644,11439,25410,4761,557,22863,5969,4184,9989,32100,36785,885,486,9058,487,579,730,538,4014,6869,962,693,3378,2167,3211,12060.0
2013-2017,B01001_6_15_to_17_years,1721,2368,494,2431,5402,6318,15674,3177,453,13120,3473,3076,5366,19292,22078,618,265,6167,236,362,539,354,2714,3877,557,498,2120,1415,2030,12060.0
2013-2017,B01001_7_18_and_19_years,880,1331,272,2221,2834,3723,9693,1662,207,8326,1879,1661,2552,15486,12018,351,133,3296,157,499,276,171,1657,1961,273,262,1178,778,1215,12060.0
2013-2017,B01001_8_20_years,465,844,123,854,1435,2117,4819,1049,178,4712,991,533,1120,8175,6206,206,103,1626,51,217,124,166,775,1101,102,60,626,385,922,12060.0
2013-2017,B01001_9_21_years,594,565,215,1314,1205,1786,4901,672,191,4428,676,653,1079,7074,5978,127,32,1242,84,181,95,106,918,1028,137,122,730,214,705,12060.0
2013-2017,B01001_10_22_to_24_years,1157,1723,698,2836,4207,6463,14895,2456,350,14404,2842,2201,2820,22501,17307,516,208,4207,233,346,389,353,1683,2584,520,292,1634,1425,1383,12060.0
2013-2017,B01001_11_25_to_29_years,2648,3418,1078,4122,6611,10304,26232,3904,681,29705,4162,2281,4270,41846,28794,908,318,5971,352,441,606,317,3125,4682,844,466,2583,1979,2292,12060.0
2013-2017,B01001_12_30_to_34_years,2846,3159,1042,3558,7178,8921,25849,4159,648,29084,4078,2246,5707,39553,30030,792,292,5759,367,387,543,331,2908,4697,898,487,2214,1983,2410,12060.0
2013-2017,B01001_13_35_to_39_years,2561,3487,1031,3313,7605,8574,26051,4385,663,26578,4111,2563,7466,36413,31521,726,382,6252,369,622,581,462,3217,6081,863,573,2715,1797,2531,12060.0
2013-2017,B01001_14_40_to_44_years,2867,3276,854,3760,9136,8705,25408,4815,848,25170,5027,3266,9576,35128,32641,1059,306,7927,503,468,582,397,3360,5208,964,551,2181,1986,2854,12060.0
2013-2017,B01001_15_45_to_49_years,2472,3852,885,3664,9256,8530,26293,5254,790,24104,5063,4001,9585,35817,33255,1048,468,8155,501,550,619,834,3650,6071,1055,729,3009,1887,3071,12060.0
2013-2017,B01001_16_50_to_54_years,2429,3727,873,3570,8746,8190,25315,5133,909,23106,4954,4491,8261,33644,31411,1009,467,7999,456,573,790,714,3444,5554,1112,661,3048,2144,3304,12060.0
2013-2017,B01001_17_55_to_59_years,2096,3605,715,3594,7326,6682,22448,4485,641,20587,4182,4586,6104,28678,26319,903,419,6892,484,729,839,538,2721,4784,1259,782,2782,1770,2906,12060.0
2013-2017,B01001_18_60_and_61_years,827,1116,322,1061,2658,2902,7417,1689,402,7910,1640,1406,1897,10243,9850,379,139,1785,206,295,289,216,1292,1328,360,204,1189,984,1003,12060.0
2013-2017,B01001_19_62_to_64_years,1063,1568,455,1477,3798,3471,11247,1980,498,9398,1741,1922,2834,13044,10613,541,262,3017,273,167,300,485,1383,1626,570,144,1473,1040,1245,12060.0
2013-2017,B01001_20_65_and_66_years,552,848,263,981,2797,1771,6518,1316,299,6180,1304,1288,1615,7912,6818,294,119,1836,150,176,211,197,824,860,504,173,821,835,721,12060.0
2013-2017,B01001_21_67_to_69_years,923,1281,345,1535,2634,2386,8300,1704,564,7474,1465,1949,2477,10022,7940,444,137,2370,215,227,381,356,1420,1453,538,275,1052,821,1187,12060.0
2013-2017,B01001_22_70_to_74_years,1027,1885,351,1638,3649,2646,8999,2213,533,8218,1724,2344,2798,11673,8880,515,294,2697,316,512,575,360,1392,1967,938,319,1481,1341,1921,12060.0
2013-2017,B01001_23_75_to_79_years,625,1212,297,1109,2147,1413,5206,1494,307,5531,1062,1291,1784,7449,6057,449,153,1723,221,217,206,415,658,1045,527,315,1056,867,998,12060.0
2013-2017,B01001_24_80_to_84_years,355,337,120,582,1156,719,3487,686,221,3431,600,862,1129,4578,2996,167,54,1055,72,88,225,144,628,712,340,63,284,476,633,12060.0
2013-2017,B01001_25_85_years_and_over,221,391,90,467,732,770,2985,460,142,2502,416,588,764,3722,1721,93,90,556,41,92,83,42,528,310,94,94,281,281,318,12060.0
2013-2017,B01001_26_female,38066,51735,11092,58866,119764,144786,381820,70689,11868,387117,73226,56755,106414,520623,454553,14757,5845,113331,7044,9482,11018,9455,55102,77839,15297,9102,46727,33117,45575,12060.0
2013-2017,B01001_27_under_5_years,2679,3213,821,3513,7217,10474,23614,4284,648,26149,4439,2282,6435,30662,30022,880,310,6305,416,429,600,560,3387,4720,704,435,2625,1956,2654,12060.0
2013-2017,B01001_28_5_to_9_years,2879,3389,612,3023,8545,10851,25553,4978,729,23479,5029,3028,8525,32185,33225,890,323,7970,411,427,675,566,3616,6261,906,413,3180,1947,2683,12060.0
2013-2017,B01001_29_10_to_14_years,2748,3649,773,4575,8609,10591,24892,4981,670,22749,5480,4558,9193,31651,36566,1133,397,8469,496,611,638,648,4280,5684,910,809,3241,2242,3702,12060.0
2013-2017,B01001_30_15_to_17_years,1528,2102,337,2373,5228,6187,15188,3126,476,12820,3329,2928,5329,19213,21321,602,278,5571,300,365,324,401,2608,3804,536,459,2153,1294,2002,12060.0
2013-2017,B01001_31_18_and_19_years,754,1183,149,2556,2782,3768,9250,1591,283,8533,1853,1387,2292,14785,10913,288,147,3233,158,786,309,209,1494,1777,251,202,1031,635,953,12060.0
2013-2017,B01001_32_20_years,470,628,225,1301,1560,1911,4505,685,169,4535,996,761,921,7715,5259,113,38,1107,22,265,76,127,1002,1015,159,94,892,498,601,12060.0
2013-2017,B01001_33_21_years,296,575,152,1491,1056,2315,5626,527,50,5449,675,338,1019,6389,5165,176,90,1250,56,160,50,76,524,1001,210,62,265,306,494,12060.0
2013-2017,B01001_34_22_to_24_years,1412,1895,290,2716,3912,6161,14064,2808,345,15126,2882,2290,2851,22749,17949,534,248,4580,295,313,445,289,1837,2667,400,317,1840,1237,1500,12060.0
2013-2017,B01001_35_25_to_29_years,2736,3452,607,3821,6687,11474,26936,4143,658,32426,4367,2176,4321,43597,28891,922,320,6524,396,470,649,438,3351,4713,853,539,2642,2168,2773,12060.0
2013-2017,B01001_36_30_to_34_years,2892,3339,755,3557,7392,10648,27524,4509,627,31714,4834,2474,6560,42021,31278,893,284,7054,397,582,603,525,3392,5273,783,572,2742,2055,2632,12060.0
2013-2017,B01001_37_35_to_39_years,2528,3792,576,3526,8778,9826,28128,4835,616,28873,5381,2824,8215,40481,33909,627,262,8597,334,554,684,581,4309,5607,609,485,3309,2087,2752,12060.0
2013-2017,B01001_38_40_to_44_years,2796,3211,744,3850,9004,10757,28470,5308,786,27300,5854,3767,9518,36020,36234,1163,406,8898,494,465,515,528,3650,6800,1156,737,2919,1988,3389,12060.0
2013-2017,B01001_39_45_to_49_years,2597,3689,707,3737,9355,10278,28464,5308,766,26364,5847,4690,9353,36209,35446,1129,462,9230,491,592,681,671,4129,6215,995,736,3629,2061,3346,12060.0
