estimate_year,index,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,NJ_003,NJ_013,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_035,NJ_037,NJ_039,PA_103
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa
2009-2013,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2009-2013,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2009-2013,LOGRECNO,0000015,0000026,0000036,0000042,0000043,0000048,0000052,0000053,0000055,0000056,0000064,0000072,0000009,0000014,0000016,0000017,0000019,0000020,0000021,0000022,0000023,0000025,0000026,0000027,0000064
2009-2013,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2009-2013,STATE_FIPS,36,36,36,36,36,36,36,36,36,36,36,36,34,34,34,34,34,34,34,34,34,34,34,34,42
2009-2013,GEO_ID,05000US36005,05000US36027,05000US36047,05000US36059,05000US36061,05000US36071,05000US36079,05000US36081,05000US36085,05000US36087,05000US36103,05000US36119,05000US34003,05000US34013,05000US34017,05000US34019,05000US34023,05000US34025,05000US34027,05000US34029,05000US34031,05000US34035,05000US34037,05000US34039,05000US42103
2009-2013,GEO_NAME,"Bronx County, New York","Dutchess County, New York","Kings County, New York","Nassau County, New York","New York County, New York","Orange County, New York","Putnam County, New York","Queens County, New York","Richmond County, New York","Rockland County, New York","Suffolk County, New York","Westchester County, New York","Bergen County, New Jersey","Essex County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Pike County, Pennsylvania"
2009-2013,B01003_1_total,1397315,297385,2539789,1343765,1605272,373902,99718,2256400,470223,315069,1495803,956283,912795,785853,644605,127047,817026,629735,495261,578902,502854,326207,147924,540568,57179
2009-2013,B01001_1_total,1397315,297385,2539789,1343765,1605272,373902,99718,2256400,470223,315069,1495803,956283,912795,785853,644605,127047,817026,629735,495261,578902,502854,326207,147924,540568,57179
