estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,FILETYPE,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5,2013e5
2009-2013,STATE,nj,nj,nj,nj,pa,pa,pa,pa,pa,de,md
2009-2013,CHARITER,000,000,000,000,000,000,000,000,000,000,000
2009-2013,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2009-2013,LOGRECNO,0000010,0000011,0000015,0000024,0000021,0000027,0000035,0000058,0000063,0000009,0000019
2009-2013,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050
2009-2013,STATE_FIPS,34,34,34,34,42,42,42,42,42,10,24
2009-2013,GEO_ID,05000US34005,05000US34007,05000US34015,05000US34033,05000US42017,05000US42029,05000US42045,05000US42091,05000US42101,05000US10003,05000US24015
2009-2013,GEO_NAME,"Burlington County, New Jersey","Camden County, New Jersey","Gloucester County, New Jersey","Salem County, New Jersey","Bucks County, Pennsylvania","Chester County, Pennsylvania","Delaware County, Pennsylvania","Montgomery County, Pennsylvania","Philadelphia County, Pennsylvania","New Castle County, Delaware","Cecil County, Maryland"
2009-2013,B01003_1_total,449964,513512,289098,65825,625977,503075,559771,804621,1536704,542784,101435
2009-2013,B01001_1_total,449964,513512,289098,65825,625977,503075,559771,804621,1536704,542784,101435
2009-2013,B01001_2_male,221207,248011,140389,31974,306911,247266,268411,390418,725293,262687,50325
2009-2013,B01001_3_under_5_years,12909,17069,8640,2013,16807,15583,17139,24012,53102,16966,3029
2009-2013,B01001_4_5_to_9_years,13807,17456,10022,2190,19584,17787,17626,25598,45946,17436,3707
2009-2013,B01001_5_10_to_14_years,15651,17615,10279,2186,21777,18009,18492,26490,46719,17542,3536
2009-2013,B01001_6_15_to_17_years,9688,11100,6543,1388,13911,11414,12668,16922,29173,11190,2410
2009-2013,B01001_7_18_and_19_years,5830,6799,3889,865,7834,7493,9808,9752,25785,8772,1461
2009-2013,B01001_8_20_years,3367,3764,2486,574,3380,3502,5293,3870,15063,4372,712
2009-2013,B01001_9_21_years,2780,3088,1850,380,3592,3270,4032,3952,14412,4272,842
2009-2013,B01001_10_22_to_24_years,9294,9994,5648,1005,10294,8510,10417,13979,39670,11775,1736
2009-2013,B01001_11_25_to_29_years,13833,17291,8306,1856,17039,14213,17296,24853,67530,18696,2744
2009-2013,B01001_12_30_to_34_years,12923,16189,8119,1854,16617,13881,16031,24688,55760,17469,2903
2009-2013,B01001_13_35_to_39_years,13699,15445,8913,1946,17590,14681,15304,24609,46249,17049,2741
2009-2013,B01001_14_40_to_44_years,16033,17450,10074,1973,22026,18426,17677,28020,44910,17920,4045
2009-2013,B01001_15_45_to_49_years,18244,18279,11364,2405,25605,19753,19612,30372,46043,19622,4077
2009-2013,B01001_16_50_to_54_years,18276,18754,11267,2562,26959,19986,20758,31153,46291,19638,4013
2009-2013,B01001_17_55_to_59_years,15018,16923,9243,2187,23221,17267,18638,27332,40626,16622,3574
2009-2013,B01001_18_60_and_61_years,5232,5327,3640,970,7986,6045,6484,9613,15713,5777,1236
2009-2013,B01001_19_62_to_64_years,7328,7384,4309,1179,11598,8058,8207,13030,19208,8318,1792
2009-2013,B01001_20_65_and_66_years,4079,4266,2677,648,6450,4719,4515,7599,11467,4211,905
2009-2013,B01001_21_67_to_69_years,4955,4965,3108,837,7879,5439,5672,9323,13002,5861,1076
2009-2013,B01001_22_70_to_74_years,6582,6970,3795,1142,9317,7128,7333,11407,16998,7032,1721
2009-2013,B01001_23_75_to_79_years,5128,4924,2531,817,7045,5204,5278,9307,13153,4999,929
2009-2013,B01001_24_80_to_84_years,3752,3623,2120,484,5495,3696,5128,7563,9537,3868,661
2009-2013,B01001_25_85_years_and_over,2799,3336,1566,513,4905,3202,5003,6974,8936,3280,475
2009-2013,B01001_26_female,228757,265501,148709,33851,319066,255809,291360,414203,811411,280097,51110
2009-2013,B01001_27_under_5_years,12460,16115,8439,1849,16253,14772,16720,22777,51286,16491,3257
2009-2013,B01001_28_5_to_9_years,13750,16497,9208,2032,19090,16699,17159,24898,44977,17592,3217
2009-2013,B01001_29_10_to_14_years,14964,16885,9945,2087,20121,17725,17695,25372,44276,16266,3644
2009-2013,B01001_30_15_to_17_years,9334,10684,6145,1447,13185,10579,11396,16049,28901,10651,2114
