estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,ma,ma,ma,ma,ma,nh,nh
2013-2017,CHARITER,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003
2013-2017,LOGRECNO,0000017,0000021,0000023,0000024,0000025,0000020,0000021
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,25,25,25,25,25,33,33
2013-2017,GEO_ID,05000US25009,05000US25017,05000US25021,05000US25023,05000US25025,05000US33015,05000US33017
2013-2017,GEO_NAME,"Essex County, Massachusetts","Middlesex County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Rockingham County, New Hampshire","Strafford County, New Hampshire"
2013-2017,B01003_1_total,775860,1582857,694389,509114,780685,302479,126552
2013-2017,B01001_1_total,775860,1582857,694389,509114,780685,302479,126552
2013-2017,B01001_2_male,373886,773112,333237,247788,377572,149778,61938
2013-2017,B01001_3_under_5_years,22375,44453,19123,13901,21592,7133,3214
2013-2017,B01001_4_5_to_9_years,22489,44310,20480,15504,17446,8265,3577
2013-2017,B01001_5_10_to_14_years,25888,46168,22483,17648,17534,9558,3514
2013-2017,B01001_6_15_to_17_years,15806,29092,14047,11059,10838,6260,2177
2013-2017,B01001_7_18_and_19_years,10609,23359,8694,6526,14950,3477,2967
2013-2017,B01001_8_20_years,5265,10651,4168,3242,8099,1574,1570
2013-2017,B01001_9_21_years,5334,10422,3897,3165,7764,1269,1736
2013-2017,B01001_10_22_to_24_years,15527,34193,12527,9524,22381,6038,3297
2013-2017,B01001_11_25_to_29_years,23745,61658,20943,13607,49987,8981,4220
2013-2017,B01001_12_30_to_34_years,22699,59682,21369,13178,38607,8399,3799
2013-2017,B01001_13_35_to_39_years,22083,51371,20680,13498,26513,8314,3615
2013-2017,B01001_14_40_to_44_years,22911,51775,21813,15901,23443,9580,3673
2013-2017,B01001_15_45_to_49_years,26375,54279,24486,18692,22051,11770,3973
2013-2017,B01001_16_50_to_54_years,28876,57022,26360,20054,22015,13399,4623
2013-2017,B01001_17_55_to_59_years,27990,52569,23949,18531,20040,13179,4674
2013-2017,B01001_18_60_and_61_years,9813,19294,9375,6961,7334,4651,1349
2013-2017,B01001_19_62_to_64_years,13465,24885,11902,9758,10227,5884,2096
2013-2017,B01001_20_65_and_66_years,8338,16183,7148,6170,5650,3976,1574
2013-2017,B01001_21_67_to_69_years,11096,18235,9019,7762,6808,4520,1515
2013-2017,B01001_22_70_to_74_years,12527,23862,11400,9479,9681,5714,1881
2013-2017,B01001_23_75_to_79_years,8311,16752,7940,5994,6432,3589,1369
2013-2017,B01001_24_80_to_84_years,6169,11660,5754,4165,4383,2199,902
2013-2017,B01001_25_85_years_and_over,6195,11237,5680,3469,3797,2049,623
2013-2017,B01001_26_female,401974,809745,361152,261326,403113,152701,64614
2013-2017,B01001_27_under_5_years,21419,42906,18305,13111,21080,6838,3045
2013-2017,B01001_28_5_to_9_years,22247,42716,20193,14857,17573,8549,3204
2013-2017,B01001_29_10_to_14_years,23834,44359,21326,16411,16520,8724,3582
2013-2017,B01001_30_15_to_17_years,14968,27455,13349,10623,10464,5954,2050
2013-2017,B01001_31_18_and_19_years,10357,22849,9016,6301,17922,2950,3580
2013-2017,B01001_32_20_years,5679,10278,3572,3125,9656,1420,1869
2013-2017,B01001_33_21_years,5188,9830,4422,3296,8449,1131,2066
2013-2017,B01001_34_22_to_24_years,14587,33273,13571,8786,22063,5602,3341
2013-2017,B01001_35_25_to_29_years,23480,61015,22392,13007,51558,8140,3791
2013-2017,B01001_36_30_to_34_years,23755,58942,22509,13839,38510,8353,3793
2013-2017,B01001_37_35_to_39_years,23561,51420,21327,14919,27803,8718,3311
2013-2017,B01001_38_40_to_44_years,24891,54005,23835,16124,22441,9799,3939
2013-2017,B01001_39_45_to_49_years,28875,56991,26237,19961,22673,12289,4077
2013-2017,B01001_40_50_to_54_years,31448,59529,27969,21024,22860,13750,4806
2013-2017,B01001_41_55_to_59_years,30114,56314,26200,19801,22316,13268,4435
2013-2017,B01001_42_60_and_61_years,10559,19997,10244,7640,8483,4491,1804
2013-2017,B01001_43_62_to_64_years,15956,27642,12753,10736,11186,6326,2189
2013-2017,B01001_44_65_and_66_years,9538,17240,7854,6449,6866,4197,1481
2013-2017,B01001_45_67_to_69_years,11897,22939,10357,8764,8693,5355,1787
2013-2017,B01001_46_70_to_74_years,15948,28325,14171,11744,11830,5826,2087
2013-2017,B01001_47_75_to_79_years,10917,21466,10333,8482,8662,4512,1613
2013-2017,B01001_48_80_to_84_years,9545,17774,9361,5528,7035,3038,1288
2013-2017,B01001_49_85_years_and_over,13211,22480,11856,6798,8470,3471,1476
2013-2017,B02001_1_total,775860,1582857,694389,509114,780685,302479,126552
2013-2017,B02001_2_white_alone,625697,1233520,551177,427383,431286,287519,117831
2013-2017,B02001_3_black_or_african_american_alone,31374,81673,45770,46890,175509,2214,1097
2013-2017,B02001_4_american_indian_and_alaska_native_alone,1717,2498,734,726,2720,384,59
2013-2017,B02001_5_asian_alone,26564,177193,71910,6320,67756,5808,4154
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,236,474,214,160,176,0,0
2013-2017,B02001_7_some_other_race_alone,69098,41190,9153,15823,55320,1628,397
2013-2017,B02001_8_two_or_more_races,21174,46309,15431,11812,47918,4926,3014
2013-2017,B02001_9_two_races_including_some_other_race,3597,6060,2092,2505,4837,467,290
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",17577,40249,13339,9307,43081,4459,2724
2013-2017,B11001_1_total,291659,593784,262324,184195,303676,119955,48543
2013-2017,B11001_2_family_households,195222,385660,173787,131072,151644,83861,31265
2013-2017,B11001_3_married-couple_family,142008,306560,139865,100458,87496,68130,24838
2013-2017,B11001_4_other_family,53214,79100,33922,30614,64148,15731,6427
2013-2017,"B11001_5_male_householder,_no_wife_present",13487,21655,8630,7602,14653,5221,2293
2013-2017,"B11001_6_female_householder,_no_husband_present",39727,57445,25292,23012,49495,10510,4134
2013-2017,B11001_7_nonfamily_households,96437,208124,88537,53123,152032,36094,17278
2013-2017,B11001_8_householder_living_alone,80048,157103,70933,44263,108444,27864,12102
2013-2017,B11001_9_householder_not_living_alone,16389,51021,17604,8860,43588,8230,5176
2013-2017,B15002_1_total,534288,1106543,485216,352035,536354,217737,81763
2013-2017,B15002_2_male,250593,530464,227818,167219,256968,106204,39886
2013-2017,B15002_3_no_schooling_completed,4279,6175,2301,1314,6195,444,246
2013-2017,B15002_4_nursery_to_4th_grade,2558,2874,697,746,3890,72,68
2013-2017,B15002_5_5th_and_6th_grade,3563,3726,1160,739,5318,205,36
2013-2017,B15002_6_7th_and_8th_grade,4058,6037,1661,1726,5684,855,515
2013-2017,B15002_7_9th_grade,3213,4032,1105,1448,3967,770,519
2013-2017,B15002_8_10th_grade,3278,4382,2064,2521,4037,1128,703
2013-2017,B15002_9_11th_grade,3453,4575,2022,2138,4266,1232,681
2013-2017,"B15002_10_12th_grade,_no_diploma",3805,6797,3131,2726,4734,1303,629
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),67168,108387,46836,50845,62859,28060,11160
2013-2017,"B15002_12_some_college,_less_than_1_year",11980,20295,9843,9418,8014,6529,2907
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",29579,47631,22834,21476,27281,13662,5300
2013-2017,B15002_14_associate's_degree,15975,26139,13917,13935,10405,9216,3449
2013-2017,B15002_15_bachelor's_degree,58938,143367,65115,38142,63165,27243,8440
2013-2017,B15002_16_master's_degree,26799,92139,33917,13954,28499,11734,3741
