estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2013-2017,LOGRECNO,0000055,0000069,0000073,0000082,0000123,0000128,0000138,0000141,0000196,0000211,0000225,0000232,0000261
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,48,48,48,48,48,48,48,48,48,48,48,48,48
2013-2017,GEO_ID,05000US48085,05000US48113,05000US48121,05000US48139,05000US48221,05000US48231,05000US48251,05000US48257,05000US48367,05000US48397,05000US48425,05000US48439,05000US48497
2013-2017,GEO_NAME,"Collin County, Texas","Dallas County, Texas","Denton County, Texas","Ellis County, Texas","Hood County, Texas","Hunt County, Texas","Johnson County, Texas","Kaufman County, Texas","Parker County, Texas","Rockwall County, Texas","Somervell County, Texas","Tarrant County, Texas","Wise County, Texas"
2013-2017,B01003_1_total,914075,2552213,781321,164092,55418,90322,160173,114852,125963,90414,8650,1983675,63247
2013-2017,B01001_1_total,914075,2552213,781321,164092,55418,90322,160173,114852,125963,90414,8650,1983675,63247
2013-2017,B01001_2_male,448915,1257751,384390,80837,27199,44432,79887,56347,62545,44463,4155,971142,31766
2013-2017,B01001_3_under_5_years,29804,99674,26439,5620,1602,2859,5447,4074,3910,2878,189,73134,2161
2013-2017,B01001_4_5_to_9_years,35084,98577,28359,6428,1525,2962,5942,4532,4782,3788,345,77074,2165
2013-2017,B01001_5_10_to_14_years,38038,95271,30649,6624,1894,3289,6442,4680,4276,3659,221,77111,2341
2013-2017,B01001_6_15_to_17_years,22132,54577,17526,4083,1065,1894,3718,2818,2776,2420,166,44829,1470
2013-2017,B01001_7_18_and_19_years,11673,33741,10339,2301,607,1351,2144,1500,1588,1278,68,26356,713
2013-2017,B01001_8_20_years,4765,18220,5740,1295,395,480,947,804,814,635,14,12300,451
2013-2017,B01001_9_21_years,5183,17764,5234,1010,214,688,959,667,511,429,64,14300,501
2013-2017,B01001_10_22_to_24_years,16195,55786,15040,3130,720,1929,3153,1784,2438,1417,146,40365,941
2013-2017,B01001_11_25_to_29_years,26315,104680,28460,5050,1412,2921,5030,3343,3569,2163,249,72587,1997
2013-2017,B01001_12_30_to_34_years,30389,100627,28725,4986,1459,2643,5195,3873,3657,2795,322,71658,2057
2013-2017,B01001_13_35_to_39_years,34205,91200,28441,5542,1204,2840,5362,4070,3748,3194,167,66334,1866
2013-2017,B01001_14_40_to_44_years,37700,85695,31310,4945,1471,2322,5057,3866,3870,3329,331,66658,1891
2013-2017,B01001_15_45_to_49_years,36356,82301,29433,5578,1655,2885,5440,3784,4255,3537,257,65936,2184
2013-2017,B01001_16_50_to_54_years,33214,80866,27392,5619,1767,3191,5663,3962,4944,3127,292,65946,2392
2013-2017,B01001_17_55_to_59_years,27401,72341,22261,5205,1849,3122,5318,3724,4908,3030,303,59087,2483
2013-2017,B01001_18_60_and_61_years,8704,25532,6920,2040,839,1149,2099,1151,1552,829,124,20325,760
2013-2017,B01001_19_62_to_64_years,11314,31817,10247,2560,1301,1521,2214,1709,2092,1231,147,26706,1022
2013-2017,B01001_20_65_and_66_years,7146,19273,5905,1411,1028,975,1569,805,1315,750,194,15468,544
2013-2017,B01001_21_67_to_69_years,8962,22981,7108,2012,1064,1375,1933,1382,1965,1081,144,20517,1156
2013-2017,B01001_22_70_to_74_years,10806,27370,8891,2396,1527,1655,2709,1757,2437,1289,159,22476,1167
2013-2017,B01001_23_75_to_79_years,6965,18482,5168,1599,1399,1258,1873,889,1627,957,77,14655,798
2013-2017,B01001_24_80_to_84_years,3981,11126,2970,774,719,659,1057,762,794,284,59,9864,294
2013-2017,B01001_25_85_years_and_over,2583,9850,1833,629,483,464,616,411,717,363,117,7456,412
2013-2017,B01001_26_female,465160,1294462,396931,83255,28219,45890,80286,58505,63418,45951,4495,1012533,31481
2013-2017,B01001_27_under_5_years,29005,94941,25102,5343,1561,2774,5103,4096,3752,2779,263,70177,2069
2013-2017,B01001_28_5_to_9_years,35570,97437,27792,5959,1648,3040,6023,4471,3810,3113,182,75094,2157
2013-2017,B01001_29_10_to_14_years,34880,89430,28744,6463,1560,2978,5623,4542,5013,4137,426,73433,2172
2013-2017,B01001_30_15_to_17_years,21291,52975,16598,3897,980,1862,3704,2669,2813,2287,235,43227,1345
2013-2017,B01001_31_18_and_19_years,10452,31863,10826,2075,681,1416,1865,1345,1434,1080,94,25789,695
2013-2017,B01001_32_20_years,4308,16195,6183,1080,235,705,1068,677,502,383,35,13805,403
2013-2017,B01001_33_21_years,4843,15869,5669,944,221,590,1027,749,555,415,57,12075,271
2013-2017,B01001_34_22_to_24_years,15925,58131,14949,3148,727,1733,2696,1760,2439,1412,170,41025,1099
2013-2017,B01001_35_25_to_29_years,26869,105440,29468,5130,1308,2804,4941,3637,3390,2222,244,75187,1872
2013-2017,B01001_36_30_to_34_years,33270,100976,30100,5425,1559,2671,5068,4111,3752,3081,241,74546,1906
