estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003
2013-2017,LOGRECNO,0000020,0000032,0000048,0000091,0000096,0000113,0000158,0000182,0000249
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,48,48,48,48,48,48,48,48,48
2013-2017,GEO_ID,05000US48015,05000US48039,05000US48071,05000US48157,05000US48167,05000US48201,05000US48291,05000US48339,05000US48473
2013-2017,GEO_NAME,"Austin County, Texas","Brazoria County, Texas","Chambers County, Texas","Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas","Liberty County, Texas","Montgomery County, Texas","Waller County, Texas"
2013-2017,B01003_1_total,29292,345995,39283,711421,321184,4525519,79884,535187,48443
2013-2017,B01001_1_total,29292,345995,39283,711421,321184,4525519,79884,535187,48443
2013-2017,B01001_2_male,14474,175156,19679,349697,158564,2251060,39491,265034,24209
2013-2017,B01001_3_under_5_years,860,12675,1390,25622,10639,178191,2980,18661,1875
2013-2017,B01001_4_5_to_9_years,828,14834,1951,28702,11595,174408,2924,21273,1949
2013-2017,B01001_5_10_to_14_years,1231,12184,1243,29806,11256,172252,2829,20364,1375
2013-2017,B01001_6_15_to_17_years,625,7858,928,17674,7044,99314,1733,12490,1048
2013-2017,B01001_7_18_and_19_years,281,4227,631,9310,4362,59827,936,6639,1680
2013-2017,B01001_8_20_years,230,2510,466,4518,2217,32317,487,3544,615
2013-2017,B01001_9_21_years,97,1719,190,3437,2073,32086,478,3279,728
2013-2017,B01001_10_22_to_24_years,543,6669,622,13337,5898,98194,1830,9492,2052
2013-2017,B01001_11_25_to_29_years,824,11550,1040,19564,10370,186476,2807,16359,1278
2013-2017,B01001_12_30_to_34_years,782,13044,1344,22847,10672,185226,2751,17410,1257
2013-2017,B01001_13_35_to_39_years,671,12786,869,25706,10099,166127,2116,17945,1017
2013-2017,B01001_14_40_to_44_years,966,12986,1707,26301,10345,159300,2606,18441,1359
2013-2017,B01001_15_45_to_49_years,963,12446,1512,25521,10511,145168,2638,18515,1313
