estimate_year,index,FL_011,FL_086,FL_099
2013-2017,FILEID,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5
2013-2017,STATE,fl,fl,fl
2013-2017,CHARITER,000,000,000
2013-2017,SEQUENCE,0003,0003,0003
2013-2017,LOGRECNO,0000018,0000055,0000062
2013-2017,SUMMARY_LEVEL,050,050,050
2013-2017,STATE_FIPS,12,12,12
2013-2017,GEO_ID,05000US12011,05000US12086,05000US12099
2013-2017,GEO_NAME,"Broward County, Florida","Miami-Dade County, Florida","Palm Beach County, Florida"
2013-2017,B01003_1_total,1890416,2702602,1426772
2013-2017,B01001_1_total,1890416,2702602,1426772
2013-2017,B01001_2_male,920265,1311997,691154
2013-2017,B01001_3_under_5_years,56214,79390,37417
2013-2017,B01001_4_5_to_9_years,57916,75937,39359
2013-2017,B01001_5_10_to_14_years,56133,78500,39710
2013-2017,B01001_6_15_to_17_years,36610,48314,25360
2013-2017,B01001_7_18_and_19_years,21792,32304,15898
2013-2017,B01001_8_20_years,11600,18514,8201
2013-2017,B01001_9_21_years,11567,17798,7939
2013-2017,B01001_10_22_to_24_years,35261,54789,25147
2013-2017,B01001_11_25_to_29_years,63345,99754,44024
2013-2017,B01001_12_30_to_34_years,62553,95304,41358
2013-2017,B01001_13_35_to_39_years,62107,92850,40227
2013-2017,B01001_14_40_to_44_years,61171,98183,41775
2013-2017,B01001_15_45_to_49_years,66415,99893,45055
2013-2017,B01001_16_50_to_54_years,71004,98953,48397
2013-2017,B01001_17_55_to_59_years,65460,81528,45597
2013-2017,B01001_18_60_and_61_years,22914,28928,17065
2013-2017,B01001_19_62_to_64_years,29149,38453,23854
2013-2017,B01001_20_65_and_66_years,18534,23131,15937
2013-2017,B01001_21_67_to_69_years,25478,30987,23825
2013-2017,B01001_22_70_to_74_years,31830,43752,31875
2013-2017,B01001_23_75_to_79_years,21997,33011,28281
2013-2017,B01001_24_80_to_84_years,15448,22041,21224
2013-2017,B01001_25_85_years_and_over,15767,19683,23629
2013-2017,B01001_26_female,970151,1390605,735618
2013-2017,B01001_27_under_5_years,54163,76810,35846
2013-2017,B01001_28_5_to_9_years,52585,74127,37961
2013-2017,B01001_29_10_to_14_years,57810,73796,38137
2013-2017,B01001_30_15_to_17_years,35209,46425,24329
2013-2017,B01001_31_18_and_19_years,20005,30746,15099
2013-2017,B01001_32_20_years,10423,18643,7937
2013-2017,B01001_33_21_years,10399,18635,7722
2013-2017,B01001_34_22_to_24_years,35556,51575,23560
2013-2017,B01001_35_25_to_29_years,63859,96724,41819
2013-2017,B01001_36_30_to_34_years,65060,93579,40563
2013-2017,B01001_37_35_to_39_years,63279,93692,41249
2013-2017,B01001_38_40_to_44_years,67038,97775,42545
2013-2017,B01001_39_45_to_49_years,70021,100789,47733
2013-2017,B01001_40_50_to_54_years,73015,103895,51264
2013-2017,B01001_41_55_to_59_years,66114,89632,50616
2013-2017,B01001_42_60_and_61_years,24601,33076,18817
2013-2017,B01001_43_62_to_64_years,35107,48969,26685
2013-2017,B01001_44_65_and_66_years,21156,29025,20433
2013-2017,B01001_45_67_to_69_years,28441,39038,27340
2013-2017,B01001_46_70_to_74_years,37293,55315,40381
2013-2017,B01001_47_75_to_79_years,28365,42684,33909
2013-2017,B01001_48_80_to_84_years,22247,35977,27519
2013-2017,B01001_49_85_years_and_over,28405,39678,34154
2013-2017,B02001_1_total,1890416,2702602,1426772
2013-2017,B02001_2_white_alone,1165004,2043272,1058016
2013-2017,B02001_3_black_or_african_american_alone,536589,485602,264224
2013-2017,B02001_4_american_indian_and_alaska_native_alone,5050,4040,2268
2013-2017,B02001_5_asian_alone,67822,42770,37232
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,1102,724,510
2013-2017,B02001_7_some_other_race_alone,57417,84892,33692
2013-2017,B02001_8_two_or_more_races,57432,41302,30830
2013-2017,B02001_9_two_races_including_some_other_race,11864,12656,6175
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",45568,28646,24655
