estimate_year,index,MD_009,MD_017,MD_021,MD_031,MD_033,DC_001,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2013-2017,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2013-2017,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2013-2017,LOGRECNO,0000016,0000020,0000022,0000027,0000028,0000006,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2013-2017,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2013-2017,STATE_FIPS,24,24,24,24,24,11,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2013-2017,GEO_ID,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US11001,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2013-2017,GEO_NAME,"Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","District of Columbia, District of Columbia","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2013-2017,B01003_1_total,90824,156021,246105,1039198,905161,672391,229534,14331,49795,1142004,68406,374558,450763,7359,130159,141159,38991,154710,23580,13843,28135,41379,16117,55673
2013-2017,B01001_1_total,90824,156021,246105,1039198,905161,672391,229534,14331,49795,1142004,68406,374558,450763,7359,130159,141159,38991,154710,23580,13843,28135,41379,16117,55673
2013-2017,B01001_2_male,45184,75368,121305,501571,435878,319046,114403,7195,25057,565593,33858,185575,224843,3646,63945,70984,19445,74501,11621,6801,12890,20675,8482,27488
