"Name","Population
2017","Population
2010","Population
2000"
"Capital Region","6,090,196","5,636,232","4,837,428"
"District of Columbia","672,391","601,723","572,059"
"Maryland","","",""
"Calvert County","   90,824"," 88,737"," 74,563"
"Charles County","  156,021","146,551","120,546"
"Frederick County","  246,105","233,385","195,277"
"Montgomery County","1,039,198","971,777","873,341"
"Prince George's County","  905,161","863,420","801,515"
"Virginia","","",""
"Alexandria city","  154,710","  139,966","128,283"
"Arlington County","  229,534","  207,627","189,453"
"Clarke County","   14,331","   14,034"," 12,652"
"Culpeper County","   49,795","   46,689"," 34,262"
"Fairfax city","   23,580","   22,565"," 21,498"
"Fairfax County","1,142,004","1,081,726","969,749"
"Falls Church city","   13,843","   12,332"," 10,377"
"Fauquier County","   68,406","   65,203"," 55,139"
"Fredericksburg city","   28,135","   24,286"," 19,279"
"Loudoun County","  374,558","  312,311","169,599"
"Manassas city","   41,379","   37,821"," 35,135"
"Manassas Park city","   16,117","   14,273"," 10,290"
"Prince William County","  450,763","  402,002","280,813"
"Rappahannock County","    7,359","    7,373","  6,983"
"Spotsylvania County","  130,159","  122,397"," 90,395"
"Stafford County","  141,159","  128,961"," 92,446"
"Warren County","   38,991","   37,575"," 31,584"
"West Virginia","","",""
"Jefferson County","55,673","53,498","42,190"
