"Name","Share Single-Family
2017","Share Owner-Occupied
2017","Median Home Value
2017"
"District of Columbia","37.7","37.6","537,400"
"Maryland","","",""
"Calvert County","94.8","75.4","347,200"
"Charles County","90.7","72.2","294,000"
"Frederick County","83.9","71.1","315,400"
"Montgomery County","67","62.7","467,500"
"Prince George's County","68.8","57.4","272,900"
"Virginia","","",""
"Arlington County","38.5","40.8","643,300"
"Clarke County","90.8","66.4","333,100"
"Culpeper County","89.2","67","266,400"
"Fairfax County","71.9","64.9","534,800"
"Fauquier County","93.3","71.2","370,000"
"Loudoun County","83.5","74.9","475,500"
"Prince William County","83.5","69.2","358,300"
"Rappahannock County","98.5","59.7","358,600"
"Spotsylvania County","91.6","71.9","265,600"
"Stafford County","91.5","72.6","327,600"
"Warren County","90.9","67.3","231,000"
"Alexandria city","36.4","39.2","537,900"
"Fairfax city","75.7","67.3","501,900"
"Falls Church city","57.6","54.7","742,000"
"Fredericksburg city","51.6","32.4","341,200"
"Manassas city","71.1","59.3","307,000"
"Manassas Park city","77.7","65.9","263,300"
"West Virginia","","",""
"Jefferson County","91","67.6","227,300"
