"statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied","median_gross_rent_as_a_percentage_of_household_income","area_type","county_name_state_code","series_id","period","cpi_index","cpi_indexed_2017","housing_units_pct_change_from_2000"
11,"001","2000",572059,274845,227496,58071,NA,"District of Columbia","District of Columbia","DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Washington, DC","CUUR0100AA0","M13",282.5,0.691,12.12
24,"009","2000",74563,27576,244863,95434,NA,"Calvert","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Calvert County, MD","CUUR0100AA0","M13",282.5,0.691,26.14
24,"017","2000",120546,43903,221418,90013,NA,"Charles","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Charles County, MD","CUUR0100AA0","M13",282.5,0.691,34.12
24,"021","2000",195277,73017,231838,87230,NA,"Frederick","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Frederick County, MD","CUUR0100AA0","M13",282.5,0.691,29.68
24,"031","2000",873341,334632,320984,103547,NA,"Montgomery","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Montgomery County, MD","CUUR0100AA0","M13",282.5,0.691,15.53
24,"033","2000",801515,302378,210709,79965,NA,"Prince George's","Maryland","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Prince George's County, MD","CUUR0100AA0","M13",282.5,0.691,9.24
51,"013","2000",189453,90426,379740,91174,NA,"Arlington","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Arlington County, VA","CUUR0100AA0","M13",282.5,0.691,23.47
51,"043","2000",12652,5388,201881,74676,NA,"Clarke","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Clarke County, VA","CUUR0100AA0","M13",282.5,0.691,16.67
51,"047","2000",34262,12871,178437,65543,NA,"Culpeper","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Culpeper County, VA","CUUR0100AA0","M13",282.5,0.691,42.23
51,"059","2000",969749,359411,337627,117294,NA,"Fairfax","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Fairfax County, VA","CUUR0100AA0","M13",282.5,0.691,14.42
51,"061","2000",55139,21046,235456,89724,NA,"Fauquier","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Fauquier County, VA","CUUR0100AA0","M13",282.5,0.691,25.5
51,"107","2000",169599,62160,290159,116712,NA,"Loudoun","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Loudoun County, VA","CUUR0100AA0","M13",282.5,0.691,102.96
51,"153","2000",280813,98052,216498,95456,NA,"Prince William","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Prince William County, VA","CUUR0100AA0","M13",282.5,0.691,48.86
51,"157","2000",6983,3303,187120,66488,NA,"Rappahannock","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Rappahannock County, VA","CUUR0100AA0","M13",282.5,0.691,19.44
51,"177","2000",90395,33329,185962,83249,NA,"Spotsylvania","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Spotsylvania County, VA","CUUR0100AA0","M13",282.5,0.691,39.8
51,"179","2000",92446,31405,226339,96685,NA,"Stafford","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Stafford County, VA","CUUR0100AA0","M13",282.5,0.691,50.76
51,"187","2000",31584,13299,157453,61392,NA,"Warren","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Warren County, VA","CUUR0100AA0","M13",282.5,0.691,21.72
51,"510","2000",128283,64251,365847,81120,NA,"Alexandria city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Alexandria city, VA","CUUR0100AA0","M13",282.5,0.691,17.49
51,"600","2000",21498,8204,278003,97890,NA,"Fairfax city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Fairfax city, VA","CUUR0100AA0","M13",282.5,0.691,7.79
51,"610","2000",10377,4725,401013,108428,NA,"Falls Church city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Falls Church city, VA","CUUR0100AA0","M13",282.5,0.691,22.86
51,"630","2000",19279,8888,196527,50051,NA,"Fredericksburg city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Fredericksburg city, VA","CUUR0100AA0","M13",282.5,0.691,29.89
51,"683","2000",35135,12114,223589,87423,NA,"Manassas city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Manassas city, VA","CUUR0100AA0","M13",282.5,0.691,11.04
51,"685","2000",10290,3365,167873,87980,NA,"Manassas Park city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Manassas Park city, VA","CUUR0100AA0","M13",282.5,0.691,45.47
54,"037","2000",42190,17623,168886,64217,NA,"Jefferson","West Virginia","WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Jefferson County, WV","CUUR0100AA0","M13",282.5,0.691,29.45
