"ZCTA","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","STATE","COUNTY","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD","brks"
"20317",0,313,0,-1,0,33,11,"001",61.048,1188913.7411816,1188913.7411816,1,"District of Columbia",NA,"0"
"20615",0,161,0,-1,0,161,24,"009",213.152,2143286.18298912,2143286.18298912,1,"Calvert","County","0"
"21714",0,64,0,-1,0,30,24,"021",660.221,78897.4086015522,78897.4086015522,1,"Frederick","County","0"
"21717",0,11,0,-1,0,11,24,"021",660.221,967527.552774429,967527.552774429,1,"Frederick","County","0"
"21762",0,107,0,-1,0,107,24,"021",660.221,942473.198928714,942473.198928714,1,"Frederick","County","0"
"21790",0,29,0,-1,0,29,24,"021",660.221,10134575.0836089,10134575.0836089,1,"Frederick","County","0"
"20838",0,105,0,-1,0,105,24,"031",491.254,7012613.16269064,7012613.16269064,1,"Montgomery","County","0"
"20839",0,17,0,-1,0,17,24,"031",491.254,12748897.0177481,12748897.0177481,1,"Montgomery","County","0"
"20899",0,120,0,-1,0,0,24,"031",491.254,191068.137811244,191068.137811244,1,"Montgomery","County","0"
"20130",0,84,0,-1,0,84,51,"043",176.177,21512093.4984629,15897963.6058444,0.739024475092594,"Clarke","County","0"
"20130",0,84,0,-1,0,84,51,"107",515.561,21512093.4984629,86377.5247519314,0.00401530073110286,"Loudoun","County","0"
"20130",0,84,0,-1,0,84,51,"061",647.449,21512093.4984629,5527782.2118969,0.256961611490386,"Fauquier","County","0"
"22718",0,236,0,-1,0,236,51,"047",379.234,64072842.1064873,64040141.3183548,0.999489631065871,"Culpeper","County","0"
"22718",0,236,0,-1,0,236,51,"061",647.449,64072842.1064873,32699.6553105367,0.00051035125390865,"Fauquier","County","0"
"22729",0,30,0,-1,0,30,51,"047",379.234,14520504.3122846,14457428.1418688,0.995656062003132,"Culpeper","County","0"
"20130",0,84,0,-1,0,84,51,"043",176.177,21512093.4984629,15897963.6058444,0.739024475092594,"Clarke","County","0"
"20130",0,84,0,-1,0,84,51,"107",515.561,21512093.4984629,86377.5247519314,0.00401530073110286,"Loudoun","County","0"
"20130",0,84,0,-1,0,84,51,"061",647.449,21512093.4984629,5527782.2118969,0.256961611490386,"Fauquier","County","0"
"22718",0,236,0,-1,0,236,51,"047",379.234,64072842.1064873,64040141.3183548,0.999489631065871,"Culpeper","County","0"
"22718",0,236,0,-1,0,236,51,"061",647.449,64072842.1064873,32699.6553105367,0.00051035125390865,"Fauquier","County","0"
"20118",0,2,0,-1,0,2,51,"107",515.561,15748.1495354176,15748.1495354176,1,"Loudoun","County","0"
"20130",0,84,0,-1,0,84,51,"043",176.177,21512093.4984629,15897963.6058444,0.739024475092594,"Clarke","County","0"
"20130",0,84,0,-1,0,84,51,"107",515.561,21512093.4984629,86377.5247519314,0.00401530073110286,"Loudoun","County","0"
"20130",0,84,0,-1,0,84,51,"061",647.449,21512093.4984629,5527782.2118969,0.256961611490386,"Fauquier","County","0"
"25432",0,68,0,-1,0,61,54,"037",209.635,2131592.98817945,2131592.98817945,1,"Jefferson","County","0"
