"ZCTA","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","STATE","COUNTY","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD","brks"
"20045",0,0,-1,-1,0,0,11,"001",61.048,27708.9541533281,27708.9541533281,1,"District of Columbia",NA,"-1"
"20052",0,0,-1,-1,0,0,11,"001",61.048,7060.79088071734,7060.79088071734,1,"District of Columbia",NA,"-1"
"20053",0,0,-1,-1,0,0,11,"001",61.048,101139.7661466,101139.7661466,1,"District of Columbia",NA,"-1"
"20057",0,0,-1,-1,0,0,11,"001",61.048,447112.521534041,447112.521534041,1,"District of Columbia",NA,"-1"
"20064",0,0,-1,-1,0,0,11,"001",61.048,503538.589174271,503538.589174271,1,"District of Columbia",NA,"-1"
"20202",0,0,-1,-1,0,0,11,"001",61.048,18598.0933334832,18598.0933334832,1,"District of Columbia",NA,"-1"
"20204",0,0,-1,-1,0,0,11,"001",61.048,14607.1875597693,14607.1875597693,1,"District of Columbia",NA,"-1"
"20228",0,0,-1,-1,0,0,11,"001",61.048,87302.321443826,87302.321443826,1,"District of Columbia",NA,"-1"
"20230",0,0,-1,-1,0,0,11,"001",61.048,55282.0595757202,55282.0595757202,1,"District of Columbia",NA,"-1"
"20240",0,0,-1,-1,0,0,11,"001",61.048,30669.7362024955,30669.7362024955,1,"District of Columbia",NA,"-1"
"20245",0,0,-1,-1,0,0,11,"001",61.048,59610.97548872,59610.97548872,1,"District of Columbia",NA,"-1"
"20260",0,0,-1,-1,0,0,11,"001",61.048,46319.3049782668,46319.3049782668,1,"District of Columbia",NA,"-1"
"20307",0,0,-1,-1,0,0,11,"001",61.048,338268.771059513,338268.771059513,1,"District of Columbia",NA,"-1"
"20319",0,0,-1,-1,0,0,11,"001",61.048,637665.110141158,637665.110141158,1,"District of Columbia",NA,"-1"
"20373",0,0,-1,-1,0,0,11,"001",61.048,929410.079739928,929410.079739928,1,"District of Columbia",NA,"-1"
"20390",0,0,-1,-1,0,0,11,"001",61.048,11324.4290093184,11324.4290093184,1,"District of Columbia",NA,"-1"
"20405",0,0,-1,-1,0,0,11,"001",61.048,32990.2234453987,32990.2234453987,1,"District of Columbia",NA,"-1"
"20418",0,0,-1,-1,0,0,11,"001",61.048,29342.6695806608,29342.6695806608,1,"District of Columbia",NA,"-1"
"20427",0,0,-1,-1,0,0,11,"001",61.048,16250.5427719788,16250.5427719788,1,"District of Columbia",NA,"-1"
"20506",0,0,-1,-1,0,0,11,"001",61.048,43955.8428889662,43955.8428889662,1,"District of Columbia",NA,"-1"
"20510",0,0,-1,-1,0,0,11,"001",61.048,30596.5678117871,30596.5678117871,1,"District of Columbia",NA,"-1"
"20520",0,0,-1,-1,0,0,11,"001",61.048,63582.8373936415,63582.8373936415,1,"District of Columbia",NA,"-1"
"20535",0,0,-1,-1,0,0,11,"001",61.048,12813.4853732369,12813.4853732369,1,"District of Columbia",NA,"-1"
"20540",0,0,-1,-1,0,0,11,"001",61.048,86576.0746538416,86576.0746538416,1,"District of Columbia",NA,"-1"
"20551",0,0,-1,-1,0,0,11,"001",61.048,23602.5713121336,23602.5713121336,1,"District of Columbia",NA,"-1"
"20553",0,0,-1,-1,0,0,11,"001",61.048,25061.2149235029,25061.2149235029,1,"District of Columbia",NA,"-1"
"20560",0,0,-1,-1,0,0,11,"001",61.048,53771.6301282649,53771.6301282649,1,"District of Columbia",NA,"-1"
"20565",0,0,-1,-1,0,0,11,"001",61.048,163761.117334132,163761.117334132,1,"District of Columbia",NA,"-1"
"20566",0,0,-1,-1,0,0,11,"001",61.048,97943.9833134077,97943.9833134077,1,"District of Columbia",NA,"-1"
"20593",0,0,-1,-1,0,0,11,"001",61.048,73438.7771688933,73438.7771688933,1,"District of Columbia",NA,"-1"
"20742",0,0,-1,-1,0,0,24,"033",482.691,1906351.04848319,1906351.04848319,1,"Prince George's","County","-1"
"22035",0,0,-1,-1,0,0,51,"059",390.969,449044.669057369,449044.669057369,1,"Fairfax","County","-1"
"22185",0,0,-1,-1,0,0,51,"059",390.969,166586.343103349,166586.343103349,1,"Fairfax","County","-1"
"22214",0,0,-1,-1,0,0,51,"013",25.974,104034.585793912,104034.585793912,1,"Arlington","County","-1"
