"county_name_state_code","area_type","unit_type","total_housing_units"
"Rappahannock County, VA","Exurban","total_2000_or_later",197
"Clarke County, VA","Exurban","total_2000_or_later",590
"Warren County, VA","Exurban","total_2000_or_later",1997
"Fauquier County, VA","Exurban","total_2000_or_later",2310
"independent cities of
Fredericksburg, Manassas & Manassas Park","Exurban","total_2000_or_later",3033
"Jefferson County, WV","Exurban","total_2000_or_later",3300
"Culpeper County, VA","Exurban","total_2000_or_later",4085
"Calvert County, MD","Exurban","total_2000_or_later",4731
"Charles County, MD","Exurban","total_2000_or_later",8117
"Spotsylvania County, VA","Exurban","total_2000_or_later",9409
"Stafford County, VA","Exurban","total_2000_or_later",10096
"Frederick County, MD","Exurban","total_2000_or_later",13286
"Prince William County, VA","Exurban","total_2000_or_later",33159
"Loudoun County, VA","Exurban","total_2000_or_later",33735
"Fairfax & Falls Church cities","Suburban","total_2000_or_later",1024
"Prince George's County, MD","Suburban","total_2000_or_later",24522
"Montgomery County, MD","Suburban","total_2000_or_later",32645
"Fairfax County, VA","Suburban","total_2000_or_later",35080
"Alexandria city, VA","Urban","total_2000_or_later",5171
"Arlington County, VA","Urban","total_2000_or_later",8491
"Washington, DC","Urban","total_2000_or_later",12173
