"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20001",11,"001","District of Columbia",NA,5515,12743,30,5660,0.43,0.01,"Urban","0.29",61.048,5795010.17681645,5795010.17681645,1,"8600000US20001","20001",5655793,159593
"20002",11,"001","District of Columbia",NA,3411,21970,218,11982,0.16,0.06,"Urban","0.29",61.048,14223802.9300222,14223802.9300222,1,"8600000US20002","20002",13605793,596109
"20003",11,"001","District of Columbia",NA,3042,9122,392,5734,0.33,0.13,"Urban","0.29",61.048,6467487.2306837,6467487.2306837,1,"8600000US20003","20003",5809903,709427
"20004",11,"001","District of Columbia",NA,488,660,0,8,0.74,0,"Urban","0",61.048,894694.938347777,894694.938347777,1,"8600000US20004","20004",901029,0
"20005",11,"001","District of Columbia",NA,1845,6330,21,389,0.29,0.01,"Urban","0.29",61.048,1132684.48341241,1132684.48341241,1,"8600000US20005","20005",1103657,0
"20006",11,"001","District of Columbia",NA,35,633,0,12,0.06,0,"Urban","0",61.048,918103.727879524,918103.727879524,1,"8600000US20006","20006",879526,0
"20007",11,"001","District of Columbia",NA,300,11570,98,5402,0.03,0.33,"Urban","0.83",61.048,9147943.9090405,9147950.30093496,1.00000069872471,"8600000US20007","20007",7775138,1302727
"20008",11,"001","District of Columbia",NA,611,14746,114,3118,0.04,0.19,"Urban","0.29",61.048,7934014.35088521,7934014.35088521,1,"8600000US20008","20008",7871408,33133
"20009",11,"001","District of Columbia",NA,3075,23915,132,3905,0.13,0.04,"Urban","0.29",61.048,3440816.01026237,3440816.01026237,1,"8600000US20009","20009",3404526,25629
"20010",11,"001","District of Columbia",NA,1247,11515,34,3985,0.11,0.03,"Urban","0.29",61.048,2810689.6595735,2810689.6595735,1,"8600000US20010","20010",2804363,16260
