"county_name","area_type","total_new_units","single_family_prop","group"
"Rappahannock County","Exurban",441,100,"Exurban-Rappahannock County"
"Clarke County","Exurban",1200,96.08,"Exurban-Clarke County"
"Manassas city","Exurban",1229,68.84,"Exurban-Manassas city"
"Manassas Park city","Exurban",1358,38.44,"Exurban-Manassas Park city"
"Fredericksburg city","Exurban",2460,65.53,"Exurban-Fredericksburg city"
"Warren County","Exurban",2603,99.27,"Exurban-Warren County"
"Culpeper County","Exurban",4958,94.7,"Exurban-Culpeper County"
"Jefferson County","Exurban",5437,97.26,"Exurban-Jefferson County"
"Fauquier County","Exurban",5553,93.64,"Exurban-Fauquier County"
"Calvert County","Exurban",7246,92.49,"Exurban-Calvert County"
"Spotsylvania County","Exurban",13083,89.47,"Exurban-Spotsylvania County"
"Stafford County","Exurban",14353,93.17,"Exurban-Stafford County"
"Charles County","Exurban",14486,86.16,"Exurban-Charles County"
"Frederick County","Exurban",18662,84.84,"Exurban-Frederick County"
"Prince William County","Exurban",45877,87.39,"Exurban-Prince William County"
"Loudoun County","Exurban",52018,85.01,"Exurban-Loudoun County"
"Falls Church city","Suburban",875,31.66,"Suburban-Falls Church city"
"Fairfax city","Suburban",892,80.49,"Suburban-Fairfax city"
"Prince George's County","Suburban",39856,72.43,"Suburban-Prince George's County"
"Montgomery County","Suburban",49384,52.3,"Suburban-Montgomery County"
"Fairfax County","Suburban",52203,59.64,"Suburban-Fairfax County"
"Alexandria city","Urban",8717,24.52,"Urban-Alexandria city"
"Arlington County","Urban",18182,16.81,"Urban-Arlington County"
"District of Columbia","Urban",32015,17.28,"Urban-District of Columbia"
