"county_name_state_code","area_type","total_new_units","single_family_prop","group"
"Rappahannock County, VA","Exurban",522,100,"Exurban-Rappahannock County, VA"
"Clarke County, VA","Exurban",1127,97.78,"Exurban-Clarke County, VA"
"Manassas Park city, VA","Exurban",1344,41.89,"Exurban-Manassas Park city, VA"
"Manassas city, VA","Exurban",1385,64.33,"Exurban-Manassas city, VA"
"Fredericksburg city, VA","Exurban",2585,65.18,"Exurban-Fredericksburg city, VA"
"Warren County, VA","Exurban",2604,99.73,"Exurban-Warren County, VA"
"Culpeper County, VA","Exurban",5058,93.95,"Exurban-Culpeper County, VA"
"Fauquier County, VA","Exurban",5663,94.47,"Exurban-Fauquier County, VA"
"Jefferson County, WV","Exurban",6021,97.24,"Exurban-Jefferson County, WV"
"Calvert County, MD","Exurban",7513,93.36,"Exurban-Calvert County, MD"
"Spotsylvania County, VA","Exurban",14003,90.02,"Exurban-Spotsylvania County, VA"
"Stafford County, VA","Exurban",14831,93,"Exurban-Stafford County, VA"
"Charles County, MD","Exurban",15207,86.12,"Exurban-Charles County, MD"
"Frederick County, MD","Exurban",19739,85.1,"Exurban-Frederick County, MD"
"Prince William County, VA","Exurban",46978,86.6,"Exurban-Prince William County, VA"
"Loudoun County, VA","Exurban",56221,84.77,"Exurban-Loudoun County, VA"
"Falls Church city, VA","Suburban",988,32.19,"Suburban-Falls Church city, VA"
"Fairfax city, VA","Suburban",1029,82.9,"Suburban-Fairfax city, VA"
"Prince George's Cnty, MD","Suburban",41176,72.04,"Suburban-Prince George's County, MD"
"Montgomery County, MD","Suburban",51952,51.51,"Suburban-Montgomery County, MD"
"Fairfax County, VA","Suburban",53897,58.49,"Suburban-Fairfax County, VA"
"Alexandria city, VA","Urban",9639,25.74,"Urban-Alexandria city, VA"
"Arlington County, VA","Urban",19797,18.15,"Urban-Arlington County, VA"
"Washington, DC","Urban",35980,16.45,"Urban-Washington, DC"
