"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20001","District of Columbia",NA,11,"001",5515,12743,0.43,0.01,30,5660,61.048,5795010.17681645,5795010.17681645,1,"0.46"
"20002","District of Columbia",NA,11,"001",3411,21970,0.16,0.06,218,11982,61.048,14223802.9300222,14223802.9300222,1,"0.46"
"20003","District of Columbia",NA,11,"001",3042,9122,0.33,0.13,392,5734,61.048,6467487.2306837,6467487.2306837,1,"0.46"
"20004","District of Columbia",NA,11,"001",488,660,0.74,0,0,8,61.048,894694.938347777,894694.938347777,1,"0"
"20005","District of Columbia",NA,11,"001",1845,6330,0.29,0.01,21,389,61.048,1132684.48341241,1132684.48341241,1,"0.46"
"20006","District of Columbia",NA,11,"001",35,633,0.06,0,0,12,61.048,918103.727879524,918103.727879524,1,"0"
"20007","District of Columbia",NA,11,"001",300,11570,0.03,0.33,98,5402,61.048,9147943.9090405,9147950.30093496,1.00000069872471,"0.46"
"20007","Arlington","County",51,"013",300,11570,0.03,0.33,98,5402,25.974,9147943.9090405,2.21631234884262,2.42274370162277e-07,"0.46"
"20008","District of Columbia",NA,11,"001",611,14746,0.04,0.19,114,3118,61.048,7934014.35088521,7934014.35088521,1,"0.46"
"20009","District of Columbia",NA,11,"001",3075,23915,0.13,0.04,132,3905,61.048,3440816.01026237,3440816.01026237,1,"0.46"
"20010","District of Columbia",NA,11,"001",1247,11515,0.11,0.03,34,3985,61.048,2810689.6595735,2810689.6595735,1,"0.46"
"20011","Montgomery","County",24,"031",903,23461,0.04,0.1,91,13979,491.254,12660480.7999454,1.53183937072754e-05,1.20993775428667e-12,"0.46"
"20011","District of Columbia",NA,11,"001",903,23461,0.04,0.1,91,13979,61.048,12660480.7999454,12660466.3018587,0.999998854854972,"0.46"
"20011","Prince George's","County",24,"033",903,23461,0.04,0.1,91,13979,482.691,12660480.7999454,1.18751108522015,9.37966814992739e-08,"0.46"
"20012","Montgomery","County",24,"031",311,5587,0.06,0.12,38,3542,491.254,5803079.64819336,15.5933281779289,2.68707809012815e-06,"0.46"
"20012","District of Columbia",NA,11,"001",311,5587,0.06,0.12,38,3542,61.048,5803079.64819336,5803097.15997553,1.00000301767048,"0.46"
"20015","District of Columbia",NA,11,"001",386,6082,0.06,0.16,62,4666,61.048,8925388.95455337,8924431.45925066,0.999892722288341,"0.46"
"20015","Montgomery","County",24,"031",386,6082,0.06,0.16,62,4666,491.254,8925388.95455337,11.4889633655548,1.28722271085941e-06,"0.46"
"20016","District of Columbia",NA,11,"001",695,13374,0.05,0.41,288,6968,61.048,11927452.3369294,11927441.3502834,0.999999078877388,"0.46"
"20016","Montgomery","County",24,"031",695,13374,0.05,0.41,288,6968,491.254,11927452.3369294,0.00125785984078428,1.05459221739225e-10,"0.46"
"20016","Arlington","County",51,"013",695,13374,0.05,0.41,288,6968,25.974,11927452.3369294,3.29461789131165,2.76221425853947e-07,"0.46"
"20017","Prince George's","County",24,"033",655,7129,0.09,0.53,344,4817,482.691,5705564.79410224,1.18287188403161,2.07318981856859e-07,"0.91"
"20017","District of Columbia",NA,11,"001",655,7129,0.09,0.53,344,4817,61.048,5705564.79410224,5705551.60867786,0.999997689023813,"0.91"
"20018","Prince George's","County",24,"033",862,6991,0.12,0.37,323,4876,482.691,7834941.73360515,91.163010597229,1.16354420615814e-05,"0.46"
"20018","District of Columbia",NA,11,"001",862,6991,0.12,0.37,323,4876,61.048,7834941.73360515,7834941.73360515,1,"0.46"
"20019","District of Columbia",NA,11,"001",2489,20683,0.12,0.38,956,10373,61.048,16827648.5829098,16827435.0886675,0.999987312889187,"0.46"
"20019","Prince George's","County",24,"033",2489,20683,0.12,0.38,956,10373,482.691,16827648.5829098,58.3081265687943,3.46501926763624e-06,"0.46"
"20020","Prince George's","County",24,"033",2122,19181,0.11,0.47,988,7618,482.691,12317651.7462729,24.5028921206197,1.9892502747558e-06,"0.91"
"20020","District of Columbia",NA,11,"001",2122,19181,0.11,0.47,988,7618,61.048,12317651.7462729,12317671.4594769,1.00000160040277,"0.91"
"20024","Arlington","County",51,"013",762,6397,0.12,0.22,171,1740,25.974,8788245.60274657,0.0120125599205494,1.36688941838347e-09,"0.46"
"20024","District of Columbia",NA,11,"001",762,6397,0.12,0.22,171,1740,61.048,8788245.60274657,8788252.55867532,1.00000079150368,"0.46"
"20032","District of Columbia",NA,11,"001",1886,12625,0.15,0.65,1219,4712,61.048,13737595.2373034,13737612.5314884,1.00000125889464,"0.91"
"20032","Prince George's","County",24,"033",1886,12625,0.15,0.65,1219,4712,482.691,13737595.2373034,5.41497349739075,3.94171862240256e-07,"0.91"
"20036","District of Columbia",NA,11,"001",135,3834,0.04,0,0,257,61.048,832414.929835184,832414.929835184,1,"0"
"20037","Arlington","County",51,"013",1240,5547,0.22,0.01,13,346,25.974,2564839.71776638,1.40812462131566e-05,5.49010767246674e-12,"0.46"
"20037","District of Columbia",NA,11,"001",1240,5547,0.22,0.01,13,346,61.048,2564839.71776638,2564839.71776641,1.00000000000001,"0.46"
"20045","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,27708.9541533281,27708.9541533281,1,"0"
"20052","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,7060.79088071734,7060.79088071734,1,"0"
"20053","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,101139.7661466,101139.7661466,1,"0"
"20057","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,447112.521534041,447112.521534041,1,"0"
"20064","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,503538.589174271,503538.589174271,1,"0"
"20202","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,18598.0933334832,18598.0933334832,1,"0"
"20204","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,14607.1875597693,14607.1875597693,1,"0"
"20228","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,87302.321443826,87302.321443826,1,"0"
"20230","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,55282.0595757202,55282.0595757202,1,"0"
"20240","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,30669.7362024955,30669.7362024955,1,"0"
"20245","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,59610.97548872,59610.97548872,1,"0"
"20260","District of Columbia",NA,11,"001",0,0,0,0,0,0,61.048,46319.3049782668,46319.3049782668,1,"0"
